t,sim_time,theta_ref,s_ref,theta_dot_ref,s_dot_ref,wheel_knot,theta_meas,s_meas,theta_dot,s_dot,phi_L,phi_R,phase_rms_L,phase_rms_R,action_L,action_R,executed_action_L,executed_action_R,intervened,candidate_phi_L,candidate_phi_R,lut_clearance,max_joint_speed,compute_ms,joint_tracking_max,grasp_position_L,grasp_position_R,grasp_rotation_L,grasp_rotation_R,status,stage,has_command,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,q_meas_8,q_meas_9,q_meas_10,q_meas_11,q_meas_12,q_meas_13,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_cmd_8,q_cmd_9,q_cmd_10,q_cmd_11,q_cmd_12,q_cmd_13
0,16.335,0,-0.08,0.06283185307,0.006283185307,0,1.342951608e-06,-0.07999623182,-1.254579199e-06,-5.190979665e-05,0.0005695660509,-0.001445795864,7.551311079e-06,7.472521919e-06,0,0,0,0,0,0,0,0.008527035751,0,0.004599,0,9.401825034e-08,9.31561028e-08,5.695767197e-06,4.717628112e-06,ok,1,0,1.408480123,1.612623588,-1.436213964,1.569605253,0.0977088182,0.0191561368,0.1155734159,-1.36229027,1.601843814,1.269147054,1.486267822,-0.002800412976,0.06538673479,-0.5726904252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,16.345,0.0006283143965,-0.07993716856,0.06283061282,0.006283061282,0,1.884377743e-06,-0.07999652181,1.822930908e-05,-1.341134168e-05,0.0005697687149,-0.001445854071,7.829104516e-06,7.615533156e-06,0.4295721352,0.2171401381,0.4295721352,0.2171401381,0,0.007013350743,0.001811248002,0.008499702927,0.6732158485,0.182073,0,3.749263277e-07,3.75232625e-07,5.916685521e-06,4.026008312e-06,ok,4,1,1.408479187,1.612623495,-1.436213652,1.569604537,0.09770863342,0.01915616042,0.1155735207,-1.362289535,1.601843627,1.269147219,1.486267709,-0.002800118961,0.06538683624,-0.5726901413,1.408241894,1.607538414,-1.429923071,1.569649094,0.09158792268,0.01913395993,0.1223056792,-1.363322439,1.603831912,1.272159419,1.487179583,-0.006185755431,0.06454416216,-0.5694524626
0.02,16.355,0.001256603988,-0.0798743396,0.06282689213,0.006282689213,1,0.001688008503,-0.07999994841,0.01449764534,0.001790021684,0.001262592074,-0.001109591695,0.0006571361375,0.0005209194661,0.4312670827,0.2754741907,0.4312670827,0.2754741907,0,0.007731598315,0.003022521166,0.008498159429,0.7057247191,0.074802,0.006195095476,0.0002831832456,0.0001296859943,0.001930284897,0.001667151722,ok,4,1,1.408537444,1.612207219,-1.435052003,1.569306155,0.0970955798,0.01904568798,0.1161105837,-1.362319554,1.601933497,1.269704626,1.486595634,-0.00324112239,0.06539917849,-0.5724330334,1.40843125,1.607161714,-1.429281277,1.569681049,0.09067157332,0.0193541416,0.1231678309,-1.363746478,1.604499688,1.273247612,1.487645654,-0.00753155452,0.06411411791,-0.5682229609
0.03,16.365,0.001884843971,-0.0798115156,0.06282069114,0.006282069114,1,0.001548117611,-0.07997999206,-0.08350787499,0.002708533313,0.002005527438,-0.0006418564313,0.0004548381336,0.0003798081773,0.3162417412,0.01602187194,0.3162417412,0.01602187194,0,0.006749153556,-0.0004015283522,0.008504709472,0.5255889023,0.15661,0.006092777841,0.0001637095108,0.0001155592419,0.001303235854,0.001232474463,ok,4,1,1.408532393,1.611682639,-1.434569832,1.569275584,0.09628588051,0.0190895777,0.117075053,-1.362481415,1.602157361,1.270059319,1.486784906,-0.003781187118,0.06525663431,-0.5719166266,1.408826981,1.608255858,-1.4303392,1.569713011,0.09120909064,0.01973195578,0.1223309421,-1.363049554,1.601559667,1.269700273,1.488111655,-0.005003355474,0.06366338741,-0.5713433447
0.04,16.375,0.002513009544,-0.07974869905,0.0628120101,0.00628120101,2,0.0003222700957,-0.07992792995,-0.02863856221,0.003035236463,0.002604102857,-0.0005626955574,0.0001560852476,0.0001697118467,0.341783464,0.2032916397,0.341783464,0.2032916397,0,0.007730854817,0.002486679038,0.008501892706,0.5603258412,0.052537,0.004477945751,8.699328942e-05,0.0001453674575,0.0004397528255,0.0005848981079,ok,4,1,1.408462981,1.61110157,-1.434394636,1.569598346,0.09566081919,0.01925675692,0.1178529963,-1.36257944,1.602268715,1.269696039,1.486736974,-0.003953665197,0.06496691283,-0.5716464681,1.408984522,1.607651433,-1.42943415,1.569744977,0.09006828095,0.01992823319,0.1234562547,-1.363883092,1.60353198,1.27246619,1.488577567,-0.00775095056,0.06323802032,-0.5685394792
0.05,16.385,0.003141075908,-0.07968589241,0.06280084934,0.006280084934,2,0.0009873097201,-0.07992050384,0.009360812758,0.002538937401,0.003224645409,-0.0002002718732,5.733001055e-05,3.751945213e-05,0.332960695,0.1418205202,0.332960695,0.1418205202,0,0.008219055834,0.001927035929,0.00850141772,0.5644735566,0.127665,0.005010335864,5.739173147e-05,2.932386834e-05,0.0001544619973,0.0001102174619,ok,4,1,1.4085099,1.610608465,-1.433736944,1.569594146,0.09499434741,0.01931635283,0.1184459188,-1.362784898,1.602425743,1.270239685,1.486903954,-0.004327739364,0.06476712049,-0.5714242345,1.409201979,1.607473824,-1.429022315,1.569776946,0.08934961185,0.02017040525,0.1240885376,-1.363879151,1.602821175,1.271783667,1.489043371,-0.007616392465,0.06279960742,-0.5689718699
0.06,16.395,0.003769018267,-0.07962309817,0.06278720932,0.006278720932,3,0.001166857764,-0.07988184802,0.02092883431,0.003640592569,0.003823761006,5.495614304e-05,2.26949505e-05,4.32498079e-05,0.3536446989,0.325620085,0.3536446989,0.325620085,0,0.009128431489,0.004939257418,0.008499039485,0.6061161899,0.12269,0.00500429438,1.019008619e-05,1.574560959e-05,2.417515996e-05,0.0001129863823,ok,4,1,1.408591627,1.610256307,-1.433111995,1.569610265,0.09433304599,0.01941738748,0.1190842432,-1.362913343,1.602440775,1.270410617,1.487168488,-0.004724228809,0.06454706857,-0.5711049338,1.409365819,1.606932669,-1.428189745,1.569808917,0.08827188409,0.02037702836,0.125141514,-1.3647316,1.604896729,1.274671925,1.489509049,-0.01047004914,0.06239045503,-0.5660482926
0.07,16.405,0.004396811832,-0.07956031882,0.06277109056,0.006277109056,3,0.002022677683,-0.07986125218,0.01446743823,0.004300942654,0.004436070157,0.0006058966584,0.0001709931432,0.000155673759,0.3398006856,0.2000638247,0.3398006856,0.2000638247,0,0.009533080442,0.003606854028,0.008499035766,0.5972353751,0.060471,0.005352667293,2.43713782e-05,0.0001060163258,0.0004647781237,0.0004962939107,ok,4,1,1.408711779,1.609910283,-1.432497849,1.569542367,0.09359778996,0.01949465176,0.1197888467,-1.363116608,1.602651338,1.27104288,1.487499936,-0.005367705001,0.06432892979,-0.5705898478,1.409591518,1.606827749,-1.427861397,1.569840889,0.08762543621,0.02062948749,0.1256903395,-1.364546818,1.603581558,1.273217753,1.489974583,-0.009688586326,0.06194127782,-0.5672068695
0.08,16.415,0.005024431818,-0.07949755682,0.06275249371,0.006275249371,4,0.002049218664,-0.07980180279,0.01572133646,0.004844913735,0.005043579267,0.0009687088826,1.928432967e-05,2.711367473e-05,0.2901500463,0.1678775251,0.2901500463,0.1678775251,0,0.009395829962,0.003486871759,0.008501506898,0.545423872,0.064674,0.005270252814,2.058086614e-05,3.688583741e-05,6.522022063e-05,0.0001207149626,ok,4,1,1.408814128,1.609539241,-1.431989652,1.569626477,0.09289568903,0.01965260296,0.1205135204,-1.363252654,1.602810318,1.271140116,1.487773821,-0.005905986357,0.06403048987,-0.5700818305,1.409885419,1.607190672,-1.4280742,1.56987286,0.08744145031,0.02092869107,0.1256979434,-1.36465033,1.603213112,1.272975351,1.490439955,-0.009921476063,0.06150458679,-0.5672261339
0.09,16.425,0.005651853448,-0.07943481466,0.0627314195,0.00627314195,4,0.002302770356,-0.0797559001,0.02455475345,0.004142825859,0.005568485488,0.001281679074,6.507139435e-05,6.114059472e-05,0.3141310811,0.1754035503,0.3141310811,0.1754035503,0,0.0102804517,0.003912732328,0.008499282643,0.5855400833,0.037239,0.004800437888,4.186895676e-05,6.135337932e-05,0.0001661173397,0.0001947398196,ok,4,1,1.408927672,1.609215082,-1.431580329,1.569704868,0.09224188819,0.01981895542,0.1211534971,-1.363421143,1.602943947,1.271325255,1.488034256,-0.006368115813,0.0637061562,-0.5697365641,1.410050749,1.606671289,-1.427266451,1.569904829,0.08638648736,0.02114027497,0.1267261327,-1.36488385,1.603271298,1.273278557,1.490905145,-0.01061130338,0.06107406895,-0.5667320122
0.1,16.435,0.006279051953,-0.0793720948,0.06270786876,0.006270786876,5,0.002837589917,-0.0797154385,0.03094440241,0.00419138378,0.006128174811,0.001598574753,1.892711512e-05,2.076488323e-05,0.3677235544,0.1505768746,0.3677235544,0.1505768746,0,0.01164402813,0.003857227872,0.008494829335,0.6633951666,0.04728,0.005171738479,5.651192612e-06,1.67323022e-05,2.875583312e-05,4.081428882e-05,ok,4,1,1.409057101,1.608909598,-1.431016979,1.569718415,0.09155822584,0.0199694009,0.1217786913,-1.363607306,1.602981759,1.271617747,1.488366046,-0.006862055346,0.06339641005,-0.5694175441,1.410155957,1.605738455,-1.425980613,1.569936795,0.08492427417,0.02131147323,0.1282325681,-1.365002563,1.602953392,1.273100803,1.491370136,-0.01089790024,0.0606384002,-0.5666905869
0.11,16.445,0.006906002571,-0.07930939974,0.06268184242,0.006268184242,5,0.003394552479,-0.07966764815,0.03404602669,0.004595914448,0.006773270625,0.001865315653,3.372125398e-05,9.855349871e-06,0.3751352429,0.1382949054,0.3751352429,0.1382949054,0,0.01240029927,0.003939739234,0.008493149295,0.6811964755,0.045421,0.005868023479,4.392772841e-05,1.205435839e-05,0.0001343645314,4.315231151e-05,ok,4,1,1.40919544,1.6085729,-1.430357664,1.569722141,0.09079229765,0.02011938427,0.1225117137,-1.36376254,1.602960003,1.271800998,1.488737561,-0.007351639406,0.06307750438,-0.5690916109,1.410337565,1.605329878,-1.425301209,1.569968756,0.0839803329,0.02153502625,0.1291324765,-1.365154106,1.602743473,1.27306109,1.49183491,-0.01129994437,0.06020448795,-0.5665192906
0.12,16.455,0.007532680553,-0.07924673194,0.06265334151,0.006265334151,6,0.003897068164,-0.07961897749,0.03182864197,0.004767814621,0.007432308712,0.002110502234,2.399677954e-05,1.136134979e-05,0.3679830432,0.06028901786,0.3679830432,0.06028901786,0,0.01295205436,0.003014837502,0.00849239785,0.6777581509,0.123198,0.006008377901,2.768006737e-05,1.60743399e-05,8.934086331e-05,5.28919533e-05,ok,4,1,1.409338182,1.608199811,-1.429786009,1.569743255,0.0899887108,0.02028231583,0.1233133568,-1.363919676,1.602933488,1.271946856,1.489105861,-0.007821706168,0.06273673268,-0.5687844599,1.410544867,1.605097765,-1.424825946,1.570000712,0.08321112929,0.02177625625,0.1298281532,-1.365064828,1.601745505,1.272014712,1.492299447,-0.01085739042,0.05975852692,-0.5672965191
0.13,16.465,0.008159061156,-0.07918409388,0.06262236715,0.006262236715,6,0.004224965226,-0.07956273163,0.0354965816,0.004734712696,0.008089047414,0.002228551552,5.416893057e-05,6.082392684e-05,0.3081294,-0.02889706008,0.3081294,-0.02889706008,0,0.01271098841,0.001795095651,0.008495314398,0.6075794038,0.170786,0.005981611606,9.381925408e-06,5.489482036e-05,0.0001166162955,0.0001933029986,ok,4,1,1.409473737,1.607802512,-1.429239288,1.569806369,0.0891927409,0.02047078831,0.1241016566,-1.364053116,1.602831873,1.271904378,1.489457693,-0.008191304819,0.06236912989,-0.5685753631,1.410851609,1.605549835,-1.425141863,1.570032661,0.08311694686,0.02208460047,0.1297321925,-1.364899977,1.600518134,1.270673108,1.49276373,-0.01016718922,0.05931325625,-0.56835178
0.14,16.475,0.008785119655,-0.07912148803,0.06258892057,0.006258892057,7,0.004482430448,-0.07950754578,0.04478999014,0.00448802091,0.008650078677,0.002196498151,0.0001554631193,0.0001449142939,0.3673072457,0.01262230147,0.3673072457,0.01262230147,0,0.01415968736,0.002385832673,0.008490367597,0.6885088375,0.128049,0.005353849962,4.909481171e-05,8.121375336e-05,0.0003974635057,0.0004468587676,ok,4,1,1.409614449,1.607477058,-1.428812325,1.569886467,0.08847079682,0.02067780597,0.1247941941,-1.364170292,1.6026189,1.271725721,1.489799633,-0.008424259709,0.06198483409,-0.5685289652,1.410946338,1.604543346,-1.423771329,1.570064601,0.08158570844,0.02225061454,0.1313235103,-1.365175715,1.600704717,1.271142156,1.493227741,-0.01099427615,0.05888250216,-0.5677024077
0.15,16.485,0.009410831331,-0.07905891687,0.06255300308,0.006255300308,7,0.005330483896,-0.07946393038,0.05004729253,0.00461100641,0.009296794079,0.002216196453,2.417388428e-05,3.343929068e-05,0.3454413116,0.02201633714,0.3454413116,0.02201633714,0,0.01447841375,0.00254644151,0.008490659924,0.6656896253,0.067782,0.006087351875,1.544521445e-05,9.277920492e-06,7.478088625e-05,7.259168477e-05,ok,4,1,1.409778455,1.607143704,-1.428121698,1.569863803,0.08767306032,0.02084375946,0.1255077838,-1.36429782,1.602361675,1.271757519,1.490224293,-0.00871927921,0.06163331385,-0.5684906835,1.411182746,1.604511979,-1.423528372,1.570096532,0.08101616407,0.02251202261,0.1317865596,-1.365346163,1.600555741,1.271181122,1.49369146,-0.0114606673,0.0584491324,-0.5674579639
0.16,16.495,0.01003617149,-0.07899638285,0.06251461611,0.006251461611,8,0.005920323237,-0.07941313174,0.04356000657,0.005293980579,0.009905522194,0.002249251006,1.17379018e-05,3.171145098e-05,0.3327302039,0.03673921153,0.3327302039,0.03673921153,0,0.01489647525,0.002800339179,0.00849057304,0.6514297,0.036842,0.005860612294,8.853581494e-06,2.173200951e-05,2.648550784e-05,5.744133712e-05,ok,4,1,1.409950546,1.606849835,-1.427598493,1.569863855,0.08687677636,0.02102980055,0.1262682952,-1.364423129,1.60210558,1.271715696,1.490655675,-0.009041365841,0.06126872791,-0.5683776093,1.411404674,1.6043951,-1.423186087,1.570128452,0.08036247936,0.02276712936,0.1323488659,-1.365538518,1.600480191,1.271313395,1.494154871,-0.01200519143,0.05801775178,-0.5671254747
0.17,16.505,0.01066111543,-0.07893388846,0.06247376117,0.006247376117,8,0.006502075598,-0.07935800596,0.04088225641,0.005615062373,0.01049551662,0.002309337462,1.764463886e-05,2.658899341e-05,0.2775419354,0.0103548374,0.2775419354,0.0103548374,0,0.01465864565,0.002464660023,0.008493396455,0.5831909211,0.026663,0.005735870739,1.565603848e-05,1.874276892e-05,3.051919198e-05,3.39855754e-05,ok,4,1,1.410124377,1.606546626,-1.427104773,1.569887592,0.0860983501,0.0212324203,0.127000095,-1.364551398,1.601902677,1.271662997,1.491075717,-0.009386740503,0.06088907301,-0.5682256083,1.411711817,1.604843421,-1.423498105,1.57016036,0.08026644089,0.02307366904,0.1322562479,-1.365587961,1.599943441,1.270856386,1.494617954,-0.01205474078,0.05758017384,-0.5673488137
0.18,16.515,0.01128563849,-0.07887143615,0.06243043987,0.006243043987,9,0.006903689115,-0.07929810947,0.04256029816,0.005634808633,0.01099796853,0.00233295177,7.156933103e-05,6.300047536e-05,0.2895014882,0.02149528451,0.2895014882,0.02149528451,0,0.01534049085,0.002655381038,0.008492133946,0.6005939372,0.031802,0.005128858964,4.726912283e-05,1.467233381e-05,0.000175304171,0.0001752810491,ok,4,1,1.410300538,1.606308915,-1.426725118,1.56994728,0.08539529985,0.02146050631,0.1276456516,-1.364678567,1.601699672,1.271531631,1.491472283,-0.009696214973,0.06048859594,-0.5681012931,1.411898855,1.604498833,-1.422892283,1.570192255,0.07938936048,0.02330853765,0.1330820368,-1.365765397,1.599818591,1.270925876,1.495080691,-0.01254576527,0.05714810557,-0.5670758823
