t,sim_time,theta_ref,s_ref,theta_dot_ref,s_dot_ref,wheel_knot,theta_meas,s_meas,theta_dot,s_dot,phi_L,phi_R,phase_rms_L,phase_rms_R,action_L,action_R,executed_action_L,executed_action_R,intervened,candidate_phi_L,candidate_phi_R,lut_clearance,max_joint_speed,compute_ms,joint_tracking_max,grasp_position_L,grasp_position_R,grasp_rotation_L,grasp_rotation_R,status,stage,has_command,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,q_meas_8,q_meas_9,q_meas_10,q_meas_11,q_meas_12,q_meas_13,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_cmd_8,q_cmd_9,q_cmd_10,q_cmd_11,q_cmd_12,q_cmd_13
0,16.219,0,-0.08,0.06283185307,0.006283185307,0,-1.843003278e-06,-0.07999626392,-5.137464073e-06,-5.198721022e-05,0.0005629996804,-0.001449112098,6.994438718e-06,7.987871124e-06,0,0,0,0,0,0,0,0.008527060743,0,0.008234,0,8.250125577e-08,8.39158451e-08,4.437753643e-06,4.705799961e-06,ok,1,0,1.408480336,1.612629015,-1.436220394,1.569605666,0.09771552741,0.01915621844,0.1155670054,-1.36228963,1.601844057,1.269144954,1.486267561,-0.002795073739,0.0653866877,-0.5726952361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,16.229,0.0006283183654,-0.07993716816,0.06283180346,0.006283180346,0,-1.654564047e-06,-0.07999658381,-1.558221151e-06,-2.233871159e-05,0.0005633339346,-0.001449650674,7.222524434e-06,8.095650216e-06,0.4295978248,0.2170875221,0.4295978248,0.2170875221,0,0.007007301307,0.001806662158,0.008499731732,0.6732573811,0.297402,0,3.706358034e-07,3.966305549e-07,4.41039826e-06,4.363347853e-06,ok,4,1,1.408479302,1.612628542,-1.436219926,1.569604973,0.09771537404,0.01915624616,0.1155670681,-1.362288459,1.60184352,1.269144256,1.486266815,-0.002794724732,0.06538683819,-0.5726952748,1.408242642,1.607543659,-1.429929123,1.569649095,0.09159308188,0.01913453732,0.1222996419,-1.363321333,1.603828332,1.272154826,1.487179606,-0.00618194154,0.06454412604,-0.5694567591
0.02,16.239,0.001256635739,-0.07987433643,0.06283165463,0.006283165463,1,0.001685598983,-0.08000010594,0.01451437235,0.00178851631,0.001256153655,-0.001113179978,0.0006568819538,0.0005210701612,0.4313594103,0.2754865885,0.4313594103,0.2754865885,0,0.007726544809,0.003019118849,0.008498183789,0.7058758158,0.170566,0.006195593421,0.000283163524,0.0001298970255,0.001929440656,0.001669338973,ok,4,1,1.408537464,1.612212241,-1.435058254,1.569306292,0.09710218946,0.01904562293,0.1161040485,-1.362318587,1.601932978,1.269702258,1.486594855,-0.003236245728,0.06539931936,-0.5724381186,1.408431911,1.607166126,-1.429286341,1.569681055,0.09067584218,0.01935465919,0.1231628067,-1.363745694,1.604496988,1.273244191,1.487645734,-0.007528767648,0.0641140129,-0.5682261382
0.03,16.249,0.001884951127,-0.07981150489,0.06283140658,0.006283140658,1,0.001545972601,-0.07998012415,-0.08347964008,0.0027105654,0.001999405001,-0.0006456189607,0.0004547250955,0.0003797380214,0.3162778914,0.01604893059,0.3162778914,0.01604893059,0,0.006743573372,-0.0004048850019,0.008504736841,0.5256851932,0.133705,0.006094232524,0.0001637855901,0.000115661013,0.001303000289,0.001233470266,ok,4,1,1.408532408,1.611687286,-1.434575594,1.569275625,0.09629219037,0.01908941943,0.1170685741,-1.36248034,1.602156067,1.27005632,1.486784344,-0.003776716688,0.06525681058,-0.5719213078,1.40882777,1.608260783,-1.430344807,1.569713024,0.09121373659,0.01973258744,0.1223254261,-1.363048792,1.601556944,1.269696866,1.488111843,-0.005000684547,0.06366319831,-0.5713464577
0.04,16.259,0.002513263539,-0.07974867365,0.06283105931,0.006283105931,2,0.0003216215877,-0.07992797221,-0.02854117769,0.003044526163,0.002598078316,-0.0005664843572,0.0001558995362,0.0001693725954,0.3418671489,0.2037303746,0.3418671489,0.2037303746,0,0.00772608555,0.002489471261,0.008501916977,0.5605041046,0.068489,0.004478862096,8.703540708e-05,0.0001454225681,0.0004391526405,0.0005831235571,ok,4,1,1.408463458,1.611106205,-1.4344005,1.56959844,0.09566645108,0.01925663349,0.117846564,-1.362578287,1.60226712,1.269692689,1.486736498,-0.003949756052,0.0649670894,-0.5716509491,1.408985318,1.60765575,-1.429438975,1.569745002,0.09007211572,0.01992889918,0.123451605,-1.363883874,1.603533936,1.272468886,1.488577935,-0.00775354848,0.0632376871,-0.5685367841
0.05,16.269,0.003141571983,-0.0796858428,0.06283061282,0.006283061282,2,0.0009869060739,-0.07992059549,0.009308962999,0.002538065716,0.003218869875,-0.0002032003099,5.757889903e-05,3.789539833e-05,0.3329504728,0.1418830454,0.3329504728,0.1418830454,0,0.008213126968,0.001925045372,0.008501448666,0.5645551823,0.182028,0.005011977854,5.731809101e-05,2.952707822e-05,0.0001550964059,0.0001117358224,ok,4,1,1.408510355,1.610612855,-1.433742397,1.569594216,0.09499981293,0.01931627938,0.1184396272,-1.362784173,1.602424085,1.270237449,1.48690362,-0.004324928271,0.06476733284,-0.5714279422,1.409203075,1.607479284,-1.429028342,1.56977699,0.08935426111,0.02017134147,0.1240828134,-1.363878848,1.602819249,1.271781508,1.489044007,-0.007615182775,0.06279900337,-0.5689736123
0.06,16.279,0.003769875465,-0.07962301245,0.06283006712,0.006283006712,3,0.001165800259,-0.07988184716,0.02092385501,0.003645315927,0.003818110009,5.209632207e-05,2.285337678e-05,4.331869356e-05,0.3537685275,0.3257231712,0.3537685275,0.3257231712,0,0.009124637921,0.004937943891,0.008499060798,0.6063600214,0.293254,0.005004823573,1.022084202e-05,1.560023963e-05,2.441884087e-05,0.0001134087021,ok,4,1,1.408592087,1.610260561,-1.4331176,1.569610571,0.09433806885,0.01941741146,0.1190779898,-1.362912455,1.602439286,1.270407573,1.487168075,-0.004721932573,0.06454719203,-0.5711081657,1.409366897,1.606936475,-1.428193699,1.569808986,0.08827446863,0.02037797973,0.1251380383,-1.364731575,1.604895109,1.274670347,1.489510059,-0.01046967398,0.06238949802,-0.5660493233
0.07,16.289,0.004398172994,-0.0795601827,0.0628294222,0.00628294222,3,0.002024980495,-0.07986243977,0.02156794348,0.004006136716,0.004420428115,0.0005704891931,0.0001769344998,0.0001598181956,0.3522218466,0.1911996007,0.3522218466,0.1911996007,0,0.009703755814,0.003438483204,0.008498261062,0.6137884934,0.193938,0.005369006483,2.244216764e-05,0.0001053227365,0.0004777311557,0.0005136714936,ok,4,1,1.408708485,1.609915663,-1.432512249,1.56954815,0.09361674399,0.01949288512,0.1197690319,-1.363107733,1.60263625,1.271009608,1.487487923,-0.005331081035,0.06433177498,-0.5706291551,1.409570925,1.60668117,-1.427691169,1.569840992,0.08747885905,0.0206157042,0.1258612792,-1.364507161,1.60344915,1.273049089,1.48997609,-0.009548733126,0.06193808403,-0.5673648457
0.08,16.299,0.005026463578,-0.07949735364,0.06282867806,0.006282867806,4,0.002068531602,-0.07980248572,0.016675073,0.004835362962,0.005048644869,0.0009171802676,2.816893315e-05,2.603563973e-05,0.2895862162,0.1643473804,0.2895862162,0.1643473804,0,0.009392438113,0.003382390974,0.00850153095,0.545623822,0.201148,0.00542033347,2.448990747e-05,3.620329154e-05,0.0001001560694,0.0001191281922,ok,4,1,1.408812695,1.609536362,-1.431964844,1.569620905,0.09289919252,0.01964659372,0.1205080976,-1.363236631,1.602771519,1.271094736,1.487773788,-0.005862379987,0.06403560828,-0.5701345535,1.409887121,1.607194727,-1.428077937,1.569873007,0.0874429543,0.02093030747,0.1256952232,-1.364626046,1.603130206,1.272870371,1.4904421,-0.009835533491,0.06150143892,-0.567323953
0.09,16.309,0.005654746225,-0.07943452538,0.0628278347,0.00628278347,4,0.002310261043,-0.07975712251,0.02375661953,0.004173329979,0.005572483012,0.001222472652,6.179501792e-05,5.671349231e-05,0.3180145323,0.1768368185,0.3180145323,0.1768368185,0,0.010342701,0.003875024929,0.008499008051,0.5908402758,0.207223,0.004796978862,4.465818802e-05,5.782707949e-05,0.0001605752612,0.0001795225419,ok,4,1,1.408926634,1.609210205,-1.43157928,1.569700731,0.09223993317,0.01981386714,0.1211607141,-1.363405087,1.602896764,1.271272614,1.488033405,-0.006316991346,0.06370974897,-0.5697956135,1.410044672,1.606619094,-1.427204772,1.569905031,0.08633153041,0.02113676627,0.1267892155,-1.364875695,1.603240088,1.273240099,1.490908088,-0.01058183117,0.06107089224,-0.5667668899
