t,sim_time,theta_ref,s_ref,theta_dot_ref,s_dot_ref,wheel_knot,theta_meas,s_meas,theta_dot,s_dot,phi_L,phi_R,phase_rms_L,phase_rms_R,action_L,action_R,executed_action_L,executed_action_R,intervened,candidate_phi_L,candidate_phi_R,lut_clearance,max_joint_speed,compute_ms,joint_tracking_max,grasp_position_L,grasp_position_R,grasp_rotation_L,grasp_rotation_R,status,stage,has_command,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,q_meas_8,q_meas_9,q_meas_10,q_meas_11,q_meas_12,q_meas_13,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_cmd_8,q_cmd_9,q_cmd_10,q_cmd_11,q_cmd_12,q_cmd_13
0,16.264,0,-0.08,0,-0.01005309649,0,1.154853066e-06,-0.07999629201,-1.717375225e-06,-5.197492081e-05,0.0005628221683,-0.001445739179,7.684367208e-06,7.571615933e-06,0,0,0,0,0,0,0,0.008527068807,0,0.007257,0,9.307192049e-08,9.189356635e-08,5.721338304e-06,4.909490605e-06,ok,1,0,1.40848069,1.612629623,-1.43622065,1.569605219,0.09771507643,0.01915621473,0.1155671023,-1.362290157,1.601843886,1.269147139,1.486267639,-0.002800365298,0.06538667821,-0.5726903259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,16.274,0,-0.08010053094,0,-0.01005308855,0,1.691947995e-06,-0.07999658261,1.781865085e-05,-1.346781211e-05,0.0005630204726,-0.001445803387,7.966756972e-06,7.716567138e-06,0.4296274483,0.2171183825,0.4296274483,0.2171183825,0,0.007007432197,0.00181097235,0.008494866341,0.6429474549,0.203232,0,3.781922882e-07,3.785138677e-07,5.911149587e-06,4.211216214e-06,ok,4,1,1.408479753,1.612629534,-1.436220342,1.569604502,0.09771490047,0.01915623528,0.1155672053,-1.362289419,1.601843695,1.269147299,1.486267522,-0.002800064826,0.06538677989,-0.5726900483,1.407080603,1.607084844,-1.429837412,1.568707385,0.09214227029,0.01883434527,0.1219966798,-1.362454468,1.604457387,1.272499016,1.485345216,-0.005414889081,0.06572075358,-0.5695575364
0.02,16.284,0,-0.08020106172,0,-0.01005306474,1,0.001355887452,-0.08002417484,-0.007215805097,-0.001619196265,0.001253506245,-0.001108102748,0.0005703303522,0.0004496724071,0.3957705498,0.2399002165,0.3957705498,0.2399002165,0,0.007190064492,0.002490400498,0.008493445804,0.6080184316,0.038282,0.005904943568,0.0002753178077,0.0001368209535,0.001679359492,0.001380681451,ok,4,1,1.408430904,1.612181028,-1.435075132,1.56927576,0.09716193062,0.01904425943,0.1160917363,-1.362274319,1.601979074,1.269713363,1.486342075,-0.003168886174,0.06549369955,-0.5724316158,1.406753904,1.606942165,-1.429685252,1.568268476,0.09195824393,0.01895394734,0.1221719206,-1.36231706,1.605022465,1.273225406,1.484894175,-0.005930431286,0.06587431365,-0.5688809565
0.03,16.294,0,-0.08030159218,0,-0.01005302505,1,0.0007973624102,-0.08005367762,-0.08456070569,-0.002902356172,0.00193792883,-0.0006958057385,0.000287175525,0.0002299603798,0.3200064301,0.008671084419,0.3200064301,0.008671084419,0,0.006738025282,-0.0005657394722,0.008495020047,0.4747829814,0.092867,0.005206079347,0.0001227654045,8.485063829e-05,0.0007993566326,0.000691362368,ok,4,1,1.408232788,1.61161178,-1.434686416,1.569161611,0.09649892804,0.01905257033,0.1169658412,-1.36229054,1.602270482,1.270019123,1.48621266,-0.003539921887,0.06552520182,-0.5719641538,1.406504223,1.607347915,-1.430167849,1.567829571,0.09231760759,0.01913286792,0.121713671,-1.361277096,1.602688566,1.2702155,1.484443136,-0.003327546984,0.06601941034,-0.5717008515
0.04,16.304,0,-0.08040212217,0,-0.01005296949,2,-0.0003171511989,-0.0800681238,-0.03472382269,-0.003878328557,0.002535475313,-0.0006381266536,0.0001717541339,0.0001854434951,0.3296952248,0.103848137,0.3296952248,0.103848137,0,0.007480903684,0.0009195954008,0.008490957256,0.4945272581,0.079455,0.004232791058,7.576567516e-05,0.0001301957988,0.0004662940878,0.0006565097098,ok,4,1,1.407962764,1.610939815,-1.434400641,1.569231074,0.09600011808,0.01914167248,0.1176386819,-1.362194558,1.602489272,1.269766662,1.485849641,-0.003541590181,0.0654993316,-0.5717637262,1.406109612,1.60672144,-1.429455368,1.567390667,0.09165393777,0.01920016731,0.1224477466,-1.361334397,1.60387904,1.271747953,1.483992101,-0.004515853572,0.06617479049,-0.5702699764
0.05,16.314,0,-0.08050265152,0,-0.01005289805,2,-0.0001403239963,-0.08013062786,-0.007561044135,-0.005646039981,0.003135423253,-0.000443650359,6.878622679e-05,7.339023748e-05,0.3193522096,0.04437636584,0.3193522096,0.04437636584,0,0.007925706396,0.0002219951286,0.008488301954,0.4730132189,0.052298,0.00430559572,5.445496254e-05,3.903539719e-05,0.0001830117287,0.0002561120334,ok,4,1,1.407734715,1.610366705,-1.433760964,1.569029234,0.09548700916,0.01914530945,0.1181538986,-1.362142288,1.602684678,1.270144489,1.48558597,-0.003611585261,0.06557199556,-0.5716885632,1.405751228,1.606352774,-1.429041002,1.566951768,0.09124549143,0.01929537047,0.1228840308,-1.360864567,1.603376107,1.271097045,1.483541068,-0.003881904802,0.06632533085,-0.5708815272
0.06,16.324,0,-0.08060318007,0,-0.01005281074,3,-0.000245709348,-0.08018363291,0.00129688721,-0.005731609351,0.003708044023,-0.0003583904454,9.559942264e-05,0.0001041266383,0.3198250532,0.2490288019,0.3198250532,0.2490288019,0,0.008505419821,0.003377041583,0.008485011931,0.476525177,0.06107,0.004194824817,9.698108285e-06,1.461484272e-05,0.0002263979331,0.0003618453607,ok,4,1,1.407502162,1.60990488,-1.433149428,1.568789465,0.09499287782,0.01916383982,0.118689206,-1.362006531,1.602740415,1.270266942,1.48535755,-0.003653421823,0.06566880551,-0.5715842723,1.405376574,1.60586798,-1.428491707,1.566512872,0.09072157317,0.01937804973,0.1234544577,-1.361320037,1.605861022,1.274298945,1.48309004,-0.006464087795,0.06648817063,-0.5678909733
0.07,16.334,0,-0.08070370768,0,-0.01005270755,3,0.0002825353121,-0.08026513105,-0.009379435691,-0.00566154854,0.004261028032,5.346716147e-05,0.0001125362386,0.0001177169946,0.275295794,0.1713181138,0.275295794,0.1713181138,0,0.008390464942,0.002623238869,0.008484997046,0.408389246,0.070442,0.004206080178,7.204355462e-06,0.000119036851,0.0002951364501,0.0003493948931,ok,4,1,1.407281378,1.609465253,-1.432583929,1.568424997,0.09446273867,0.01914930852,0.1192483775,-1.361933667,1.602999708,1.270908798,1.485159729,-0.003946837834,0.06580916647,-0.5712523918,1.405086075,1.605982795,-1.428637173,1.566073981,0.09079236136,0.01952552655,0.12333227,-1.360840545,1.605312765,1.273592412,1.482639017,-0.005783008085,0.06663440421,-0.5685556531
0.08,16.344,0,-0.08080423417,0,-0.01005258849,4,-2.068283212e-05,-0.08031488038,-0.01429346783,-0.005430453036,0.004755840285,0.0003558476736,3.080276619e-05,4.591920367e-05,0.271958828,0.06776681542,0.271958828,0.06776681542,0,0.008835222704,0.001372349905,0.008482405566,0.400187157,0.07699,0.003566435505,3.425712395e-05,2.474698457e-05,8.632883023e-05,0.0001430246199,ok,4,1,1.407023029,1.609038931,-1.432172705,1.568184193,0.09401795859,0.01921233009,0.1197658345,-1.361785246,1.603284068,1.271093272,1.484866492,-0.004182696512,0.06590217847,-0.5708431954,1.404726622,1.605615146,-1.42822281,1.565635096,0.09038394118,0.01962212537,0.1237677061,-1.360237487,1.604381455,1.272388106,1.482188,-0.004687246235,0.06678384969,-0.569683867
0.09,16.354,0,-0.0809047594,0,-0.01005245355,4,-0.0002453331553,-0.08036958047,-0.002841523615,-0.006872529908,0.005246785036,0.0004937287919,0.0001110793562,0.0001134509863,0.3089295626,-1.932680425e-05,0.3089295626,-1.932680425e-05,0,0.009880728475,0.0004934388898,0.00847717581,0.4568661251,0.155876,0.00353528703,2.454821775e-05,8.608977076e-05,0.0002695162017,0.0003927600307,ok,4,1,1.406745519,1.608610515,-1.431695464,1.567954872,0.09360203686,0.01928702106,0.120232419,-1.361587761,1.603526286,1.2711297,1.484503313,-0.004256457397,0.06597544434,-0.5706448156,1.40429071,1.60473073,-1.427207487,1.565196217,0.0894610787,0.01966681486,0.1248010803,-1.359724326,1.603738856,1.27155585,1.481736989,-0.003902012449,0.06693414224,-0.5704638631
