t,sim_time,theta_ref,s_ref,theta_dot_ref,s_dot_ref,wheel_knot,theta_meas,s_meas,theta_dot,s_dot,phi_L,phi_R,phase_rms_L,phase_rms_R,action_L,action_R,executed_action_L,executed_action_R,intervened,candidate_phi_L,candidate_phi_R,lut_clearance,max_joint_speed,compute_ms,joint_tracking_max,grasp_position_L,grasp_position_R,grasp_rotation_L,grasp_rotation_R,status,stage,has_command,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,q_meas_8,q_meas_9,q_meas_10,q_meas_11,q_meas_12,q_meas_13,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_cmd_8,q_cmd_9,q_cmd_10,q_cmd_11,q_cmd_12,q_cmd_13
0,16.184,-1.848062412e-06,-0.07999635993,0.06283185307,0.006283185307,0,-1.848062412e-06,-0.07999635993,-4.928009578e-06,-5.209357704e-05,0.0005647874377,-0.00144734262,7.09290183e-06,8.443761177e-06,0,0,0,0,0,0,0,0.008527051209,0,0.00858,0,1.007682057e-07,9.27488466e-08,4.818207668e-06,5.990270599e-06,ok,1,0,1.408479841,1.612626942,-1.43621822,1.569605369,0.09771494173,0.01915593579,0.1155687148,-1.362290198,1.601843663,1.269146525,1.486268018,-0.002795110956,0.065386903,-0.5726906532,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,16.194,0.0006264663341,-0.07993352849,0.06283061282,0.006283061282,0,-1.512842656e-06,-0.07999665703,-6.841108849e-06,-1.400209856e-05,0.0005649243921,-0.001447397974,7.341860487e-06,8.673034483e-06,0.7255191803,0.04138494655,0.7255191803,0.04138494655,0,0.0114477121,-0.0008266237758,0.008479365243,1.116804538,0.23915,0,3.531924812e-07,3.819860929e-07,4.937533166e-06,5.601904412e-06,ok,4,1,1.408478882,1.612626655,-1.436218126,1.569604681,0.09771479013,0.01915598121,0.1155686456,-1.362289473,1.60184349,1.269146695,1.486267882,-0.002794767623,0.06538699978,-0.5726903546,1.407699998,1.60370424,-1.425488184,1.569665574,0.08779618643,0.01872966617,0.126736691,-1.36269391,1.601779982,1.269519601,1.487195228,-0.003983227212,0.06453166623,-0.5719284288
0.02,16.204,0.001254755926,-0.07987069953,0.06282689213,0.006282689213,1,0.002038289231,-0.07998139787,0.03396403473,0.0008547007402,0.001742305445,-0.001410072779,0.0008514339322,0.0006072084639,0.8292842507,0.3156978786,0.8292842507,0.3156978786,0,0.01418156921,0.0033253954,0.008468841566,1.315838874,0.124414,0.01028251165,0.0004658593695,3.141719776e-05,0.002610122411,0.001871920707,ok,4,1,1.408523794,1.611833735,-1.434260671,1.56927347,0.09680416072,0.01899970078,0.1164541794,-1.362165235,1.601714798,1.269276073,1.486637859,-0.003094003223,0.06538619816,-0.5726283531,1.407631596,1.601587394,-1.422832167,1.56969753,0.08515784774,0.01877791202,0.1296125681,-1.363829368,1.604735282,1.273548871,1.487661299,-0.007785708398,0.06411244996,-0.5679404937
0.03,16.214,0.001882995909,-0.07980787553,0.06282069114,0.006282069114,1,0.002656952,-0.07998581701,-0.11012611,0.001998214079,0.003149358163,-0.0009086945811,0.0009111548965,0.0007235309761,0.368791014,0.5532105565,0.368791014,0.5532105565,0,0.008681223372,0.007389463766,0.008495535917,0.8185924998,0.252164,0.01146968827,0.0003304294497,0.0001823770775,0.002690638859,0.002310202782,ok,4,1,1.408484,1.610748782,-1.433097352,1.569064578,0.09540566209,0.01895507498,0.1181428798,-1.362356156,1.601860742,1.269926941,1.486935478,-0.003675995935,0.06526396429,-0.5722174302,1.408602957,1.606583934,-1.428407096,1.569729492,0.08956016508,0.01954795043,0.1242608308,-1.364926469,1.607630941,1.277487519,1.4881273,-0.01151747668,0.06371453561,-0.5640315052
0.04,16.224,0.002511161482,-0.07974505897,0.0628120101,0.00628120101,2,0.0009820758264,-0.0799768707,-0.1242428089,0.004698547117,0.003878463523,6.594532626e-05,0.0002196489374,0.0002362739936,0.3429942727,0.3556603193,0.3429942727,0.3556603193,0,0.009023377614,0.005400850116,0.008495836646,0.5836002266,0.163187,0.007320918895,0.0002595093549,0.000225950625,0.000751976081,0.0007002483677,ok,4,1,1.408330098,1.610129982,-1.433434119,1.569377216,0.09432366592,0.01910754123,0.1194062869,-1.362876143,1.602610766,1.270846772,1.486882761,-0.004353090995,0.06505769643,-0.5713524241,1.408836467,1.606533027,-1.428141346,1.569761458,0.08896630265,0.01980544005,0.1247471861,-1.364587199,1.605805226,1.275377267,1.488593211,-0.01018909326,0.06326087126,-0.5658044535
0.05,16.234,0.003139227845,-0.07968225234,0.06280084934,0.006280084934,2,0.0002234257966,-0.07991688851,-0.005979813138,0.004402749991,0.004551626459,0.0007487785716,0.0003784891554,0.0002166333904,0.3205092549,0.3568175435,0.3205092549,0.3568175435,0,0.009359265283,0.006101041724,0.008496157557,0.6097445502,0.065575,0.005177529756,0.0002558600075,3.970584977e-05,0.001199036419,0.0005587727043,ok,4,1,1.408294736,1.609488845,-1.432795677,1.569684817,0.09369484861,0.01927758368,0.1199703043,-1.363096754,1.603213273,1.271126372,1.486920729,-0.005011563505,0.06480733218,-0.5705082408,1.409070814,1.606487545,-1.42788184,1.569793427,0.08837810823,0.0200636645,0.1252272835,-1.364886324,1.606077489,1.275954255,1.489059015,-0.01110900901,0.0628327763,-0.5650525616
0.06,16.244,0.003767170205,-0.0796194581,0.06278720932,0.006278720932,3,0.0007841471351,-0.07987340953,0.04547029942,0.004589634562,0.005137881644,0.001399332582,0.0002207514816,0.0001120148182,0.318459034,0.2181318253,0.318459034,0.2181318253,0,0.009914767153,0.004671309961,0.008495468226,0.5498063884,0.214279,0.005402529001,5.978336381e-05,6.486009906e-05,0.0006668784313,0.0002558753279,ok,4,1,1.408410246,1.609168697,-1.431938861,1.569709057,0.09310085448,0.01936595808,0.1204554847,-1.363269165,1.603692496,1.271700316,1.487120105,-0.005706480006,0.06456018816,-0.5698764098,1.409277527,1.606252416,-1.427402917,1.569825399,0.0876027906,0.02030306233,0.1259267541,-1.364678913,1.604686897,1.274402719,1.489524692,-0.01024682436,0.06238330314,-0.5663018685
0.07,16.254,0.004394963769,-0.07955667874,0.06277109056,0.006277109056,3,0.001187645821,-0.07982252786,0.0483578419,0.003395259145,0.005695145982,0.00180680003,0.0002050206468,0.0001131457227,0.8125587702,0.3731616437,0.8125587702,0.3731616437,0,0.01788352753,0.007404224686,0.008461719149,1.295758187,0.233681,0.004885860344,2.697658312e-05,0.0001044434258,0.0005868313138,0.0002644721265,ok,4,1,1.408548876,1.608894794,-1.431302932,1.569726528,0.09248865094,0.01947458594,0.1210734338,-1.363401526,1.603874858,1.27199153,1.487397194,-0.006275826475,0.06429142284,-0.569429829,1.408533241,1.599619867,-1.419518934,1.569857371,0.08050299392,0.019921429,0.1340310157,-1.365461939,1.606547202,1.277011353,1.489990226,-0.0128681183,0.06197711252,-0.5636388409
0.08,16.264,0.005022583756,-0.07949391674,0.06275249371,0.006275249371,4,0.003216244216,-0.07979901603,0.03320223829,0.003337351514,0.007047592653,0.002427525139,0.0005020833059,0.0004416483618,0.9034122825,0.2261535823,0.9034122825,0.2261535823,0,0.02059877689,0.005819828874,0.008451741697,1.45397132,0.136562,0.01168341929,0.0003341817332,5.54598145e-05,0.001482325634,0.001422285002,ok,4,1,1.408664217,1.608041415,-1.429469935,1.569482045,0.09121457808,0.01943576009,0.1223475964,-1.36355562,1.604020925,1.272799536,1.487893128,-0.007138561656,0.06408675631,-0.5688721391,1.408453874,1.597523652,-1.416883785,1.569889342,0.07788940981,0.01999320737,0.1368873096,-1.365217222,1.605035434,1.275305442,1.490455597,-0.01187579442,0.06152564518,-0.565034053
0.09,16.274,0.005650005385,-0.07943117458,0.0627314195,0.00627314195,4,0.003242812657,-0.07974909954,-0.03832477042,0.003755093848,0.008608941072,0.00283105284,0.0003207790932,0.0002277182664,0.4284644425,0.1990514696,0.4284644425,0.1990514696,0,0.01503590771,0.005816824884,0.008477567261,0.738046894,0.134866,0.01273705077,0.0002140050518,6.384354159e-05,0.0009573543281,0.0007046601833,ok,4,1,1.40866013,1.606811855,-1.428144819,1.569504615,0.08971585558,0.01950369651,0.1241502588,-1.363700104,1.604041956,1.272919044,1.488227303,-0.007849265329,0.06374384788,-0.5682909911,1.409460848,1.602565151,-1.422516693,1.569921311,0.08233538664,0.02072997807,0.1314751871,-1.365348903,1.604758992,1.275180047,1.490920787,-0.01220699673,0.06109105136,-0.5649426401
