t,sim_time,theta_ref,s_ref,theta_dot_ref,s_dot_ref,wheel_knot,theta_meas,s_meas,theta_dot,s_dot,phi_L,phi_R,phase_rms_L,phase_rms_R,action_L,action_R,executed_action_L,executed_action_R,intervened,candidate_phi_L,candidate_phi_R,lut_clearance,max_joint_speed,compute_ms,joint_tracking_max,grasp_position_L,grasp_position_R,grasp_rotation_L,grasp_rotation_R,status,stage,has_command,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,q_meas_8,q_meas_9,q_meas_10,q_meas_11,q_meas_12,q_meas_13,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_cmd_8,q_cmd_9,q_cmd_10,q_cmd_11,q_cmd_12,q_cmd_13
0,21.054,-7.020713691e-07,-0.07999639138,0.06283185307,0.006283185307,0,-7.020713691e-07,-0.07999639138,-3.288903635e-06,-5.118542852e-05,0.000621159525,-0.001463608016,6.031936943e-06,7.857882502e-06,0,0,0,0,0,0,0,0.008526770626,0,0.00976,0,1.14225305e-07,1.049393833e-07,3.9112993e-06,4.67253039e-06,ok,1,0,1.408473326,1.61257837,-1.436162467,1.569603509,0.09766438105,0.01915470415,0.1156244489,-1.362285604,1.601832302,1.269130545,1.486267256,-0.002782644901,0.0653868056,-0.5727079756,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,21.064,0.0006276123251,-0.07993355994,0.06283061282,0.006283061282,0,-3.032460171e-07,-0.07999673357,-5.249794446e-05,-2.032013269e-05,0.0006215663783,-0.001463888712,6.437246357e-06,8.005022848e-06,0.724208951,0.04126736894,0.724208951,0.04126736894,0,0.01148470064,-0.0008448781775,0.008479201118,1.11492308,0.271591,0,5.990427707e-07,3.44456713e-07,4.264578487e-06,4.320672831e-06,ok,4,1,1.408472204,1.612578142,-1.436161754,1.569603218,0.09766421396,0.0191542233,0.11562468,-1.362284614,1.601831929,1.269130309,1.48626669,-0.002782355076,0.06538696984,-0.5727078299,1.407695387,1.603672747,-1.42545138,1.569664999,0.08776394461,0.01872712859,0.1267739108,-1.362689288,1.601765339,1.269501187,1.487195429,-0.00396851038,0.0645310299,-0.5719453221
0.02,21.074,0.001255901917,-0.07987073098,0.06282689213,0.006282689213,1,0.002034221245,-0.0799815533,0.03390986738,0.0008502780463,0.001796997864,-0.001426859368,0.000848574683,0.0006060839937,0.8288736343,0.3155216277,0.8288736343,0.3155216277,0,0.01423010238,0.003305965047,0.008468624822,1.315210803,0.12431,0.01026469972,0.0004650908985,3.136871055e-05,0.002602347561,0.001868927811,ok,4,1,1.408516625,1.611786903,-1.434208016,1.569272845,0.09675518853,0.01899739916,0.1165092111,-1.362160676,1.601703247,1.269259299,1.4866362,-0.00308048478,0.06538598362,-0.5726460727,1.40762553,1.601545932,-1.422783828,1.569696955,0.0851157504,0.0187743745,0.1296613191,-1.363824565,1.604719682,1.273529296,1.4876615,-0.007770001109,0.0641116967,-0.5679585018
0.03,21.084,0.0018841419,-0.07980790699,0.06282069114,0.006282069114,1,0.002658277498,-0.07998583653,-0.1097010256,0.002013300334,0.003203482264,-0.0009258435322,0.0009107556981,0.0007243496372,0.3663447499,0.5544458032,0.3663447499,0.5544458032,0,0.008698653513,0.007390843515,0.008495459555,0.8205211385,0.152225,0.01146482417,0.0003305121738,0.0001824456344,0.002690774717,0.00231312563,ok,4,1,1.408477561,1.610702114,-1.433043425,1.569063034,0.09535809361,0.01895228659,0.1181964949,-1.362351536,1.601848654,1.26991033,1.486934664,-0.003662021476,0.06526405067,-0.5722351927,1.408600819,1.606569343,-1.428389854,1.569728917,0.08954467216,0.01954714461,0.124278502,-1.364926601,1.60763157,1.277488742,1.4881275,-0.01151916541,0.06371397228,-0.5640299813
0.04,21.094,0.002512307473,-0.07974509043,0.0628120101,0.00628120101,2,0.0009854138258,-0.07997691662,-0.1240461123,0.004712876108,0.00392870472,5.087871942e-05,0.0002200644332,0.0002376224355,0.3414992392,0.3544169962,0.3414992392,0.3544169962,0,0.009051193308,0.005367133663,0.008495712933,0.5821254961,0.301354,0.007338991147,0.0002605145451,0.0002265927053,0.0007535202737,0.0007072810859,ok,4,1,1.40832462,1.610087028,-1.433385878,1.569375602,0.09427810338,0.01910502491,0.1194573261,-1.362872386,1.602600581,1.270833399,1.486882541,-0.004340174763,0.06505833221,-0.5713689725,1.408833021,1.606509467,-1.428113729,1.569760883,0.08894194457,0.01980373486,0.1247752313,-1.364578995,1.605778467,1.275343415,1.488593411,-0.01016142972,0.0632599689,-0.5658358902
0.05,21.104,0.003140373836,-0.07968228379,0.06280084934,0.006280084934,2,0.0002146012082,-0.07991709827,-0.006410718404,0.004521595998,0.004595043603,0.0007538056092,0.0003804386282,0.0002170466393,0.3210584223,0.3567054868,0.3210584223,0.3567054868,0,0.009410919938,0.006104387911,0.008495925031,0.6099375528,0.204053,0.005148462383,0.0002566072068,4.107129264e-05,0.001202483509,0.0005624291921,ok,4,1,1.408287232,1.609448276,-1.432752987,1.569683112,0.09365907922,0.01927207699,0.1200117683,-1.363095752,1.6032177,1.271132104,1.486918057,-0.005012967342,0.06481493203,-0.570502522,1.409064365,1.606443401,-1.42783041,1.569792853,0.08833340557,0.02005989821,0.1252791403,-1.364886925,1.606079654,1.275957443,1.489059215,-0.01111234287,0.06283223273,-0.5650491895
0.06,21.114,0.003768316196,-0.07961948956,0.06278720932,0.006278720932,3,0.000795316035,-0.07987346239,0.04601529702,0.004587909068,0.005182092693,0.001403586331,0.0002144490311,0.0001075036974,0.319897145,0.2173202634,0.319897145,0.2173202634,0,0.009980549868,0.004663390282,0.008495170633,0.5520009577,0.199783,0.00540423975,5.680206114e-05,7.064353999e-05,0.0006454720774,0.0002411895504,ok,4,1,1.408404972,1.609128546,-1.431888457,1.569706153,0.0930660609,0.01936018022,0.1204953178,-1.363263044,1.603704601,1.271700705,1.487117868,-0.005708103119,0.06456555741,-0.569870935,1.409269302,1.606196076,-1.427337382,1.569824824,0.08754605133,0.02029809,0.125992719,-1.364676833,1.604680266,1.274394648,1.489524893,-0.01024073115,0.06238264409,-0.5663090827
0.07,21.124,0.00439610976,-0.0795567102,0.06277109056,0.006277109056,3,0.001193988421,-0.07982273429,0.04759226295,0.003359141171,0.005741536189,0.00181051521,0.0002016080833,0.0001110928387,0.8112666011,0.3705305457,0.8112666011,0.3705305457,0,0.01791053521,0.007368473395,0.008461604908,1.294033881,0.156561,0.004905475433,2.945572286e-05,0.0001067430544,0.0005756398985,0.0002526106894,ok,4,1,1.408543165,1.608854783,-1.431251902,1.569724313,0.09245152676,0.01946920016,0.1211179095,-1.363397945,1.60388517,1.271995556,1.487393421,-0.006276488158,0.06429477786,-0.5694288792,1.408529762,1.599597044,-1.419492132,1.569856796,0.08047935685,0.019919968,0.1340582483,-1.365453232,1.606518828,1.276975468,1.489990426,-0.01283872819,0.06197615741,-0.5636722212
0.08,21.134,0.005023729747,-0.0794939482,0.06275249371,0.006275249371,4,0.003205120499,-0.07979945623,0.03255901228,0.003305853053,0.007092307347,0.002427099601,0.0004985912342,0.0004399943125,0.9022173882,0.2245629281,0.9022173882,0.2245629281,0,0.02062556817,0.005795543522,0.008451634885,1.452076603,0.170114,0.01166468881,0.0003328357204,5.487177447e-05,0.001471710974,0.001417813898,ok,4,1,1.408656557,1.608001664,-1.429427277,1.569482305,0.09117815439,0.01943146247,0.1223935595,-1.363554042,1.604024992,1.272799597,1.487887913,-0.007135365931,0.06408910372,-0.5688749177,1.408450285,1.597501048,-1.416857196,1.569888767,0.07786596426,0.01999191576,0.1369143255,-1.365211241,1.60501601,1.275281016,1.490455797,-0.01185599528,0.06152480303,-0.5650566619
0.09,21.144,0.005651151376,-0.07943120604,0.0627314195,0.00627314195,4,0.003234306334,-0.07974965902,-0.03771360312,0.003762603851,0.008651939358,0.002827326298,0.0003185121839,0.0002267437323,0.4275669754,0.1995276362,0.4275669754,0.1995276362,0,0.01506544399,0.00582024084,0.008477441473,0.73709723,0.134055,0.01272011864,0.0002129411649,6.351725671e-05,0.0009490654474,0.0007028507247,ok,4,1,1.408652387,1.606773918,-1.428103402,1.569505163,0.08968058654,0.01949909727,0.1241942069,-1.363698518,1.604042758,1.272917123,1.488223119,-0.007842377821,0.06374606463,-0.5682967976,1.409457042,1.602540151,-1.422487374,1.569920737,0.08230961424,0.02072832877,0.1315049428,-1.365349522,1.604761214,1.275183305,1.490920987,-0.012210392,0.06109051259,-0.5649391982
0.1,21.154,0.006278349882,-0.07936848619,0.06270786876,0.006270786876,5,0.002181935772,-0.07971538897,-0.03238874528,0.004151406705,0.009482978737,0.003214023785,0.0003706824738,0.0002814271284,0.4095546603,0.2343079597,0.4095546603,0.2343079597,0,0.01562629864,0.00672864318,0.008476775747,0.7115976326,0.185319,0.006339345063,0.0002948830471,6.692963278e-05,0.001139767103,0.0008687229147,ok,4,1,1.408619821,1.605922633,-1.42811895,1.56978223,0.08864895931,0.01971409773,0.1254120673,-1.36402694,1.60421793,1.273106876,1.488313551,-0.00827034543,0.06334041514,-0.5678696035,1.409660527,1.602301157,-1.422003511,1.569952703,0.08153298298,0.02097242503,0.1322095817,-1.365698577,1.605197446,1.275968856,1.491385978,-0.01330495731,0.06066658058,-0.5639901665
0.11,21.164,0.0069053005,-0.07930579113,0.06268184242,0.006268184242,5,0.002645388398,-0.07967276903,0.04462657693,0.005137981606,0.01026268919,0.003642202025,0.0002883102031,0.000249170654,0.6397701502,0.2667852044,0.6397701502,0.2667852044,0,0.01985924144,0.007643980091,0.008460070077,1.050653178,0.183911,0.006273835571,0.000200048889,2.04519413e-05,0.0007756136,0.0007700146868,ok,4,1,1.408682165,1.605327103,-1.427226238,1.569861527,0.08780681855,0.01987559552,0.1260750403,-1.364290419,1.604361173,1.273533401,1.48861072,-0.008798490546,0.06303562638,-0.5674519189,1.409383423,1.598896252,-1.41785325,1.569984665,0.07762913402,0.020924122,0.1365815721,-1.366049506,1.605639625,1.276761446,1.491850751,-0.0144055846,0.06024346197,-0.5630340614
0.12,21.174,0.007531978481,-0.07924312333,0.06265334151,0.006265334151,6,0.003977669109,-0.07961893297,0.05757084865,0.005353641917,0.01136954869,0.004096230123,0.0001333365325,4.823474991e-05,0.5598041415,0.1970719695,0.5598041415,0.1970719695,0,0.01976661082,0.007052309666,0.008462192043,0.9545853259,0.148239,0.009493910349,0.0001434201358,2.922015776e-05,0.0004977739341,0.0001447724813,ok,4,1,1.408828928,1.604776247,-1.425657392,1.569738439,0.08668406845,0.01994965399,0.1270876618,-1.364429993,1.604459205,1.273980742,1.489110915,-0.009486771449,0.06276228297,-0.5669563747,1.409672646,1.599220597,-1.418022105,1.570016621,0.07741123852,0.02122169146,0.136633515,-1.366040517,1.604903285,1.276048086,1.492315288,-0.01424323604,0.05980273471,-0.5634964042
