t,sim_time,theta_ref,s_ref,theta_meas,s_meas,theta_dot,s_dot,phi_L,phi_R,phase_rms_L,phase_rms_R,action_L,action_R,executed_action_L,executed_action_R,intervened,candidate_phi_L,candidate_phi_R,lut_clearance,max_joint_speed,compute_ms,joint_tracking_max,grasp_position_L,grasp_position_R,grasp_rotation_L,grasp_rotation_R,status,stage,has_command,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,q_meas_8,q_meas_9,q_meas_10,q_meas_11,q_meas_12,q_meas_13,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_cmd_8,q_cmd_9,q_cmd_10,q_cmd_11,q_cmd_12,q_cmd_13
0,26.894,-6.939774988e-08,-0.07999702034,-6.939774988e-08,-0.07999702034,-1.904047168e-06,-4.975402005e-05,0.0006900861442,-0.001479666374,5.440310316e-06,8.413684324e-06,0,0,0,0,0,0,0,0.008526422376,0,0.00999,0,7.800946091e-08,8.916916458e-08,2.499292386e-06,5.552952049e-06,ok,1,0,1.408463061,1.612519719,-1.436093552,1.569599671,0.09760658899,0.01914967158,0.115695248,-1.362280365,1.60181853,1.269114284,1.486265699,-0.002769032566,0.06538666491,-0.5727211453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,26.904,0.0001255934816,-0.07997817091,7.157923706e-07,-0.07999731398,4.55642066e-05,-1.587617358e-05,0.0006903869854,-0.001479785231,5.791219942e-06,8.441601259e-06,0.7241489887,0.04143512249,0.3620744944,0.02071756124,1,0.01155262182,-0.0008582583936,0.008501009517,0.5488658105,0.224474,0,3.44758913e-07,3.25538473e-07,3.278639268e-06,5.084574333e-06,ok,4,1,1.40846228,1.612519295,-1.436093098,1.569599068,0.09760640808,0.0191497104,0.1156953125,-1.362279385,1.601818338,1.269114352,1.486265199,-0.002768800429,0.06538682106,-0.572720931,1.407954985,1.607916763,-1.430688487,1.569665367,0.09283973769,0.01873784595,0.1211839706,-1.362435458,1.601949912,1.269368227,1.486502906,-0.003171499215,0.0652115302,-0.5724013396
0.02,26.914,0.0002512513999,-0.07995932222,0.0008398339601,-0.07999090243,0.007530446725,0.0003746394926,0.001284588143,-0.001462296374,0.0003683164221,0.0002588558575,0.7058557272,0.0353015177,0.3529278636,0.01765075885,1,0.01187242405,-0.0009327736081,0.00849926018,0.5519089655,0.081734,0.005033165523,0.0002399536453,1.073085831e-05,0.001107886794,0.0007991072517,ok,4,1,1.408465151,1.61214186,-1.435113895,1.569478669,0.0971481876,0.01905990545,0.1161508051,-1.362218563,1.601782201,1.269177119,1.486395362,-0.002875561772,0.06540177684,-0.5726950268,1.407973722,1.607569433,-1.430244946,1.569698978,0.09238990165,0.01874404812,0.1216698947,-1.362473676,1.601870172,1.269312134,1.486624077,-0.003217529178,0.0651146842,-0.5724122784
0.03,26.924,0.0003768993966,-0.07994047502,0.0006909328583,-0.07998689876,-0.0354713295,0.0002221152172,0.001887449543,-0.001435006267,0.0002389599058,0.000179319523,0.5705385804,0.1965985894,0.2852692902,0.09829929471,1,0.01044552825,0.001513972574,0.008501621173,0.4363019415,0.062778,0.004745559523,0.0001184041648,1.958793766e-05,0.000658081457,0.000565292146,ok,4,1,1.408428917,1.61164845,-1.434721241,1.569484688,0.09656717499,0.01902054458,0.1169243352,-1.362236036,1.601766566,1.269168559,1.486430419,-0.00293725246,0.06535186302,-0.5726524897,1.408098087,1.60797395,-1.430670362,1.569732584,0.0926838982,0.01883150136,0.1212873546,-1.362818491,1.602774272,1.270521825,1.486745232,-0.004320342389,0.06502126993,-0.5712365882
0.04,26.934,0.0005025325111,-0.07992163005,0.0004691826962,-0.07999087941,-0.03639375012,0.0007947900847,0.002403905135,-0.001263193265,0.0001269857291,9.600796219e-05,0.4862830639,0.2803345919,0.2431415319,0.1401672959,1,0.009698151093,0.002941825613,0.008502579906,0.3663454396,0.115567,0.003791274485,5.357635233e-05,5.074638526e-05,0.0003321805102,0.0003074194684,ok,4,1,1.408359189,1.611101298,-1.434461637,1.5695458,0.09606093469,0.01901007254,0.1175377319,-1.362351163,1.601854906,1.269371451,1.486427525,-0.003066926091,0.06530150316,-0.5725151173,1.408186392,1.608121883,-1.430799219,1.569766186,0.09272404617,0.01889120743,0.1212011863,-1.363057467,1.603338643,1.271294255,1.486866368,-0.005058165338,0.06492681925,-0.5704706572
0.05,26.944,0.0006281457838,-0.07990278806,0.0002924961086,-0.07998294602,-0.02314611678,0.001619356029,0.00285751893,-0.001016411632,6.427617208e-05,4.705124513e-05,0.4149185717,0.3532419801,0.4149185717,0.3532419801,0,0.009081297505,0.00428221807,0.008488758767,0.6295848855,0.09651,0.003250985542,7.647431397e-05,5.271208432e-05,0.0001853095337,9.443638556e-05,ok,4,1,1.40830206,1.610669853,-1.434050204,1.56959756,0.09564375661,0.01900778718,0.1179627735,-1.362464726,1.602014697,1.269591974,1.486455301,-0.003279533142,0.06525817652,-0.5722660138,1.407889974,1.605548896,-1.427783026,1.569799783,0.0900725071,0.01865983011,0.1242586224,-1.363928115,1.605961519,1.274708955,1.486987479,-0.008003873434,0.06484923209,-0.567225351
0.06,26.954,0.0007537342556,-0.07988394979,0.001040636429,-0.07998353045,-0.022145287,0.002195657801,0.003570546822,-0.0004251430387,0.000320315317,0.0002658243275,0.3795974553,0.3296177983,0.3795974553,0.3296177983,0,0.009264508651,0.004519123936,0.00848834005,0.5893426064,0.081489,0.005681167832,9.462388035e-05,0.0001417714479,0.0008850570665,0.0008301630292,ok,4,1,1.408286853,1.61017961,-1.43307589,1.569493024,0.09500397273,0.01892367279,0.1185774546,-1.362617779,1.602378294,1.270319488,1.486606072,-0.003822886137,0.06526052755,-0.5717504039,1.407941098,1.605438668,-1.427613418,1.569833371,0.08985739304,0.01869274225,0.1244708806,-1.364029573,1.606089038,1.274918175,1.48710856,-0.008271848611,0.06475490095,-0.5669868342
0.07,26.964,0.0008792929686,-0.07986511598,0.0007490293026,-0.07995909472,-0.03603378096,0.002495503029,0.004236847506,0.0001545543599,0.0001452903189,0.0001234274801,0.3338824511,0.2338703275,0.3338824511,0.2338703275,0,0.009245084272,0.003662609272,0.008488832246,0.5129733296,0.161151,0.005120003025,4.826004298e-05,5.255941467e-05,0.0003724147433,0.0003686246404,ok,4,1,1.408254584,1.60967359,-1.432527095,1.569549361,0.09437253516,0.01890955969,0.1193508776,-1.36276128,1.602822931,1.270739239,1.48666885,-0.00436418793,0.06519266819,-0.5711112948,1.408017828,1.605503531,-1.427646416,1.569866951,0.08981572396,0.01874354048,0.1244806109,-1.363871902,1.605364088,1.274034652,1.487229606,-0.007626246127,0.06465123344,-0.5677742376
0.08,26.974,0.001004816966,-0.07984628738,0.0003500923665,-0.07993197343,-0.02060988095,0.001637488515,0.004841926344,0.0005899143227,6.308710399e-05,6.465956855e-05,0.3123351038,0.2203227431,0.3123351038,0.2203227431,0,0.0095269529,0.003894755469,0.008487967889,0.4778213823,0.106454,0.004467373963,4.410277254e-05,7.079515485e-05,0.0002049000628,0.0002394945694,ok,4,1,1.408205294,1.609110088,-1.432066187,1.56968826,0.0938280401,0.01892825126,0.1200132369,-1.362889365,1.603238822,1.270991857,1.486656833,-0.004756002741,0.06508589303,-0.570642328,1.408056449,1.605308037,-1.427378185,1.569900521,0.08951628652,0.01876776246,0.1247914508,-1.363972193,1.605487914,1.274239139,1.487350614,-0.007890191179,0.06455690427,-0.567540205
0.09,26.984,0.001130301292,-0.07982746473,0.0003132442194,-0.07992128993,-0.007027890397,0.0009732456025,0.005409467851,0.0009968995805,8.733505246e-05,7.522976449e-05,0.3178915679,0.2336281538,0.3178915679,0.2336281538,0,0.01017784137,0.004501321887,0.008485439827,0.4905467179,0.121995,0.004225851578,4.657189803e-05,5.207801002e-05,0.0002604636249,0.0002431109343,ok,4,1,1.408168651,1.608610003,-1.43150795,1.569750882,0.09331842348,0.01892057762,0.1205655992,-1.363042576,1.603556329,1.271405879,1.486690348,-0.005112146657,0.06500454504,-0.5703010682,1.408048409,1.604793681,-1.426741074,1.569934079,0.08890123858,0.01875949413,0.1254710664,-1.364161255,1.605903768,1.274817831,1.487471577,-0.008467005236,0.0644659044,-0.5669547561
