t,sim_time,theta_ref,s_ref,theta_meas,s_meas,theta_dot,s_dot,phi_L,phi_R,phase_rms_L,phase_rms_R,action_L,action_R,executed_action_L,executed_action_R,intervened,candidate_phi_L,candidate_phi_R,lut_clearance,max_joint_speed,compute_ms,joint_tracking_max,grasp_position_L,grasp_position_R,grasp_rotation_L,grasp_rotation_R,status,stage,has_command,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,q_meas_8,q_meas_9,q_meas_10,q_meas_11,q_meas_12,q_meas_13,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_cmd_8,q_cmd_9,q_cmd_10,q_cmd_11,q_cmd_12,q_cmd_13
0,20.437,6.470111207e-07,-0.07999608115,6.470111207e-07,-0.07999608115,-1.107916564e-06,-5.096705659e-05,0.0006142612426,-0.001459758539,6.108555897e-06,7.59095959e-06,0,0,0,0,0,0,0,0.008526810344,0,0.009944,0,9.117551503e-08,6.348425686e-08,3.915191392e-06,5.308507889e-06,ok,1,0,1.408475103,1.612584728,-1.436169244,1.569604349,0.09767054653,0.01915519637,0.1156182118,-1.362287643,1.601832502,1.269133067,1.486268587,-0.002787940694,0.06538715415,-0.5727026456,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,20.447,0.0001263098904,-0.07997723172,6.93178783e-07,-0.07999647719,2.791537644e-05,-2.361777982e-05,0.0006144852875,-0.001460043141,6.504353749e-06,7.987167e-06,0.7250428796,0.04148440063,0.7250428796,0.04148440063,0,0.01149012848,-0.0008377771314,0.008476336696,1.093166551,0.206429,0,5.924731988e-07,4.553670044e-07,3.891901488e-06,4.992952757e-06,ok,4,1,1.408473869,1.61258466,-1.436168927,1.569604055,0.09767040171,0.01915471662,0.1156183096,-1.362286629,1.601832211,1.269133112,1.486268363,-0.002787030018,0.06538716492,-0.5727023565,1.407290869,1.603274816,-1.425319212,1.569669163,0.08824308774,0.01824922083,0.1265499751,-1.362518423,1.602206735,1.269698988,1.486507297,-0.003448905318,0.06521059594,-0.5720910541
0.02,20.457,0.0002519678088,-0.07995838303,0.001803433963,-0.07998753237,0.01892920825,1.287534837e-05,0.001789361788,-0.001424297705,0.0007945327994,0.0005589632403,0.763861537,0.15861772,0.763861537,0.15861772,0,0.01324728484,0.0009549680954,0.00846884957,1.184183994,0.079632,0.01005642181,0.0004595736416,3.007136278e-05,0.002428683062,0.00168585933,ok,4,1,1.408473678,1.611767223,-1.43422212,1.569324684,0.09680606526,0.01896913111,0.1164935533,-1.362158833,1.60174074,1.269260975,1.486521953,-0.003029104401,0.06543537772,-0.5726464106,1.407142946,1.601804442,-1.423575634,1.569702773,0.08668048933,0.01814294116,0.1283353933,-1.362997823,1.603542768,1.271464509,1.486628468,-0.005015726106,0.06511858393,-0.5703943967
0.03,20.467,0.0003776158054,-0.07993953583,0.001618238199,-0.07999579068,-0.1237055276,6.495658895e-05,0.003098276093,-0.001171833487,0.0006160737107,0.0004329318586,0.4936811924,0.5083078742,0.4936811924,0.5083078742,0,0.01050349398,0.006452784626,0.008481567882,0.7558101645,0.062402,0.01027147465,0.000269428283,8.607231477e-05,0.00181892108,0.001333839455,ok,4,1,1.408337419,1.610663925,-1.433235862,1.569250678,0.09559272273,0.01887519892,0.1180639186,-1.36226436,1.601800538,1.26951799,1.486611827,-0.003341707636,0.06537120125,-0.5724209876,1.407564399,1.604223805,-1.426333424,1.56973638,0.0889715567,0.01843500459,0.1256220203,-1.364354212,1.607767015,1.276932764,1.486749624,-0.009677696929,0.06505827559,-0.5652221596
0.04,20.477,0.00050324892,-0.07992069086,0.0007059753389,-0.08001853499,-0.1018003106,0.002285455157,0.004016385607,-0.0002942340415,0.0002076236399,0.0002465167193,0.3269129694,0.3869019747,0.3269129694,0.3869019747,0,0.008920080147,0.005509295579,0.00848908476,0.5641292239,0.218492,0.006715683561,0.0001658096275,0.000249700795,0.0005449978895,0.0007262682005,ok,4,1,1.408133298,1.609766501,-1.433049107,1.569399256,0.0945542813,0.01886528576,0.1193153379,-1.36270114,1.602444637,1.270576783,1.486519767,-0.003879090991,0.06533347125,-0.571732063,1.407839001,1.605640279,-1.4279305,1.569769982,0.09026876435,0.01862415935,0.1240685458,-1.364176177,1.606974547,1.275962289,1.486870759,-0.008959713282,0.06495411574,-0.5660907707
0.05,20.487,0.0006288621927,-0.07990184887,-0.0003802199068,-0.07998406445,-0.04622457214,0.002847994891,0.004664846388,0.0004199540821,0.000326565181,0.0002332332173,0.334803611,0.507866323,0.334803611,0.507866323,0,0.009686900553,0.008037948927,0.008486043322,0.7487650195,0.145952,0.004988088471,0.0002726242929,5.813329269e-05,0.001027706553,0.0006544118584,ok,4,1,1.408004801,1.609056631,-1.432588273,1.56965646,0.09398879218,0.01891494594,0.119913312,-1.362913449,1.603107283,1.2709742,1.486441986,-0.004436159564,0.06526613319,-0.5708963841,1.40781633,1.605025733,-1.427177318,1.569803578,0.08955409507,0.01860550702,0.1248641078,-1.364820628,1.608888638,1.27846185,1.48699187,-0.01114234348,0.06487921241,-0.5637021954
0.06,20.497,0.0007544506645,-0.0798830106,3.175705714e-05,-0.07997040243,0.003968956473,0.002789819745,0.005276058527,0.001317770643,0.0001248280469,8.000135953e-05,0.273068279,0.199767381,0.273068279,0.199767381,0,0.009372082712,0.004314281357,0.008487863236,0.422293688,0.065949,0.006568318394,8.012700164e-05,4.003990038e-05,0.0003724618106,0.0001661455116,ok,4,1,1.40799759,1.60861313,-1.431680559,1.569661338,0.09347228975,0.01887331348,0.1203556663,-1.363114795,1.603878916,1.271893532,1.486487659,-0.005176347496,0.06522995847,-0.5700845368,1.407930436,1.605345876,-1.427505707,1.569837167,0.08976525267,0.01868241927,0.1245786031,-1.363983784,1.60592871,1.27471291,1.487112951,-0.008101538395,0.06475137138,-0.5671792555
0.07,20.507,0.0008800093775,-0.07986417679,-0.0004747176791,-0.07992382273,0.01935777494,0.001239926983,0.005770921564,0.001714825672,0.0003490699723,0.0002781333329,0.5418951511,0.1118089855,0.5418951511,0.1118089855,0,0.01389934883,0.003391960454,0.008467894973,0.827251532,0.298604,0.003718731411,2.39580217e-05,0.0001706534444,0.0009515869383,0.0008869931919,ok,4,1,1.407998529,1.608273253,-1.431135896,1.569798439,0.09307189996,0.01889296825,0.1208598717,-1.36316909,1.604294386,1.27199285,1.486493087,-0.005578953921,0.06512337735,-0.569586404,1.407432326,1.601481937,-1.422992936,1.569870747,0.08583306851,0.01833213745,0.129132387,-1.363810507,1.605152436,1.273763621,1.487233997,-0.00740094278,0.06464712413,-0.5680284252
0.08,20.517,0.001005533375,-0.07984534819,0.000333889927,-0.07991072061,0.03868948288,-0.0003480708779,0.006643689822,0.001935401422,0.0001212751979,0.0001191665653,0.6667708158,0.01855746657,0.6667708158,0.01855746657,0,0.01664525206,0.00221376342,0.008456470421,1.028161755,0.151598,0.007508052449,0.0001697805375,0.0001516782176,0.0003741701208,0.0002633541511,ok,4,1,1.408001953,1.607605297,-1.429938172,1.569760203,0.09238642928,0.01880845059,0.1216243346,-1.363180984,1.604451292,1.272266223,1.486599252,-0.005862676638,0.06505873518,-0.5694202905,1.407148321,1.599159699,-1.420261175,1.569904317,0.08342542139,0.01815069224,0.1319059521,-1.363574163,1.604177376,1.272558284,1.487355005,-0.006486543098,0.06454295026,-0.5691177317
0.09,20.527,0.001131017701,-0.07982652554,0.0007012087286,-0.07990456782,0.005818670187,-0.000511348828,0.007789358918,0.001971003492,0.0001467393625,0.0001118620055,0.4542485178,0.008620535955,0.4542485178,0.008620535955,0,0.01460308668,0.002100311531,0.008465532397,0.704844624,0.070744,0.009060606554,0.000191579677,0.0001004548157,0.0004395781358,0.0002339342022,ok,4,1,1.407954232,1.606711569,-1.428762512,1.569710435,0.09137876855,0.01870356865,0.1228453456,-1.363194874,1.604372483,1.272353492,1.486730902,-0.005992051399,0.06499384728,-0.5694071605,1.407491593,1.600970244,-1.422317091,1.569937875,0.08511545953,0.01836922751,0.1298937918,-1.363591827,1.604031859,1.272417306,1.487475968,-0.006461642726,0.06444619537,-0.5692081024
0.1,20.537,0.001256457402,-0.07980770959,0.0003379813619,-0.07990861854,-0.01535661985,0.0001745548409,0.008608915143,0.001994780718,0.0001364769401,9.799418253e-05,0.441616565,-0.005015777424,0.441616565,-0.005015777424,0,0.01523316362,0.001919544056,0.00846324682,0.6683265269,0.094284,0.006067163062,9.478585517e-05,3.017029374e-05,0.0004231233447,0.0002792468318,ok,4,1,1.407864087,1.605881935,-1.428384254,1.569779734,0.09056739769,0.01867173786,0.1238782624,-1.363306088,1.604293475,1.272415034,1.486771675,-0.006019580579,0.06490959811,-0.5694143963,1.40748291,1.600474644,-1.421700988,1.569971421,0.08451867526,0.01836646966,0.1305525721,-1.363593129,1.603833983,1.272209014,1.487596883,-0.006380465692,0.06434924827,-0.5693616549
0.11,20.547,0.001381847525,-0.07978890107,0.0003440923025,-0.0798985921,0.0007766143013,0.001165752316,0.009418886574,0.001988393797,0.0001367987772,0.0001239808099,0.3959605694,-0.01212076936,0.3959605694,-0.01212076936,0,0.01535829511,0.001806582257,0.008463105288,0.6086419167,0.122538,0.005932342823,0.0001042548285,5.322224952e-06,0.0003655795984,0.0003789497284,ok,4,1,1.40777583,1.60511476,-1.427580392,1.569823281,0.08984954924,0.01864219997,0.1246202293,-1.363375353,1.604217912,1.272403864,1.486852809,-0.006050150059,0.0648484811,-0.5694060922,1.407540697,1.600414784,-1.421589769,1.570004953,0.08435403011,0.01840550334,0.1307066484,-1.363610845,1.603688854,1.272068556,1.487717744,-0.006355886831,0.06425253651,-0.5694516185
0.12,20.557,0.001507183122,-0.07977010073,0.0004295086788,-0.07988327204,0.01161238751,0.001497848521,0.01013511358,0.001967943365,0.0001228964106,0.0001215559044,0.231266126,0.02061705291,0.231266126,0.02061705291,0,0.01360410548,0.002277199158,0.008471195764,0.3677474451,0.110668,0.005401578453,5.044919064e-05,7.154233873e-06,0.0003002847008,0.0003677255794,ok,4,1,1.407732179,1.604558466,-1.426801995,1.569841336,0.08919176831,0.01861004382,0.12530507,-1.363412763,1.604163674,1.2723624,1.486953864,-0.006073777513,0.06478501139,-0.5694093225,1.407840975,1.601977611,-1.423357119,1.570038469,0.08579679657,0.01860466727,0.1289825444,-1.363770148,1.603997774,1.272511808,1.487838547,-0.006818842564,0.06415777924,-0.5689939687
0.13,20.567,0.001632459242,-0.07975130931,0.000412913788,-0.07987296654,0.01154323443,0.001613952371,0.01056128476,0.002006030964,0.0001875136957,0.0001522711585,0.72857517,0.2378394306,0.72857517,0.2378394306,0,0.02148991231,0.005573622422,0.008438045622,1.108822674,0.154135,0.003177927236,0.0001163557582,1.622532292e-05,0.0005260662048,0.000434726965,ok,4,1,1.407728843,1.604212417,-1.42649749,1.569876829,0.08874040957,0.01860789045,0.1258046172,-1.363483014,1.604153165,1.272411342,1.487040953,-0.006122919112,0.06471438337,-0.5693843142,1.406876639,1.595221084,-1.415487836,1.570071969,0.07899432774,0.01800352971,0.1368928439,-1.364599318,1.606511394,1.275779066,1.487959287,-0.009643690224,0.06408915566,-0.5658833329
0.14,20.577,0.001757670942,-0.07973252756,0.002172706165,-0.07986576269,0.01420591214,0.002280857044,0.01178221571,0.002371942361,0.0005279534298,0.0004100729024,0.6344085336,0.2315043807,0.6344085336,0.2315043807,0,0.02129834372,0.005844508072,0.008439187899,0.9935866933,0.117101,0.010098454,0.0002681493207,0.000141766704,0.001590196184,0.001292067743,ok,4,1,1.407732464,1.603391064,-1.424654752,1.569641269,0.0877098758,0.01844991015,0.1267943899,-1.363526698,1.604259608,1.272988502,1.487354892,-0.006591499042,0.0647314972,-0.5690765433,1.406977112,1.595434323,-1.415693563,1.570105451,0.07910131824,0.01806798512,0.1367302569,-1.364708807,1.606665808,1.276022363,1.488079959,-0.009939972743,0.06399564737,-0.5656126841
