# L_phi_L=0.2850696258,L_phi_R=0.9614795474
t,theta,s,theta_dot,s_dot,sin_phi_L,cos_phi_L,sin_phi_R,cos_phi_R,phi_dot_L,phi_dot_R,qL1,qL2,qL3,qL4,qL5,qL6,qL7,qR1,qR2,qR3,qR4,qR5,qR6,qR7,qdotL1,qdotL2,qdotL3,qdotL4,qdotL5,qdotL6,qdotL7,qdotR1,qdotR2,qdotR3,qdotR4,qdotR5,qdotR6,qdotR7,dL,dR,d_min,m_phi_minus_L,m_phi_minus_R,m_phi_plus_L,m_phi_plus_R,m_q
0,-0.3720721886,-0.06349629599,0.2983915031,0.006295006268,-0.05996400648,0.9982005399,0.004999979167,0.9999875,0,0,1.389999702,1.545957109,-1.448155579,1.767809882,0.3828026743,-0.1867647161,-0.1041570042,-1.39806298,1.649336143,1.177514786,1.450117575,0.2600741749,0.2665866306,-0.7427176277,0.1011849517,0.1252405791,-0.08259065599,-0.06379671077,-0.1555733795,0.1486545166,0.1163714998,-0.06164754607,0,0.1344004474,0.1104040134,-0.2643183217,-0.2152053367,0.1609048062,0.005233339835,0.03715554329,0.005233339835,0.115,0.145,0,0,0
0.01,-0.3690882348,-0.06343334625,0.298403133,0.006294911419,-0.05996400648,0.9982005399,0.004999979167,0.9999875,0,0,1.391011551,1.547209515,-1.448981485,1.767171915,0.3812469405,-0.1852781709,-0.1029932892,-1.398679456,1.649336143,1.178858791,1.451221616,0.2574309917,0.2644345772,-0.7411085796,0.1008352678,0.1253036597,-0.0822557754,-0.06405349335,-0.1555563118,0.1488201044,0.1159674448,-0.06131892185,0,0.1340955839,0.1104760443,-0.2642914405,-0.2147648749,0.16124234,0.005629836241,0.03716646882,0.005629836241,0.115,0.145,0,0,0
0.02,-0.3661040496,-0.06337039839,0.2984376615,0.006294629818,-0.05996400648,0.9982005399,0.004999979167,0.9999875,0,0.5,1.392019904,1.548462551,-1.449804043,1.76653138,0.3796913774,-0.1837899699,-0.1018336148,-1.399292645,1.649336143,1.180199747,1.452326376,0.2547880773,0.2622869285,-0.7394961562,0.1004918344,0.125375853,-0.08192841153,-0.06431714198,-0.1555511503,0.1489964851,0.1155717645,-0.06101240163,0,0.1338644513,0.1105529858,-0.264328288,-0.2143539252,0.1616510674,0.006026535561,0.03717753396,0.006026535561,0.115,0.14,0,0,0
0.03,-0.363119407,-0.06330745426,0.29849455,0.006294165859,-0.05996400648,0.9982005399,0.009999833334,0.9999500004,0,0,1.393024823,1.54971631,-1.450623327,1.765888209,0.3781358659,-0.182300005,-0.1006778971,-1.399902769,1.649336143,1.181538391,1.453431906,0.2521447944,0.2601433892,-0.7378796456,0.1001543645,0.1254566258,-0.08160800652,-0.06458754485,-0.1555579254,0.1491832688,0.1151844692,-0.06069287293,0,0.1335926946,0.1106347301,-0.2643511185,-0.2139454317,0.1620254662,0.006423465579,0.03718874254,0.006423465579,0.11,0.145,0,0,0
0.04,-0.3601340859,-0.06324451566,0.2985732633,0.006293523905,-0.05996400648,0.9982005399,0.009999833334,0.9999500004,0,0,1.394026366,1.550970876,-1.451439407,1.765242333,0.3765802867,-0.1808081723,-0.09952605245,-1.400509698,1.649336143,1.182874318,1.454538253,0.2495012832,0.2580039349,-0.7362593909,0.09982261491,0.1255457652,-0.08129432042,-0.06486458878,-0.1555763508,0.1493802036,0.114805226,-0.06038645162,0,0.1333658517,0.1107211692,-0.2644177816,-0.2135587334,0.1624447136,0.006820652386,0.03720009108,0.006820652386,0.11,0.14,0.005,0,0
0.05,-0.3571478708,-0.06318158436,0.2986732705,0.006292708287,-0.05996400648,0.9982005399,0.009999833334,0.9999500004,0,0.5,1.395024592,1.552226334,-1.452252351,1.764593687,0.3750245231,-0.1793143703,-0.09837800019,-1.401113562,1.649336143,1.184207977,1.455645465,0.2468571054,0.2558683476,-0.7346349438,0.09949634729,0.1256430589,-0.08098711784,-0.06514815921,-0.1556061429,0.1495870375,0.1144337073,-0.06007132723,0,0.1331125786,0.1108121948,-0.2644794662,-0.213177142,0.1628428508,0.0072181214,0.03721158172,0.0072181214,0.11,0.14,0.005,0,0
0.06,-0.3541605513,-0.06311866206,0.2987940439,0.006291723308,-0.05996400648,0.9982005399,0.01499943751,0.9998875021,0,0,1.396019556,1.553482764,-1.453062222,1.763942206,0.3734684617,-0.1778184999,-0.09723366312,-1.401714276,1.649336143,1.185539103,1.456753587,0.2442123107,0.2537365761,-0.7330065153,0.09917532775,0.1257482955,-0.08068616786,-0.06543814023,-0.1556470206,0.1498035183,0.1140695908,-0.05977011345,0,0.1329073752,0.1109076985,-0.2645867838,-0.2128170631,0.1632890203,0.007615897366,0.03722321192,0.007615897366,0.11,0.145,0.005,0,0
0.07,-0.3511719224,-0.06305575044,0.2989350602,0.006290573236,-0.05996400648,0.9982005399,0.01499943751,0.9998875021,0,0,1.397011309,1.554740247,-1.453869083,1.763287824,0.3719119915,-0.1763204647,-0.09609296721,-1.402311977,1.649336143,1.186868176,1.457862664,0.2415664429,0.2516084055,-0.7313736251,0.09885932699,0.1258612643,-0.08039124401,-0.06573441467,-0.1556987056,0.150029394,0.1137125591,-0.05946066499,0,0.132677479,0.1110075715,-0.2646897748,-0.2124617807,0.1637158118,0.00801400436,0.03723498415,0.00801400436,0.105,0.14,0.01,0,0
0.08,-0.3481817843,-0.06299285113,0.2990957995,0.006289262312,-0.05996400648,0.9982005399,0.01499943751,0.9998875021,0,0.5,1.397999902,1.55599886,-1.454672996,1.76263048,0.3703550045,-0.1748201708,-0.09495584162,-1.402906583,1.649336143,1.188194951,1.45897274,0.2389195451,0.2494837877,-0.7297364669,0.09854812016,0.1259817556,-0.08010212419,-0.06603686409,-0.1557609218,0.1502644125,0.1133623002,-0.05916049371,0,0.1324808255,0.1111117048,-0.2648278803,-0.212123767,0.1641770981,0.008289937119,0.037246896,0.008289937119,0.105,0.14,0.01,0,0
0.09,-0.3451899424,-0.06292996572,0.2992757457,0.006287794744,-0.05996400648,0.9982005399,0.01999866669,0.9998000067,0,0,1.398985384,1.557258677,-1.455474017,1.761970111,0.3687973952,-0.1733175267,-0.09382221861,-1.403498188,1.649336143,1.189519759,1.460083857,0.2362712663,0.24736255,-0.728094696,0.09824148684,0.1261095604,-0.07981859063,-0.06634536886,-0.1558333959,0.1505083219,0.1130185071,-0.05885834231,0,0.132280368,0.1112199895,-0.2649754796,-0.2117944363,0.1646385393,0.008294748498,0.03725894908,0.008294748498,0.105,0.14,0.01,0,0
