index,trajectory,theta,s,phi_L,phi_R,d_lookup_m,branch_exclusion,physical_dL,physical_dR,physical_d_min,physical_task_error,physical_joint_margin,physical_collision,valid_start
0,traj_0000,-0.5704957863412614,-0.11994059992626305,-0.02999999932944775,0.0,0.006273165641913326,0,0.0062867952506111,0.0380014834144506,0.0062867952506111,1.6074798806375073e-05,0.2450910826594265,0,True
1,traj_0001,-0.09237931966060886,-0.08706979400783155,0.0,0.0,0.008298779121348224,0,0.008298017036799,0.0359999315545176,0.008298017036799,1.298505482837695e-05,0.4524499775830181,0,True
2,traj_0002,0.29781787549004846,-0.14389477032061634,0.0,0.0,0.0083414081664209,0,0.0083413519924345,0.0108706638221545,0.0083413519924345,7.622215078831576e-06,0.4458938417145159,0,True
3,traj_0003,-0.3166722815587012,-0.03473881971490539,-0.05000000074505806,0.0,0.005526203816688654,0,0.0055258520788028,0.0365186474533857,0.0055258520788028,9.695221289205054e-06,0.3267975122747455,0,True
4,traj_0004,-0.5638839176991617,-0.14424943939295864,-0.02500000037252903,0.0,0.00595734041183876,0,0.0059566974092563,0.0382170291712282,0.0059566974092563,2.44305135646988e-05,0.2734670600428478,0,True
5,traj_0005,-0.06848798844916026,-0.013967777125545977,0.0,0.0,0.008748511442943984,0,0.0087479162639717,0.0240019734723429,0.0087479162639717,6.051236309551284e-06,0.4354610988672125,0,True
6,traj_0006,-0.02637974517389663,-0.128777098948793,0.0,0.0,0.008195027968751765,0,0.0081944131278958,0.0335818194982177,0.0081944131278958,1.305069313731452e-05,0.4622429829879053,0,True
7,traj_0007,0.10459194955520512,-0.09923404489664692,0.0,0.0,0.008652662409862486,0,0.0086525699122718,0.013107626797468,0.0086525699122718,5.563861798357641e-06,0.4462033795627824,0,True
8,traj_0008,-0.09135825502041084,-0.14015091102405514,0.0,0.0,0.008012930218995188,0,0.0080124327710415,0.0382724472365857,0.0080124327710415,1.3461861040817348e-05,0.4459033020764593,0,True
9,traj_0009,0.3010622733599684,-0.11571109519383901,0.0,0.0,0.005650003300428161,0,0.0085401149286088,0.0056484530262377,0.0056484530262377,1.4864336742022288e-05,0.4460323187045511,0,True
10,traj_0010,-0.4253100067780877,-0.0029044178623503503,-0.059701976784771155,0.0,0.0061540522851254624,0,0.0061534430891983,0.0359885699091802,0.0061534430891983,1.709826122066506e-05,0.2567380156791673,0,True
11,traj_0011,-0.030852887185930045,-0.04091092785136363,0.0,0.0,0.008675769326215653,0,0.0086750106354615,0.0223329214677173,0.0086750106354615,1.0192998173022258e-05,0.4538378518441588,0,True
12,traj_0012,0.17312974098707223,-0.061001351669459525,0.0,0.029195991501952352,0.005895965293865356,0,0.0089114137692703,0.0058947403170466,0.0058947403170466,5.593422008533249e-06,0.4463192036720444,0,True
13,traj_0013,-0.20955231637358218,-0.05588154417483128,-0.030064581025208904,0.0,0.005557955989555082,0,0.0055573065550863,0.0370195099496111,0.0055573065550863,3.619143215512504e-06,0.395130626161175,0,True
14,traj_0014,-0.04081581997256323,-0.10451825064425596,0.0,0.0,0.008300326129667208,0,0.0082996355609604,0.0318192351666919,0.0082996355609604,1.2865267582451628e-05,0.4662750681864487,0,True
15,traj_0015,0.5406616983167519,-0.14798061592511255,0.0,0.0,0.00824318543815726,0,0.0082431454069374,0.0093831459526514,0.0082431454069374,6.764910069137794e-06,0.4457444780325488,0,True
16,traj_0016,0.33465257112535096,-0.08876912858121687,0.0,0.019999999552965168,0.006136050807188562,0,0.0087219108495481,0.006135491147558,0.006135491147558,1.0744931281644936e-05,0.4461423721042994,0,True
17,traj_0017,-0.19466683685916608,-0.12519720849008587,-0.010707340781716972,0.0,0.00680345073795148,0,0.0068800130122146,0.0382292600676997,0.0068800130122146,1.0581167404104716e-05,0.4178580765255419,0,True
18,traj_0018,0.2866271269414963,-0.12390654524853972,0.0,0.0,0.007291315377295104,0,0.0084845529943564,0.0072897254110398,0.0072897254110398,1.8803735659025968e-05,0.4459994357726153,0,True
19,traj_0019,-0.4139286780865734,-0.14235312384044538,-0.025000000372529026,0.0,0.005613041338486839,0,0.0056123507161547,0.0382528129599776,0.0056123507161547,1.6393710587918148e-05,0.3238813153707945,0,True
