index,trajectory,theta,s,phi_L,phi_R,d_lookup_m,branch_exclusion,physical_dL,physical_dR,physical_d_min,physical_task_error,physical_joint_margin,physical_collision,valid_start
0,traj_0000,0.6001329978048355,-0.05974523453692833,0.0,0.029999999329447743,0.005455108928150065,0,0.0088612854233333,0.0054539751992142,0.0054539751992142,1.7510519880652718e-05,0.4461226722309228,0,True
1,traj_0001,-0.8136503464116444,-0.12406042833379716,-0.02500000037252903,0.0,0.006048651693493153,0,0.0060591138492871,0.0382269671868627,0.0060591138492871,2.6640311978774997e-05,0.1823611444364104,0,True
2,traj_0002,0.39384780408045517,-0.024104641587973735,0.0,0.05000000074505807,0.005372657646995939,0,0.0089749659518873,0.0053722487647556,0.0053722487647556,1.6067692986793363e-05,0.4462883917033948,0,True
3,traj_0003,-0.03785511206550063,-0.08129274588152116,0.0,0.0,0.008435186823472015,0,0.0084345114427361,0.0284671818804773,0.0084345114427361,9.964030117623568e-06,0.4696877944262295,0,True
4,traj_0004,-0.6616896188973674,-0.14451618545475176,-0.02096762880206846,0.0,0.0053126160868478085,0,0.0053123756308152,0.0381730897941132,0.0053123756308152,1.6402609311770702e-05,0.2484942302773542,0,True
5,traj_0005,-0.024291211885838493,-0.08456279856187282,0.0,0.0,0.008447052385077583,0,0.0084462574094078,0.0271511622742613,0.0084462574094078,1.3612432569410553e-05,0.4734118058837248,0,True
6,traj_0006,-0.7705144840229057,-0.05227256628705909,-0.03999999910593033,0.0,0.0058977838043952,0,0.0058973604431891,0.0368448021178991,0.0058973604431891,9.488253578633927e-06,0.1033900998702614,0,True
7,traj_0007,0.3173879222650675,-0.04125613443526806,0.0,0.04248773156991719,0.005561078846193271,0,0.0090013035580229,0.0055601382363275,0.0055601382363275,1.038437858012494e-05,0.4463009070444408,0,True
8,traj_0008,-0.21963035503262018,-0.11850272959574534,-0.019667908360555843,0.0,0.00574985427348635,0,0.0057797285777005,0.0380252619853625,0.0057797285777005,1.7798263013097177e-05,0.4029860990027615,0,True
9,traj_0009,0.07627689288375472,-0.14645572435763737,0.0,0.0,0.008320382655811321,0,0.0083202147829195,0.0250311204243771,0.0083202147829195,1.2572898825847184e-05,0.4478491495960754,0,True
10,traj_0010,0.034457759238244456,-0.06562604942729942,0.0,0.0,0.008702878444629112,0,0.0087023707193939,0.0170520719262226,0.0087023707193939,6.504106942016084e-06,0.469033749676667,0,True
11,traj_0011,-0.30146034943191,-0.07580111128754498,-0.03999999910593033,0.0,0.00617304868170593,0,0.0061882061637476,0.0371216085265442,0.0061882061637476,1.4146095104532597e-05,0.3460407331398143,0,True
12,traj_0012,-0.13980544080843482,-0.05336568677928964,-0.00010258278058190661,0.0,0.006086001623808607,0,0.0061851308084416,0.0371714238568783,0.0061851308084416,5.197205588196809e-06,0.4383125479132398,0,True
13,traj_0013,0.34796141222623855,-0.07340548904074501,0.0,0.02500000037252903,0.005410709766608271,0,0.0088250954699131,0.0054097925169257,0.0054097925169257,5.6223533312014845e-06,0.4462053928866192,0,True
14,traj_0014,-0.5161252097354837,-0.029737721102416848,-0.05000000074505805,0.0,0.006177318780344238,0,0.0061769842881614,0.0362910762234176,0.0061769842881614,1.641361776474877e-05,0.2131465847701982,0,True
15,traj_0015,0.31184358501218334,-0.0375452185919654,0.0,0.04500000178813934,0.005717918820478197,0,0.0089951656226098,0.0057205504005199,0.0057205504005199,8.593897916672321e-06,0.4463017320781284,0,True
16,traj_0016,0.13401215851240278,-0.14955227639990723,0.0,0.0,0.008313802312767845,0,0.0083137445415856,0.0190732432940867,0.0083137445415856,1.638169420695849e-05,0.4459390124714801,0,True
17,traj_0017,-0.49771536999071025,-0.06004055294265029,-0.03999999910593033,0.0,0.005504143600453992,0,0.0055036818828316,0.0364839044591559,0.0055036818828316,1.7035294467274724e-05,0.2356722666311169,0,True
18,traj_0018,0.4936377197915609,-0.008825053939700678,0.0,0.05499999970197677,0.005266356298074126,0,0.0089542058063059,0.0052655595262485,0.0052655595262485,1.2919307204391972e-05,0.446265982502382,0,True
19,traj_0019,-0.06083668009068943,-0.04858907783745124,0.0,0.0,0.008568860910413542,0,0.0085679911231586,0.0272393559238657,0.0085679911231586,1.3141153248364682e-05,0.4517545650112765,0,True
20,traj_0020,0.6169950527443296,-0.03927435674102496,0.0,0.039999999105930335,0.00603674823116429,0,0.0089964623988236,0.0060437011041286,0.0060437011041286,1.592295242686075e-05,0.4461960171802201,0,True
