index,trajectory,theta,s,phi_L,phi_R,d_lookup_m,branch_exclusion,physical_dL,physical_dR,physical_d_min,physical_task_error,physical_joint_margin,physical_collision,valid_start
0,traj_0000,0.28276578628993,-0.05711383682748637,0.0,0.03500000014901161,0.005801717126512697,0,0.0089394622162157,0.0058006030568613,0.0058006030568613,1.2479381365662544e-05,0.4463049469108053,0,True
1,traj_0001,-0.6047136393955239,-0.1255288106650099,-0.025000000372529033,0.0,0.005268158678918291,0,0.0052674881921704,0.0382603275391862,0.0052674881921704,1.969241416710373e-05,0.238921546161829,0,True
2,traj_0002,-0.042171475782654344,-0.09384453553555511,0.0,0.0,0.008356617420906997,0,0.0083558511146875,0.0305909644040813,0.0083558511146875,1.3437049605205775e-05,0.4696492305261394,0,True
3,traj_0003,0.6153763819736826,-0.1277742246681602,0.0,0.0,0.005958816572963715,0,0.0083666446277169,0.0059577061505531,0.0059577061505531,1.8677251571455085e-05,0.4458061528346655,0,True
4,traj_0004,0.2624926178318787,-0.00787644104208901,0.0,0.06407845116408635,0.006099002184063474,0,0.0089468445923876,0.006098107785853,0.006098107785853,4.655734947200845e-06,0.4463079579173343,0,True
5,traj_0005,0.1749322745659121,-0.07449100742494792,0.0,0.020114383260160434,0.005344298447396492,0,0.0088218506400203,0.0053438955345153,0.0053438955345153,2.2732244958254007e-06,0.4462877392902902,0,True
6,traj_0006,-0.2734249802980372,-0.1324635452312805,-0.025000000372529033,0.0,0.005436988244602931,0,0.0054363470200313,0.0382289360439185,0.0054363470200313,1.6351525851742748e-05,0.3803170586413836,0,True
7,traj_0007,0.12282435626444588,-0.011729981803569989,0.0,0.030373141514529717,0.005330461761477654,0,0.0089557583032624,0.0053294893277131,0.0053294893277131,3.461005886036736e-06,0.4463281676223815,0,True
8,traj_0008,0.46838111282424977,-0.05957936540810087,0.0,0.03500000014901161,0.006431415937085612,0,0.0088999669216475,0.0064302965084819,0.0064302965084819,1.093746305394744e-05,0.4462003876207405,0,True
9,traj_0009,-0.14023657717175708,-0.12268154818506126,0.0,0.0,0.00802744661525505,0,0.0080351219612389,0.0382943583445733,0.0080351219612389,7.071299916426632e-06,0.4459723352754068,0,True
10,traj_0010,0.3341149038694088,-0.13733262318946982,0.0,0.0,0.008382940826135606,0,0.0083828896116997,0.0092290385737605,0.0083828896116997,1.1386573506657013e-05,0.4459097020196116,0,True
11,traj_0011,-0.43952842749776677,-0.037790223113888716,-0.04941955463837116,0.0,0.006159465420950418,0,0.0061590400119065,0.0364914649578256,0.0061590400119065,1.1265279055429803e-05,0.25745233638097,0,True
12,traj_0012,-0.7201829903198551,-0.06897302005071712,-0.03500000014901161,0.0,0.005683219350350788,0,0.0056825535794159,0.036861346610765,0.0056825535794159,1.3807731085916115e-05,0.1391803850063644,0,True
13,traj_0013,-0.01311907252695843,-0.1101644003908431,0.0,0.0,0.008328607300791014,0,0.0083279994995397,0.0292390522582569,0.0083279994995397,1.1625123898923838e-05,0.4746799065327629,0,True
14,traj_0014,0.8205833130303015,-0.026948226447950363,0.0,0.039999999105930335,0.005388739537773981,1,0.0089861174982014,0.0053877493762342,0.0053877493762342,3.828687907087979e-06,0.4461093275212308,0,True
15,traj_0015,-0.08319337693520745,-0.015970907393114686,0.0,0.0,0.008710365886276453,0,0.0087095832269879,0.0262516196733459,0.0087095832269879,9.982210433330002e-06,0.4338357958963184,0,True
16,traj_0016,-0.0343966758746489,-0.12356392801870683,0.0,0.0,0.008207469930815751,0,0.0082070955241178,0.0337279260160817,0.0082070955241178,5.801993724380716e-06,0.4613987361703306,0,True
17,traj_0017,-0.32309131732990903,-0.006745882802539738,-0.05999999865889549,0.0,0.0059406279153355794,0,0.0059400052838114,0.0363023840200351,0.0059400052838114,1.8024409876851408e-05,0.3182274461820108,0,True
18,traj_0018,-0.18377377206114676,-0.07676490187101564,-0.012647284775479752,0.0,0.005565274796258361,0,0.0055716023464488,0.0375128623249819,0.0055716023464488,1.695212374862671e-05,0.4141997246132439,0,True
19,traj_0019,0.42323436513354484,-0.008214543162588184,0.0,0.0599999986588955,0.006069629089884466,0,0.008950052236347,0.0060686168327998,0.0060686168327998,1.2831590431802924e-05,0.4462810186623327,0,True
20,traj_0020,-0.6516425809830176,-0.06410817147360133,-0.03500000014901161,0.0,0.005201645253675795,0,0.0052009810718018,0.0365664763194621,0.0052009810718018,1.5115266579294682e-05,0.1647198546277346,0,True
21,traj_0021,0.3900114514759736,-0.014358006597644218,0.0,0.05583972618524524,0.005549819122274695,0,0.0089589691969043,0.0055492278438931,0.0055492278438931,1.4686187872775625e-05,0.4462881184188802,0,True
22,traj_0022,-0.8547931691325368,-0.06284459995319921,-0.03500000014901161,0.0,0.005135954452080156,0,0.005135228623723,0.0375416504935951,0.005135228623723,5.123793947426065e-06,0.0800932915824824,0,True
23,traj_0023,-0.40866020372455486,-0.12386147104165965,-0.029999999329447746,0.0,0.006076384203231767,0,0.0060756244072486,0.0377706540366205,0.0060756244072486,1.9525080163050023e-05,0.3136021951754778,0,True
24,traj_0024,-0.13225845073143938,-0.11219522115916358,0.0,0.0,0.008102434970472363,0,0.0081017294709181,0.0381988391563981,0.0081017294709181,1.7053896992331328e-05,0.4460265313584501,0,True
25,traj_0025,-0.3957939475512387,-0.09318963500282637,-0.03500000014901161,0.0,0.006188670139089621,0,0.0062065148421837,0.0369877178394989,0.0062065148421837,1.5735901226797807e-05,0.3029062035613797,0,True
26,traj_0026,-0.29797020550668707,-0.023002745909489947,-0.054999999701976776,0.0,0.005851199878597257,0,0.0058506954147053,0.0364342153724288,0.0058506954147053,6.217570124778523e-06,0.3358747042086156,0,True
27,traj_0027,-0.433412716745924,-0.0877115416197051,-0.03500000014901162,0.0,0.005902036227487217,0,0.0059155743264591,0.0368317139568306,0.0059155743264591,1.1368727902540404e-05,0.2815778674365035,0,True
28,traj_0028,-0.5142672980167955,-0.1399695089770438,-0.02500000037252903,0.0,0.005622302590453922,0,0.0056216005399359,0.0382482417144996,0.0056216005399359,1.927778927158503e-05,0.2847204826101366,0,True
29,traj_0029,0.5739412746115907,-0.08736815161285197,0.0,0.019999999552965164,0.00568224943237527,0,0.0086775085720172,0.0056818739011052,0.0056818739011052,8.578226839858547e-06,0.4460193195225903,0,True
30,traj_0030,0.5245434944554829,-0.03399379921270951,0.0,0.04500000178813934,0.006146719951369292,0,0.0089973890684687,0.0061461440087588,0.0061461440087588,4.195047099175047e-06,0.4462634520414403,0,True
31,traj_0031,0.4079500725489451,-0.06697506205400018,0.0,0.02999999932944775,0.005888075620228258,0,0.0088608288666033,0.0058869143929994,0.0058869143929994,1.676883610443775e-05,0.4462018780923027,0,True
32,traj_0032,0.20567154819192757,-0.12046816454556236,0.0,0.0,0.007539159771463574,0,0.0085134843003056,0.0075376805727332,0.0075376805727332,1.3909565281245282e-05,0.4460539996237109,0,True
33,traj_0033,-0.5609470819708913,-0.018948912124692713,-0.05000000074505806,0.0,0.00561834363558518,0,0.0056180663880168,0.0360977251660313,0.0056180663880168,8.806180813829856e-06,0.1852995467944088,0,True
34,traj_0034,-0.04481648178913611,-0.10185472903041255,0.0,0.0,0.008306862998735095,0,0.0083061306158737,0.0319560026093017,0.0083061306158737,1.3564741612758116e-05,0.4657193153990997,0,True
35,traj_0035,0.23414352981759734,-0.05884469572297647,0.0,0.03500000014901161,0.006106083786178153,0,0.0089282999859275,0.0061048224724308,0.0061048224724308,1.666358944393891e-05,0.4463112236850712,0,True
36,traj_0036,0.727839815630209,-0.007904324683404795,0.0,0.05000000074505806,0.006030201049459671,0,0.008972244938058,0.0060299226398876,0.0060299226398876,1.4036921703478922e-05,0.4461909779520181,0,True
37,traj_0037,-0.18174379241090977,-0.06391422742487754,-0.015405853665526327,0.0,0.005681225543974466,0,0.0056863834579139,0.0372344222133136,0.0056863834579139,1.6397778046455892e-05,0.4133952715072944,0,True
38,traj_0038,0.631625408527678,-0.08775939413756907,0.0,0.019999999552965164,0.005772372940486343,0,0.008652791556618,0.0057719530531299,0.0057719530531299,1.2684079023027014e-05,0.4459839707893251,0,True
39,traj_0039,0.351525819742616,-0.06375374151028461,0.0,0.029999999329447746,0.005376953492265601,0,0.0088901338929603,0.0053757894091364,0.0053757894091364,9.687376573168163e-06,0.4462466836968517,0,True
40,traj_0040,0.37481665130227515,-0.09994033729938542,0.0,0.012439612503682815,0.0056163097279737775,0,0.0086397621593157,0.005615460015645,0.005615460015645,1.8989873693056973e-05,0.4460702634664437,0,True
41,traj_0041,-0.2623240855699617,-0.022795526296630536,-0.05499999970197677,0.0,0.005707655849798358,0,0.0057071223664053,0.0365064755864574,0.0057071223664053,4.304352408914177e-06,0.3576973003426335,0,True
