t,sim_time,theta_ref,s_ref,theta_dot_ref,s_dot_ref,wheel_knot,axis0_raw,axis1_raw,theta_cmd,s_cmd,task_scale,theta_meas,s_meas,theta_dot,s_dot,phi_L,phi_R,phase_rms_L,phase_rms_R,action_L,action_R,executed_action_L,executed_action_R,intervened,candidate_phi_L,candidate_phi_R,lut_clearance,max_joint_speed,compute_ms,joint_tracking_max,grasp_position_L,grasp_position_R,grasp_rotation_L,grasp_rotation_R,status,stage,has_command,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,q_meas_8,q_meas_9,q_meas_10,q_meas_11,q_meas_12,q_meas_13,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_cmd_8,q_cmd_9,q_cmd_10,q_cmd_11,q_cmd_12,q_cmd_13
0,17.377,1.30031464e-07,-0.08000153833,-6.5015732e-06,7.6916436e-05,0,0,0,6.5015732e-08,-0.08000076916,1,1.30031464e-07,-0.08000153833,2.151916466e-07,-1.218121879e-10,0.0005268925034,-0.001434747051,7.370401261e-06,7.1167827e-06,0,0,0,0,0,0,0,0.008527217027,0,0.013346,0,1.635756741e-06,8.647488448e-07,9.628178973e-06,9.672976031e-06,ok,1,0,1.408469058,1.612660173,-1.436255019,1.569581938,0.09774649632,0.01916833041,0.1155286117,-1.36227715,1.601852466,1.269158951,1.486242153,-0.002805906573,0.06539878722,-0.5726737493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,17.387,6.5015732e-08,-0.08000076916,-6.5015732e-06,7.6916436e-05,0,0,0,0,-0.08,1,5.890805579e-06,-0.08000246301,-0.0005700348323,-3.943051244e-05,0.0005291882336,-0.001437744492,1.138335041e-05,7.186899046e-06,0.4284383655,0.215160951,0.4284383655,0.215160951,0,0.006955763715,0.001789669774,0.008496227707,0.6430862342,0.203738,0,1.558190133e-06,1.599220574e-06,1.537109243e-05,1.136727109e-05,ok,4,1,1.408465849,1.612657044,-1.436253811,1.569581434,0.09774173198,0.01916341503,0.1155283403,-1.362273826,1.601848151,1.269154418,1.486241362,-0.00280565417,0.06539845936,-0.5726740428,1.40769595,1.607099226,-1.429828092,1.569585204,0.09224183064,0.01856583137,0.1219592026,-1.36305256,1.604365471,1.27238405,1.486247301,-0.005500401461,0.06541670074,-0.5696584677
0.02,17.397,0,-0.08,0,0,1,0,0,0,-0.08,1,0.001871313496,-0.08006887334,-0.7563165668,0.02026948864,0.005123214825,0.0008188830025,0.0008217747032,0.0005490801803,0.02873819135,0.1126274765,0.02873819135,0.1126274765,0,0.005554287696,0.002508295149,0.008502847279,0.1895272017,0.150968,0.003021982387,0.000865978552,0.0003826633814,0.001512294774,0.001455349395,ok,4,1,1.407977318,1.610121208,-1.430685599,1.569255711,0.09348698754,0.01863529065,0.1202953325,-1.362917282,1.603028666,1.271798866,1.486409419,-0.004854872037,0.06543901985,-0.5704834101,1.407866367,1.608311842,-1.431229757,1.569585204,0.09344186178,0.01869712284,0.1205585266,-1.363226534,1.604923938,1.273102816,1.486247301,-0.006100357038,0.06541845608,-0.5689848926
0.03,17.407,0,-0.08,0,0,1,0,0,0,-0.08,1,-0.004617035745,-0.0799805201,-0.3032376907,0.008524934888,0.005564956975,0.002235106934,0.002053787003,0.001588717395,0.08609180897,-0.01020251401,0.08609180897,-0.01020251401,0,0.00685633411,0.002082069224,0.008496697342,0.3476529001,0.143498,0.002174307166,0.001401439326,0.0002935249398,0.006087425193,0.005014704868,ok,4,1,1.407518343,1.607466953,-1.433404064,1.570269675,0.09329167738,0.01888278547,0.121446065,-1.363505553,1.604829244,1.27216309,1.485783363,-0.005706648335,0.06526823911,-0.5690370732,1.407708041,1.607185256,-1.429927535,1.569585204,0.09232696847,0.01857514602,0.1218598298,-1.363123348,1.604592704,1.272676507,1.486247301,-0.005744515692,0.06541741496,-0.5693843986
0.04,17.417,0,-0.08,0,0,2,0,0,0,-0.08,1,-0.003702445855,-0.07994210684,0.2112964373,-0.00541377975,0.006839075963,0.002279030308,0.001273902224,0.001190704578,0.1331810206,0.06821160018,0.1331810206,0.06821160018,0,0.008836791273,0.003302204311,0.008487404423,0.2558845257,0.106595,0.0009462175662,0.0003260918786,0.0005469074477,0.002714527343,0.003506816871,ok,4,1,1.407295431,1.606239039,-1.430332447,1.569992257,0.09265461277,0.01875396132,0.1212803531,-1.36329431,1.605427028,1.272103644,1.485953016,-0.005733647972,0.06528533466,-0.5691942638,1.407465963,1.605471926,-1.427946766,1.569585204,0.09063110564,0.01839088176,0.1238391983,-1.36341511,1.605542229,1.273896347,1.486247301,-0.006763342601,0.06542412409,-0.5682405469
0.05,17.427,0,-0.08,0,0,2,0,0,0,-0.08,1,0.0002871289092,-0.0799829308,0.03893688492,0.007250704302,0.008209684169,0.003012570169,0.0002869646232,0.0001737470421,0.2265050858,-0.03495794535,0.2265050858,-0.03495794535,0,0.01160726046,0.002488200989,0.008474987532,0.3495895743,0.082126,0.001101436257,0.0004322022427,0.0001516338692,0.0007517183133,0.0005613754389,ok,4,1,1.407633267,1.606573362,-1.428048975,1.56945017,0.09113991815,0.01842569742,0.123182264,-1.363285584,1.605258038,1.273853871,1.486297907,-0.006476206889,0.0654148882,-0.5686423647,1.407115358,1.603077467,-1.425175424,1.569585204,0.08825807287,0.01814515155,0.1266085438,-1.363221669,1.604908322,1.273082718,1.486247301,-0.006083581116,0.065418407,-0.5690037271
0.06,17.437,0,-0.08,0,0,3,0,0,0,-0.08,1,0.0008723433585,-0.07993724128,-0.1235250904,-0.009373027245,0.01059195045,0.002556772098,0.0002501091948,0.0003735057084,0.4065124393,0.2241793871,0.4065124393,0.2241793871,0,0.01668963704,0.005919462904,0.008452764788,0.6008551834,0.04892,0.001540390509,0.0001559224512,0.0001373152963,0.0002382284356,0.0008547954224,ok,4,1,1.407485761,1.604617857,-1.426099564,1.569594583,0.08892390083,0.01823335596,0.126008155,-1.363056578,1.604991992,1.273073491,1.486295015,-0.006184686961,0.06541108421,-0.5687857669,1.406460733,1.598687214,-1.420091012,1.569585204,0.08390424954,0.01770588603,0.1316891277,-1.364034454,1.607581379,1.276512016,1.486247301,-0.008949104182,0.0654452056,-0.5657865495
0.07,17.447,0,-0.08,0,0,3,0,0,0,-0.08,1,0.001462937251,-0.08010206293,-0.8036935468,0.01566330025,0.01504866098,0.004956930303,0.000536706817,0.0005151678567,-0.09445238113,0.09531838447,-0.09445238113,0.09531838447,0,0.01363187526,0.00638670607,0.008465913466,0.1806565938,0.044726,0.002026271113,0.0001422207259,0.0005266125195,0.0005818210318,0.001394766118,ok,4,1,1.406698273,1.600713485,-1.421751905,1.569358196,0.08497504801,0.01777960489,0.1304389034,-1.363924816,1.606190846,1.276157579,1.48635436,-0.008212714801,0.06545779918,-0.5667497087,1.406859141,1.601327634,-1.423150171,1.569585204,0.08652389828,0.01796557581,0.1286323375,-1.364145022,1.607945416,1.276978975,1.486247301,-0.009339314826,0.06544896916,-0.5653484524
0.08,17.457,0,-0.08,0,0,4,0,0,0,-0.08,1,-0.003813631275,-0.07997947928,-0.1325657813,0.01411195029,0.01426070765,0.006139467432,0.001619777366,0.00134438542,-0.02747264691,-0.08288319409,-0.02747264691,-0.08288319409,0,0.01384861794,0.00489621952,0.008464942053,0.2011583186,0.042847,0.002198909423,0.001469826099,0.0002814463343,0.004154732882,0.004329807958,ok,4,1,1.406440291,1.599128724,-1.424515404,1.570094717,0.08613447361,0.01807043816,0.12955512,-1.364376905,1.60779154,1.276088954,1.485850947,-0.009045067966,0.06533624785,-0.5653037058,1.406831712,1.601140308,-1.42293336,1.569585204,0.08633824832,0.01794635155,0.1288489923,-1.363792315,1.606784153,1.275489394,1.486247301,-0.008094558864,0.06543696357,-0.5667459643
0.09,17.467,0,-0.08,0,0,4,0,0,0,-0.08,1,-0.003226863688,-0.07989512139,0.3780606851,-0.01195817533,0.0142035473,0.005385576567,0.001123019152,0.001058330064,0.1226947159,-0.001152203768,0.1226947159,-0.001152203768,0,0.01604396804,0.00536829351,0.008455492608,0.2565195766,0.047949,0.001319327393,0.0001062866647,0.000756971685,0.00223790746,0.003068727812,ok,4,1,1.406451916,1.600135123,-1.422474706,1.569980288,0.08641920801,0.01808261472,0.1284784446,-1.363916551,1.60810348,1.274995701,1.485971625,-0.008373844382,0.06529838947,-0.5662275985,1.406545861,1.599244554,-1.420737014,1.569585204,0.0844574547,0.01775971353,0.1310436403,-1.363904026,1.607151954,1.275961181,1.486247301,-0.008488803894,0.06544076604,-0.5663033377
