t,sim_time,theta_ref,s_ref,theta_dot_ref,s_dot_ref,wheel_knot,theta_meas,s_meas,theta_dot,s_dot,phi_L,phi_R,phase_rms_L,phase_rms_R,action_L,action_R,executed_action_L,executed_action_R,intervened,candidate_phi_L,candidate_phi_R,lut_clearance,max_joint_speed,compute_ms,joint_tracking_max,grasp_position_L,grasp_position_R,grasp_rotation_L,grasp_rotation_R,status,stage,has_command,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,q_meas_8,q_meas_9,q_meas_10,q_meas_11,q_meas_12,q_meas_13,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_cmd_8,q_cmd_9,q_cmd_10,q_cmd_11,q_cmd_12,q_cmd_13
0,16.173,-1.543286631e-07,-0.07999621722,7.716433156e-06,0.04,0,-2.245348344e-07,-0.07999808545,-9.435379197e-07,-2.739160315e-05,0.0005608902025,-0.001443657958,6.307443045e-06,7.585340124e-06,0,0,0,0,0,0,0,0.008527064911,0,0.004274,0,7.705219573e-08,6.689857717e-08,6.185484876e-06,4.615466792e-06,ok,1,0,1.4084752,1.612629161,-1.436223027,1.56959569,0.09771474649,0.01916397401,0.115562022,-1.362285371,1.601847045,1.269150523,1.486259234,-0.002800121418,0.06538996045,-0.572688047,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,16.183,-7.716433156e-08,-0.07959621722,7.716433156e-06,0.04,0,-4.04058937e-07,-0.07999831435,-6.815197693e-05,-1.625243466e-05,0.0005610547347,-0.001443825428,6.471215662e-06,7.838514465e-06,0.4293075204,0.2168166339,0.4293075204,0.2168166339,0,0.007000667541,0.001808424081,0.008500570266,0.666666821,0.18445,0,3.081021105e-07,2.984465306e-07,6.276893e-06,4.652211986e-06,ok,4,1,1.408474432,1.612628834,-1.436222883,1.569595423,0.09771465895,0.01916378074,0.1155619709,-1.362284724,1.601846983,1.269150321,1.486258988,-0.002799944949,0.06538980877,-0.57268805,1.41012316,1.606955417,-1.429556214,1.573068087,0.09244323142,0.01749210755,0.1220435339,-1.365461527,1.604079661,1.272025016,1.489823434,-0.005932568619,0.06422360257,-0.5699646402
0.02,16.193,0,-0.07919621722,0,0.04,1,0.001458158807,-0.07995284088,-0.007797593963,0.008979673975,0.001252123848,-0.00111757265,0.0006307930588,0.0004685553302,0.3849517405,0.2442415804,0.3849517405,0.2442415804,0,0.007026399956,0.002546051055,0.008502715399,0.6003241394,0.064312,0.005957880517,0.000286370438,0.0001138279271,0.001742053313,0.001557772403,ok,4,1,1.408652219,1.61218051,-1.435046772,1.569713637,0.09717020081,0.01889141936,0.1160856533,-1.362468013,1.601963989,1.26966998,1.486824202,-0.003187219504,0.06534239628,-0.572461697,1.411330632,1.606880912,-1.429417634,1.574801333,0.09254064153,0.01695744485,0.1220888947,-1.366837833,1.60450603,1.272574779,1.491603086,-0.006755830595,0.06363208239,-0.5694311778
0.03,16.203,0,-0.07879621722,0,0.04,1,0.0008673218663,-0.07982188824,-0.09116110623,0.01436787472,0.001920180089,-0.0006997298597,0.0003265192279,0.0002516145009,0.3192578852,0.002801924944,0.3192578852,0.002801924944,0,0.006709048368,-0.0006577009856,0.008506479887,0.6293132219,0.038315,0.005229899273,0.000116637975,8.512000987e-05,0.0008049094377,0.0008662085506,ok,4,1,1.408938778,1.611622077,-1.434647533,1.570241447,0.09653713346,0.01867064227,0.1169571958,-1.362966708,1.602225204,1.269922192,1.48735428,-0.003602583382,0.06512174974,-0.5720592548,1.412579979,1.607103411,-1.429620382,1.576534579,0.09293040078,0.01645509618,0.1217912058,-1.367252373,1.601852512,1.269182395,1.493382738,-0.004287487972,0.06302807908,-0.5726126049
0.04,16.213,0,-0.07839621722,0,0.04,2,-0.0002703376959,-0.07963373497,-0.03896346422,0.01661913935,0.002515259125,-0.0006516651972,0.0001442482626,0.0001711859554,0.3371101618,0.1056334525,0.3371101618,0.1056334525,0,0.007571911552,0.0009328365908,0.008504674381,0.728918836,0.075838,0.005509536718,6.848740964e-05,0.0001543285106,0.0004782503388,0.0005434510256,ok,4,1,1.409279435,1.610933619,-1.434297109,1.571183714,0.09610030005,0.01848649796,0.117635435,-1.363472873,1.602362888,1.269561738,1.487873201,-0.003697371743,0.06478731172,-0.5719494581,1.413685189,1.606304128,-1.428649936,1.578267825,0.09231524938,0.015841492,0.1226737023,-1.368836899,1.60294558,1.270585235,1.495162389,-0.005823063699,0.06243929638,-0.5712749834
0.05,16.223,0,-0.07799621722,0,0.04,2,-5.585957727e-05,-0.0794628657,-0.01265193367,0.01832634624,0.003125425093,-0.0004565317599,4.593840827e-05,6.077234318e-05,0.3413659036,0.05118840933,0.3413659036,0.05118840933,0,0.008245913647,0.00031129438,0.008503761424,0.8278390378,0.069275,0.006498738736,5.530900465e-05,3.708823916e-05,0.0001420391986,0.0001079312836,ok,4,1,1.409765357,1.610323612,-1.433570042,1.571998313,0.0956493874,0.01816158612,0.1181738902,-1.364125063,1.602461511,1.269844154,1.488663651,-0.003891133223,0.0645008158,-0.5719763737,1.414813293,1.605668188,-1.427869181,1.58000107,0.09186244653,0.01524550302,0.1233675177,-1.369880543,1.60230763,1.269775565,1.496942041,-0.005511085819,0.06184309478,-0.5720253024
0.06,16.233,0,-0.07759621722,0,0.04,3,-0.0001311330718,-0.07924844016,-0.005589301397,0.0214480479,0.003734091886,-0.0003627803663,4.03609931e-05,8.032792636e-05,0.2810644507,0.2601290345,0.2810644507,0.2601290345,0,0.007950058647,0.003539155152,0.008507427739,0.9078873173,0.0703,0.00731037536,1.721016186e-05,1.917665609e-05,0.0001541138051,0.0001612189667,ok,4,1,1.410343172,1.609797526,-1.432835186,1.572911943,0.09520688209,0.01780868192,0.1187586222,-1.364791166,1.602411847,1.269855296,1.489631666,-0.004083605325,0.06419167112,-0.5719726345,1.416058463,1.605872466,-1.428050704,1.581724539,0.0922356219,0.01474923203,0.1230914701,-1.371862205,1.604693728,1.272814,1.498710539,-0.008416404377,0.06127483857,-0.5691303173
0.07,16.243,0,-0.07719621722,0,0.04,3,0.0002661378388,-0.07903465755,-0.01791178292,0.02425887603,0.00422440857,7.034913544e-05,0.0001387891591,0.0001264009737,0.2546866834,0.2562159598,0.2546866834,0.2562159598,0,0.008044708821,0.003913588532,0.008509252795,0.9740781737,0.114738,0.00797581668,3.338292206e-05,0.0001166367122,0.0002289709124,0.0004010648104,ok,4,1,1.411018475,1.609344444,-1.432321966,1.573846877,0.09480777221,0.01740606933,0.1193018839,-1.365624723,1.602575232,1.270373037,1.490734722,-0.004537972275,0.06388129885,-0.5717401764,1.41725537,1.605738722,-1.427845044,1.58344491,0.09227759361,0.01421862752,0.1232060275,-1.373146469,1.604842002,1.27299847,1.500475504,-0.00893854728,0.06069599354,-0.5689336323
0.08,16.253,0,-0.07679621722,0,0.04,4,0.000139528688,-0.07876877315,-0.02350820719,0.02704428425,0.004681933465,0.0005139664918,8.60227243e-05,7.364758747e-05,0.2789644003,0.1741804481,0.2789644003,0.1741804481,0,0.00886639947,0.003126673213,0.008507719424,1.035351478,0.097891,0.008588549725,3.865117635e-05,6.357423164e-05,0.0001378326869,0.0001588975304,ok,4,1,1.411741025,1.60890713,-1.431808111,1.574965418,0.09449066299,0.01703278914,0.1197688063,-1.366479644,1.602819856,1.270609444,1.491886954,-0.005054761775,0.06351229508,-0.5713504132,1.418361717,1.604975637,-1.426921583,1.585165281,0.09170437236,0.01362045091,0.124047811,-1.374150833,1.604073901,1.272022327,1.502240469,-0.00849008487,0.06010575126,-0.5698398155
0.09,16.263,0,-0.07639621722,0,0.04,4,-2.896789062e-05,-0.07847796926,-0.01466510498,0.02792215097,0.005179864436,0.000832371408,2.878458919e-05,5.660297953e-05,0.3013891578,0.06558784842,0.3013891578,0.06558784842,0,0.009700701802,0.001816189134,0.008506262057,1.093792567,0.06368,0.009172960613,6.132055221e-06,5.920422607e-05,8.108938093e-05,0.0001515080997,ok,4,1,1.412509444,1.608457274,-1.431177606,1.576204013,0.09417449889,0.01664726522,0.1202487795,-1.367340309,1.603059997,1.270650132,1.493067508,-0.005472852934,0.06308543625,-0.5710983362,1.41946366,1.604202141,-1.425987988,1.586885652,0.09112224061,0.01302358583,0.1249022982,-1.375023182,1.602891492,1.27052226,1.504005434,-0.007604091653,0.05951453828,-0.5712464421
