t,sim_time,theta_ref,s_ref,theta_dot_ref,s_dot_ref,wheel_knot,theta_meas,s_meas,theta_dot,s_dot,phi_L,phi_R,phase_rms_L,phase_rms_R,action_L,action_R,executed_action_L,executed_action_R,intervened,candidate_phi_L,candidate_phi_R,lut_clearance,max_joint_speed,compute_ms,joint_tracking_max,grasp_position_L,grasp_position_R,grasp_rotation_L,grasp_rotation_R,status,stage,has_command,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,q_meas_8,q_meas_9,q_meas_10,q_meas_11,q_meas_12,q_meas_13,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_cmd_8,q_cmd_9,q_cmd_10,q_cmd_11,q_cmd_12,q_cmd_13
0,16.367,0,-0.08,-0.1096623181,0.01005309649,0,3.186406246e-07,-0.07999640117,-2.962096257e-06,-5.210790322e-05,0.0005664020538,-0.001447348227,7.774749427e-06,8.096378698e-06,0,0,0,0,0,0,0,0.008527048092,0,0.011582,0,1.02315299e-07,8.815268385e-08,6.215790604e-06,5.465490744e-06,ok,1,0,1.408479935,1.612626408,-1.436217617,1.569605165,0.09770966618,0.01915595701,0.1155690086,-1.362289849,1.601843305,1.269146493,1.486268136,-0.002795578049,0.06538680013,-0.5726904518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,16.377,-0.001096622893,-0.07989946906,-0.1096622315,0.01005308855,0,9.904811348e-07,-0.07999673751,4.127083828e-05,-1.929019503e-05,0.000566517935,-0.001447465241,8.145173383e-06,8.278191491e-06,0.429654032,0.2172079384,0.429654032,0.2172079384,0,0.007011328415,0.001810653836,0.008492131127,0.6838346249,0.222589,0,3.810829714e-07,3.994958967e-07,6.199972726e-06,5.182777066e-06,ok,4,1,1.40847895,1.612626143,-1.436217547,1.569604401,0.09770947779,0.01915597156,0.1155689033,-1.362288891,1.601843098,1.269146612,1.486267879,-0.002795227681,0.06538686357,-0.5726901851,1.407982612,1.606142292,-1.429379201,1.571289059,0.09337256193,0.0169999606,0.1215131629,-1.363843256,1.605183069,1.27263017,1.48648991,-0.004565755329,0.06631379446,-0.5701191425
0.02,16.387,-0.002193244053,-0.07979893828,-0.1096619718,0.01005306474,1,0.0008873709517,-0.07999664864,-0.04641246741,0.002568506017,0.001254956506,-0.001117799606,0.0004852221961,0.00034672403,0.3488445282,0.1176109239,0.3488445282,0.1176109239,0,0.006487624429,0.0006463642536,0.008492653376,0.5980256673,0.209584,0.00597892996,0.0002763981014,0.0001238527972,0.001322592662,0.0010674256,ok,4,1,1.40846074,1.612121222,-1.435065795,1.569653813,0.09726969213,0.0188833671,0.1160714019,-1.362386487,1.602038352,1.269686551,1.486376846,-0.003054585506,0.06551092409,-0.5724586835,1.408193076,1.606140965,-1.429705744,1.572140947,0.09441017168,0.01626946593,0.1207386999,-1.363954517,1.604678464,1.271577975,1.486611282,-0.00311912314,0.06676115877,-0.5714515246
0.03,16.397,-0.003289861751,-0.07969840782,-0.1096615388,0.01005302505,1,-0.0004009561908,-0.0799503725,-0.08870154389,0.004136338917,0.001864028702,-0.0009063809397,8.419899629e-05,4.239978653e-05,0.3270437717,-0.0194466617,0.3270437717,-0.0194466617,0,0.006769685278,-0.001198080865,0.008489415701,0.6000899205,0.17125,0.005302041666,7.42735719e-05,1.738693511e-05,7.808356456e-05,0.0001404436176,ok,4,1,1.408396629,1.611443007,-1.434746208,1.570017112,0.09688414408,0.01860589032,0.1168132029,-1.362569157,1.602347487,1.269693566,1.486332166,-0.003103299834,0.06559982977,-0.5722097275,1.408305005,1.605442108,-1.429227797,1.572992808,0.0947576778,0.01546206249,0.1207696028,-1.363901418,1.603644488,1.269845332,1.486732698,-0.001106660592,0.06720919033,-0.5734226278
0.04,16.407,-0.004386474253,-0.07959787783,-0.1096609328,0.01005296949,2,-0.001460584665,-0.0798955407,-0.05764202972,0.003743765599,0.002463041887,-0.0009113782012,0.0001960437228,0.0002268615355,0.3216309547,0.007102525793,0.3216309547,0.007102525793,0,0.007287506208,-0.0008048403143,0.008485101233,0.6054912184,0.182145,0.005151770288,6.582156434e-05,0.0001274358011,0.0006241723186,0.0007830564074,ok,4,1,1.408343819,1.610593878,-1.434257551,1.570500157,0.09663658406,0.01828316092,0.1173397736,-1.362741945,1.602631861,1.269559212,1.486254665,-0.002876059329,0.06572723129,-0.5722678862,1.408387793,1.604538966,-1.428515216,1.573844641,0.09490318479,0.01463141215,0.1210361495,-1.364389933,1.604351009,1.270350634,1.486854159,-0.0009596616472,0.06765946503,-0.5732947716
0.05,16.417,-0.005483079829,-0.07949734848,-0.1096601535,0.01005289805,2,-0.001923616867,-0.07986036459,-0.04391335535,0.003747288366,0.003045439184,-0.0008894522476,0.0001457441876,0.0001717487403,0.2718426287,0.009076723829,0.2718426287,0.009076723829,0,0.007123078615,-0.0007533013902,0.008483943401,0.5602439925,0.1442,0.005289789014,5.976279002e-05,5.750423488e-05,0.0004745210825,0.0005800355613,ok,4,1,1.408330794,1.609828755,-1.433548759,1.570898701,0.09642944938,0.01785204813,0.1177427209,-1.362967267,1.602845349,1.269753701,1.486286885,-0.002624927223,0.06594483979,-0.5724579235,1.408553965,1.604226315,-1.428483485,1.574696443,0.09563299152,0.0138664089,0.1206205164,-1.3647959,1.604791881,1.270514004,1.486975664,-0.0005279753754,0.06810955737,-0.5734875674
0.06,16.427,-0.006579676746,-0.07939681993,-0.109659201,0.01005281074,3,-0.002509760433,-0.07981437741,-0.04628974986,0.005066389789,0.003532387856,-0.0008764479196,0.0001396805154,0.0001637052574,0.2112576216,0.0222872477,0.2112576216,0.0222872477,0,0.00670125218,-0.0005421392041,0.008483955242,0.503045541,0.416834,0.004940594556,4.934820254e-05,1.797630762e-05,0.000456084667,0.0005359435563,ok,4,1,1.408346247,1.60916691,-1.432954869,1.571323998,0.09631845066,0.01737205102,0.1180864126,-1.363199754,1.603025518,1.269898192,1.486375119,-0.002365705941,0.06621067257,-0.5726048745,1.408751684,1.604136454,-1.428708196,1.575548213,0.09658325622,0.01312669348,0.1199473907,-1.365240602,1.605357159,1.27083686,1.487097213,-0.0002292078757,0.06855959178,-0.5735305719
0.07,16.437,-0.007676263272,-0.07929629232,-0.1096580754,0.01005270755,3,-0.003108301807,-0.07975895583,-0.05206337453,0.005948962035,0.003915933581,-0.0008470991907,0.0001315381793,0.0001478687595,0.2781066597,-0.02269464731,0.2781066597,-0.02269464731,0,0.008087533476,-0.0011875189,0.008475717936,0.6082411937,0.282854,0.004426690984,6.118501899e-05,1.509795368e-05,0.0004312536078,0.0004677331269,ok,4,1,1.408388608,1.608563145,-1.432482043,1.571797399,0.09631584819,0.01687392036,0.1183316788,-1.363433486,1.603272595,1.27001185,1.486467579,-0.002103201432,0.06649143181,-0.5727166029,1.40872686,1.602480733,-1.42713233,1.576399951,0.09598462757,0.01220928548,0.1210821323,-1.365478286,1.60525573,1.270302848,1.487218806,0.0007821235862,0.06901047369,-0.574377929
0.08,16.447,-0.008772837677,-0.07919576583,-0.1096567767,0.01005258849,4,-0.003652167075,-0.07968875476,-0.0536400371,0.006442149581,0.004387478965,-0.0008827277295,6.028455135e-05,9.71144302e-05,0.2828981876,-0.08661944419,0.2828981876,-0.08661944419,0,0.008630951779,-0.002182019392,0.008471370071,0.6342333887,0.157946,0.00541629807,2.423799738e-05,2.676191215e-05,0.0002092217168,0.0003306325766,ok,4,1,1.408439535,1.607897031,-1.431769709,1.572320235,0.09630620687,0.01633412034,0.1185877437,-1.36363982,1.603520607,1.270008713,1.486564336,-0.0017916265,0.06678362293,-0.5728728738,1.40880504,1.601554697,-1.426396975,1.577251654,0.09610789928,0.01137387374,0.1213740559,-1.365631726,1.604882296,1.269419486,1.487340442,0.002083138196,0.06946255978,-0.575553589
0.09,16.457,-0.009869398229,-0.0790952406,-0.1096553047,0.01005245355,4,-0.004430648856,-0.07961518665,-0.0607829401,0.006412353505,0.004881986723,-0.001030233015,7.815500269e-05,0.0001089632326,0.2891440094,-0.1091279015,0.2891440094,-0.1091279015,0,0.009219146864,-0.002667151537,0.008466973885,0.6595305404,0.137401,0.005630814878,2.900339616e-05,6.26474585e-05,0.000259738497,0.0003680497942,ok,4,1,1.408490641,1.607185512,-1.431133447,1.572912833,0.09629044278,0.01575165122,0.1189288969,-1.363855286,1.603719952,1.269897524,1.486635985,-0.001347463771,0.06708176549,-0.573167842,1.408874684,1.600590207,-1.425617817,1.578103322,0.09619257335,0.01053593878,0.1217107978,-1.365908509,1.604905412,1.26904542,1.487462122,0.002959948487,0.0699146072,-0.576251223
