t,sim_time,theta_ref,s_ref,theta_dot_ref,s_dot_ref,wheel_knot,theta_meas,s_meas,theta_dot,s_dot,phi_L,phi_R,phase_rms_L,phase_rms_R,action_L,action_R,executed_action_L,executed_action_R,intervened,candidate_phi_L,candidate_phi_R,lut_clearance,max_joint_speed,compute_ms,joint_tracking_max,grasp_position_L,grasp_position_R,grasp_rotation_L,grasp_rotation_R,status,stage,has_command,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,q_meas_8,q_meas_9,q_meas_10,q_meas_11,q_meas_12,q_meas_13,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_cmd_8,q_cmd_9,q_cmd_10,q_cmd_11,q_cmd_12,q_cmd_13
0,16.182,0,-0.08,0.1096623181,0.01005309649,0,1.140409929e-06,-0.0799962895,-1.486187386e-06,-5.200723661e-05,0.0005630015799,-0.001445810969,7.683521989e-06,7.571226873e-06,0,0,0,0,0,0,0,0.008527067884,0,0.010686,0,9.30961042e-08,9.258407239e-08,5.731396646e-06,4.910805801e-06,ok,1,0,1.408480674,1.612629449,-1.436220462,1.569605233,0.09771493053,0.01915619249,0.1155672623,-1.362290146,1.601843838,1.269147066,1.486267642,-0.002800309283,0.06538667783,-0.5726904052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,16.192,0.001096622893,-0.07989946906,0.1096622315,0.01005308855,0,1.679628705e-06,-0.07999658039,1.801643167e-05,-1.349629335e-05,0.0005631784242,-0.001445866647,7.966116496e-06,7.716009449e-06,0.4296267331,0.2171200663,0.4296267331,0.2171200663,0,0.00700757942,0.001810934347,0.008502420025,0.6947189801,0.234307,0,3.786867006e-07,3.785975913e-07,5.921912622e-06,4.211175893e-06,ok,4,1,1.408479739,1.612629381,-1.436220177,1.569604515,0.097714772,0.01915621553,0.1155673467,-1.362289409,1.601843653,1.269147234,1.486267525,-0.002800015412,0.06538677961,-0.572690118,1.408599572,1.607910308,-1.430047488,1.569617601,0.09113670968,0.01958636054,0.1225145365,-1.363464896,1.60342819,1.271984292,1.487793196,-0.006673367989,0.06392078937,-0.5693068545
0.02,16.202,0.002193244053,-0.07979893828,0.1096619718,0.01005306474,1,0.001921147053,-0.07999422974,0.03092295643,0.002564191324,0.001257699238,-0.001108391608,0.0007137540653,0.0005731019749,0.462430805,0.2718983889,0.462430805,0.2718983889,0,0.008194161312,0.002970084224,0.008499963233,0.7837591819,0.233163,0.006400277085,0.0002893609246,0.0001325385976,0.002111612732,0.00185607462,ok,4,1,1.408580469,1.612238101,-1.435050358,1.56925325,0.09705569264,0.01907370221,0.1161142594,-1.362320306,1.601902107,1.269707591,1.486701539,-0.003291218974,0.06535594691,-0.5724279976,1.40891096,1.607312348,-1.428997001,1.569633839,0.08959286822,0.01999001005,0.1239518512,-1.363948149,1.603853972,1.272933134,1.488566075,-0.00822007865,0.06317925267,-0.5680525424
0.03,16.212,0.003289861751,-0.07969840782,0.1096615388,0.01005302505,1,0.002059211447,-0.07996231584,-0.07347343435,0.003957734661,0.00205129413,-0.0006481021113,0.0005651087795,0.0004717907597,0.3214030266,0.03996795043,0.3214030266,0.03996795043,0,0.006872339529,-4.858285482e-05,0.00850950669,0.5949567091,0.244786,0.006804375681,0.0001974080665,0.0001280575429,0.001657866757,0.001545044446,ok,4,1,1.408637895,1.611734296,-1.434491827,1.569190076,0.09614069999,0.01918344399,0.1171474756,-1.362491071,1.602043046,1.270035069,1.487010156,-0.003916357512,0.06512273348,-0.5718900954,1.409526386,1.60888323,-1.430452564,1.569650103,0.0901911329,0.02062451571,0.1228838933,-1.363419096,1.601025747,1.269704046,1.489338907,-0.006272618601,0.06241586031,-0.57072147
0.04,16.222,0.004386474253,-0.07959787783,0.1096609328,0.01005296949,2,0.0008938147085,-0.07989953758,-0.02464748765,0.004732118276,0.002662230505,-0.0005270843017,0.0001130467113,0.0001312770064,0.3506270349,0.2567138076,0.3506270349,0.2567138076,0,0.007921636029,0.003323622812,0.008507666968,0.6625281223,0.299917,0.005199951476,9.18664337e-05,0.0001369806783,0.0003304889165,0.0004707634706,ok,4,1,1.408623634,1.611222931,-1.434389468,1.569529785,0.09539108437,0.0194428689,0.1180153375,-1.362642702,1.602087965,1.269682025,1.487061023,-0.004216318477,0.06470073344,-0.5715519606,1.40985494,1.608404332,-1.429539146,1.569666394,0.08876580315,0.02104207354,0.1241842337,-1.364439408,1.60317648,1.27286642,1.490111691,-0.009671591923,0.06168779812,-0.5673867628
0.05,16.232,0.005483079829,-0.07949734848,0.1096601535,0.01005289805,2,0.001784384697,-0.07987614571,0.02982632324,0.004363187638,0.003288862253,-0.0001088706042,0.0001152247044,8.823056262e-05,0.3281265199,0.262426883,0.3281265199,0.262426883,0,0.008210760052,0.00382753264,0.008509466557,0.662735255,0.199812,0.005851020969,6.510634767e-05,4.928304372e-05,0.0003151415297,0.000282467793,ok,4,1,1.408741945,1.610789545,-1.433758119,1.569526191,0.09461682412,0.01960484846,0.1186559129,-1.362903202,1.602202103,1.270252006,1.487349686,-0.004735497026,0.06436030578,-0.571250021,1.410275698,1.608582662,-1.429384897,1.569682711,0.08798947157,0.02152957967,0.1247255594,-1.364762996,1.603093441,1.273160249,1.490884425,-0.01067142297,0.0609459374,-0.5667457521
0.06,16.242,0.006579676746,-0.07939681993,0.109659201,0.01005281074,3,0.002306597282,-0.07982187686,0.03360721917,0.006153966042,0.003880134068,0.0003520862293,8.367486703e-05,8.195060269e-05,0.3640820086,0.3364578784,0.3640820086,0.3364578784,0,0.009341364197,0.005398954405,0.008507343818,0.7328122206,0.206038,0.00583554624,1.901599225e-05,7.366737807e-05,0.0002553788877,0.0002227690832,ok,4,1,1.408928182,1.610550853,-1.433167849,1.569503169,0.09382501781,0.01982074348,0.1193430757,-1.363123209,1.602239201,1.270633803,1.487801692,-0.005428836022,0.06398631642,-0.5707160662,1.410591412,1.608034684,-1.42839033,1.569699055,0.0864968956,0.02194565474,0.1261072821,-1.365341613,1.603845468,1.274521088,1.491657109,-0.01256617085,0.06021724767,-0.565099487
0.07,16.252,0.007676263272,-0.07929629232,0.1096580754,0.01005270755,3,0.0031892424,-0.07976319708,0.03560516472,0.006886302721,0.004515631633,0.0009328444548,0.0001648060761,0.0001398453603,0.3886300325,0.1739771217,0.3886300325,0.1739771217,0,0.01034508212,0.00354250128,0.008505853102,0.7842337847,0.181612,0.00645901116,3.892276425e-05,6.839999339e-05,0.0004818945638,0.0004455018075,ok,4,1,1.409148201,1.610301956,-1.432552182,1.569479909,0.09295590676,0.02005586605,0.1201242104,-1.363349448,1.602405853,1.271100808,1.488290744,-0.006260981355,0.06356158549,-0.5700549672,1.410921624,1.607596776,-1.427522465,1.569715425,0.08511356891,0.02237558558,0.1273624508,-1.36510161,1.601916681,1.272456359,1.492429741,-0.01158802126,0.05944750728,-0.5666793131
0.08,16.262,0.008772837677,-0.07919576583,0.1096567767,0.01005258849,4,0.003537871208,-0.07967712632,0.04454833898,0.006776543423,0.005206233453,0.001260134251,3.515308146e-05,5.25848584e-05,0.3425599337,0.1098318398,0.3425599337,0.1098318398,0,0.01034463246,0.002907611848,0.008509004698,0.7466509034,0.120321,0.006938190395,4.121549888e-05,8.851869375e-05,0.0001215900728,0.0002190666469,ok,4,1,1.409360236,1.609987882,-1.431963734,1.569571836,0.09205175931,0.02035729868,0.120991325,-1.363513674,1.602452387,1.271091105,1.48873851,-0.006924965936,0.06304382945,-0.5695482685,1.411378034,1.60802555,-1.427656771,1.569731821,0.08458525028,0.02289084785,0.12761523,-1.365152731,1.600942495,1.271612603,1.49320232,-0.01163294107,0.05869151921,-0.5671100427
0.09,16.272,0.009869398229,-0.0790952406,0.1096553047,0.01005245355,4,0.004071911775,-0.07960792478,0.05406830546,0.006064918242,0.005822432821,0.00147898366,7.273835753e-05,8.24031491e-05,0.3720986545,0.114487648,0.3720986545,0.114487648,0,0.01140391264,0.00319629838,0.008507190573,0.8009480853,0.130157,0.006580608888,2.573818217e-05,9.785955315e-05,0.0001608168651,0.0002473307627,ok,4,1,1.409584292,1.609705063,-1.431527423,1.569644717,0.09116585916,0.02067165166,0.1218129275,-1.363720501,1.602366327,1.271148883,1.489198694,-0.007472619843,0.06249705037,-0.5692670913,1.411701911,1.607539849,-1.426733226,1.569748243,0.08315637831,0.02331794681,0.1289262787,-1.365424665,1.600691024,1.271692011,1.493974844,-0.01245235744,0.05794726447,-0.5666707333
