t,sim_time,theta_ref,s_ref,theta_dot_ref,s_dot_ref,wheel_knot,theta_meas,s_meas,theta_dot,s_dot,phi_L,phi_R,phase_rms_L,phase_rms_R,action_L,action_R,executed_action_L,executed_action_R,intervened,candidate_phi_L,candidate_phi_R,lut_clearance,max_joint_speed,compute_ms,joint_tracking_max,grasp_position_L,grasp_position_R,grasp_rotation_L,grasp_rotation_R,status,stage,has_command,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,q_meas_8,q_meas_9,q_meas_10,q_meas_11,q_meas_12,q_meas_13,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_cmd_8,q_cmd_9,q_cmd_10,q_cmd_11,q_cmd_12,q_cmd_13
0,16.217,0,-0.08,0,-0.009927432785,0,2.635661459e-06,-0.07999628713,2.051774372e-07,-5.198042551e-05,0.0005662326215,-0.00144576385,8.177271599e-06,7.286948097e-06,0,0,0,0,0,0,0,0.008527055455,0,0.00933,0,1.012789688e-07,8.949041168e-08,6.797554744e-06,4.119230939e-06,ok,1,0,1.408480572,1.612626858,-1.436217814,1.569605223,0.09770933175,0.01915608692,0.1155690228,-1.362289997,1.601843631,1.269147087,1.486267816,-0.002800680825,0.06538663639,-0.5726902392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,16.227,0,-0.0800992743,0,-0.009927424947,0,3.018612855e-06,-0.07999658318,-2.348902786e-06,-1.390331633e-05,0.0005663674191,-0.001445827556,8.445157076e-06,7.473454188e-06,0.4295659363,0.2170771658,0.4295659363,0.2170771658,0,0.007009856464,0.001810329932,0.008494868864,0.6430332654,0.242825,0,3.600968991e-07,3.797388149e-07,6.809934274e-06,3.583930284e-06,ok,4,1,1.408479624,1.612626585,-1.436217731,1.569604532,0.09770914458,0.01915613828,0.1155689453,-1.362289264,1.60184344,1.269147239,1.48626768,-0.002800371884,0.06538672743,-0.5726899599,1.407087922,1.607082369,-1.429834225,1.568718357,0.09214088609,0.01883070153,0.1219992779,-1.362461854,1.604455946,1.272497203,1.485356492,-0.005415643988,0.06571695207,-0.5695591501
0.02,16.237,0,-0.08019854845,0,-0.009927401432,1,0.001357494611,-0.0800240381,-0.007170669352,-0.001597910999,0.001256881589,-0.001108099832,0.0005703972117,0.0004499565602,0.3958113194,0.2400151491,0.3958113194,0.2400151491,0,0.007194051379,0.002492127405,0.00849344793,0.6082847569,0.196095,0.005905956648,0.0002753724477,0.0001367377466,0.001679678599,0.001382148525,ok,4,1,1.40843118,1.612178056,-1.435072231,1.569276336,0.09715616372,0.01904410177,0.1160933213,-1.362274626,1.60197883,1.269713347,1.486343721,-0.003169141709,0.06549302614,-0.5724315352,1.406764839,1.606938148,-1.429680121,1.568284936,0.09195586746,0.01894844877,0.1221761688,-1.362328792,1.6050224,1.273225377,1.484911089,-0.005933810245,0.06586861886,-0.5688808486
0.03,16.247,0,-0.08029782228,0,-0.00992736224,1,0.0007984113528,-0.08005311847,-0.08469860676,-0.00285605099,0.001941491254,-0.0006955243627,0.0002870303816,0.0002300766203,0.3199307024,0.008371885866,0.3199307024,0.008371885866,0,0.00674045179,-0.0005699460747,0.008495036551,0.4748585268,0.151632,0.005208312597,0.0001229769637,8.483668752e-05,0.0007988864065,0.0006919951543,ok,4,1,1.408234188,1.611608902,-1.434682868,1.569164284,0.0964935185,0.01905189132,0.1169678562,-1.362292178,1.602270419,1.270019156,1.486215466,-0.003540609606,0.06552377794,-0.5719640932,1.406519156,1.607345065,-1.430163898,1.567851516,0.09231691341,0.01912580823,0.1217164415,-1.361291145,1.602683383,1.270208951,1.484465688,-0.003326615422,0.06601179509,-0.5717068555
0.04,16.257,0,-0.08039709564,0,-0.009927307371,2,-0.0003177690093,-0.08006703122,-0.03469105772,-0.003827979129,0.002538852467,-0.0006383091184,0.0001722823786,0.000185926787,0.3297591805,0.1039731726,0.3297591805,0.1039731726,0,0.007485240175,0.0009212884707,0.008490971678,0.4948394736,0.135976,0.004233621762,7.571871751e-05,0.000130537794,0.0004684092054,0.0006576748966,ok,4,1,1.407965635,1.610937127,-1.43439752,1.569236231,0.09599547418,0.01914017982,0.1176412443,-1.362197576,1.602488834,1.269765539,1.485855033,-0.003542251023,0.06549665939,-0.5717642165,1.406128118,1.606716738,-1.429449125,1.567418099,0.09165195308,0.01919121828,0.1224525263,-1.36135365,1.603877982,1.271746719,1.484020291,-0.0045204938,0.06616529153,-0.5702709427
0.05,16.267,0,-0.08049636837,0,-0.009927236826,2,-0.0001389481138,-0.08012887743,-0.007482031978,-0.00557823327,0.003138878212,-0.0004439776679,6.873957112e-05,7.33414618e-05,0.3194564581,0.04440956563,0.3194564581,0.04440956563,0,0.007930725084,0.0002221658165,0.008488320095,0.4732710883,0.19415,0.004308247744,5.446656169e-05,3.914322271e-05,0.0001825515383,0.0002553283343,ok,4,1,1.407739727,1.610363746,-1.433757373,1.569036442,0.09548291884,0.01914304683,0.1181568815,-1.362147156,1.602684014,1.270143247,1.485594184,-0.003612702172,0.06556803321,-0.5716899175,1.405773454,1.606347281,-1.429033695,1.566984686,0.09124326755,0.01928464714,0.1228895924,-1.360887214,1.603373378,1.271093703,1.483574896,-0.003885918522,0.06631392548,-0.5708844468
0.06,16.277,0,-0.08059564032,0,-0.009927150605,3,-0.0002455654333,-0.08018112589,0.001219240657,-0.00565866359,0.003711644311,-0.0003590277969,9.613608132e-05,0.0001042819762,0.3196554184,0.2488847673,0.3196554184,0.2488847673,0,0.008506475587,0.003374243713,0.008485055658,0.4763605541,0.154476,0.00419701885,9.758602886e-06,1.466437172e-05,0.0002274132631,0.0003623599545,ok,4,1,1.407509345,1.609901546,-1.433145425,1.568799757,0.09498936287,0.01916119363,0.1186925735,-1.362013799,1.602739013,1.270265153,1.485368315,-0.003654593163,0.06566427313,-0.5715862875,1.405403083,1.605865699,-1.428487983,1.566551276,0.09072308616,0.01936598389,0.1234561791,-1.361345787,1.605855591,1.274292051,1.483129506,-0.006466273508,0.06647485604,-0.5678970822
0.07,16.287,0,-0.08069491133,0,-0.009927048707,3,0.0002819016766,-0.08026197512,-0.009374245578,-0.005593592579,0.004264160046,5.249455305e-05,0.0001120129681,0.0001175469106,0.2753840089,0.1715809554,0.2753840089,0.1715809554,0,0.00839492018,0.002626208884,0.008485031728,0.4085986966,0.171503,0.004204696434,7.070189357e-06,0.0001190997714,0.0002936431386,0.000349081788,ok,4,1,1.407290541,1.60946176,-1.432580457,1.568439066,0.09446027114,0.01914569453,0.1192514827,-1.361943135,1.602997685,1.270906383,1.485174506,-0.003947797431,0.06580383688,-0.571254825,1.405115979,1.60597739,-1.428629668,1.566117872,0.09079130977,0.01951143516,0.1233374696,-1.360871434,1.605311323,1.2735907,1.482684121,-0.005790653575,0.06661921448,-0.5685568965
0.08,16.297,0,-0.08079418125,0,-0.009926931133,4,-1.910615001e-05,-0.08031095822,-0.01429260125,-0.005343454621,0.004758876894,0.0003553431202,3.046187932e-05,4.566518821e-05,0.2721439302,0.06766340882,0.2721439302,0.06766340882,0,0.008841035847,0.001370294252,0.008482442146,0.4006017753,0.24517,0.00356911593,3.430209155e-05,2.504888076e-05,8.462177549e-05,0.0001412678181,ok,4,1,1.407034783,1.609035103,-1.43216854,1.568201229,0.0940158612,0.01920730712,0.1197683537,-1.361797032,1.60328209,1.271091441,1.484885279,-0.00418421046,0.06589547278,-0.5708455258,1.404760134,1.605608366,-1.428213564,1.565684472,0.09038206965,0.01960622412,0.1237743714,-1.360270918,1.604375609,1.272380782,1.482238741,-0.004691339771,0.06676674345,-0.5696903591
0.09,16.307,0,-0.0808934499,0,-0.009926797883,4,-0.0002449087691,-0.08036459995,-0.002958391985,-0.00677479671,0.005250205105,0.00049301305,0.0001113259976,0.0001133422704,0.3090357482,-0.0003063138283,0.3090357482,-0.0003063138283,0,0.009885741329,0.0004884183426,0.008477222774,0.457204967,0.179056,0.003539328254,2.433697197e-05,8.616292284e-05,0.0002689095501,0.0003922972658,ok,4,1,1.406760083,1.608606529,-1.431690257,1.567975748,0.09359967122,0.01928105759,0.1202350432,-1.361602334,1.603523985,1.271126713,1.484525498,-0.004258004304,0.06596764831,-0.5706472233,1.404328118,1.604724401,-1.42719866,1.565251079,0.08946023434,0.01964926669,0.1248070929,-1.359760798,1.60373021,1.271544975,1.481793368,-0.003904274585,0.0669151248,-0.5704736707
