t,sim_time,theta_ref,s_ref,theta_dot_ref,s_dot_ref,wheel_knot,theta_meas,s_meas,theta_dot,s_dot,phi_L,phi_R,phase_rms_L,phase_rms_R,action_L,action_R,executed_action_L,executed_action_R,intervened,candidate_phi_L,candidate_phi_R,lut_clearance,max_joint_speed,compute_ms,joint_tracking_max,grasp_position_L,grasp_position_R,grasp_rotation_L,grasp_rotation_R,status,stage,has_command,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,q_meas_8,q_meas_9,q_meas_10,q_meas_11,q_meas_12,q_meas_13,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_cmd_8,q_cmd_9,q_cmd_10,q_cmd_11,q_cmd_12,q_cmd_13
0,16.215,0,-0.08,0.1096623181,0,0,5.724337161e-07,-0.07999635134,-2.337199555e-06,-5.206707346e-05,0.0005630169838,-0.001443855149,7.612154248e-06,7.719434846e-06,0,0,0,0,0,0,0,0.008527066019,0,0.008362,0,9.511250656e-08,8.564346499e-08,5.519521497e-06,4.536308124e-06,ok,1,0,1.408480431,1.61262936,-1.436220451,1.569605124,0.09771501788,0.01915612479,0.1155672139,-1.362290497,1.601846103,1.269149532,1.486267547,-0.002800850005,0.06538662682,-0.5726887848,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,16.225,0.001096622893,-0.08,0.1096622315,0,0,6.829426088e-07,-0.07999665472,-2.690055743e-05,-1.770478151e-05,0.0005632017203,-0.001444110809,7.796436781e-06,7.871491304e-06,0.429532975,0.2169610709,0.429532975,0.2169610709,0,0.007006196345,0.001810305254,0.008501287246,0.6935550384,0.261505,0,3.762052426e-07,3.257622843e-07,5.410366109e-06,4.383409241e-06,ok,4,1,1.408479436,1.612629278,-1.436220177,1.569604436,0.09771488247,0.01915616115,0.1155672975,-1.362289593,1.601845772,1.269149288,1.486266959,-0.002800572768,0.06538681977,-0.5726886406,1.407990956,1.607937708,-1.43010626,1.568746324,0.09107800851,0.0198538189,0.1225028478,-1.362863562,1.60350311,1.272077835,1.486898733,-0.006568865447,0.06421944264,-0.569226652
0.02,16.235,0.002193244053,-0.08,0.1096619718,0,1,0.001897533586,-0.08000898019,0.03091667448,0.0004337046098,0.001257401436,-0.001104823736,0.0007013239269,0.0005682228058,0.4641205966,0.2704643309,0.4641205966,0.2704643309,0,0.008219210386,0.002952141228,0.008498134162,0.7846807233,0.149405,0.006388795535,0.0002890280494,0.0001358304396,0.002097582137,0.001818472944,ok,4,1,1.40853443,1.612237755,-1.435057031,1.569164617,0.09705455409,0.01910527114,0.1161140523,-1.362280539,1.601907691,1.269717967,1.486603533,-0.003288094138,0.06538616473,-0.5724206688,1.407994676,1.607330159,-1.429057386,1.568326886,0.08948085027,0.02038867616,0.1239608595,-1.363041867,1.603952269,1.273056214,1.487224448,-0.008049197806,0.06362703386,-0.5679495842
0.03,16.245,0.003289861751,-0.08,0.1096615388,0,1,0.002037757377,-0.08000943596,-0.07278621798,0.0005027898252,0.002053927455,-0.0006464413262,0.0005564159817,0.0004639295942,0.3230760396,0.04057893902,0.3230760396,0.04057893902,0,0.006900068048,-3.775724085e-05,0.008507094696,0.6086933533,0.112381,0.006813995889,0.0001991333243,0.0001274998648,0.001652453235,0.00150113796,ok,4,1,1.408493397,1.611731165,-1.434500851,1.568972835,0.09613497226,0.01925977317,0.1171468636,-1.362354296,1.602054313,1.270054138,1.486779739,-0.003905456528,0.06520069282,-0.5718713318,1.408304922,1.608911537,-1.430541008,1.56790745,0.09004803872,0.0211562154,0.1228901268,-1.362220901,1.60118773,1.26990256,1.487550161,-0.006074289012,0.0630139891,-0.5705474276
0.04,16.255,0.004386474253,-0.08,0.1096609328,0,2,0.0008847024611,-0.07998736641,-0.0235226393,0.0006664468732,0.002667634694,-0.0005247892349,0.0001166673508,0.0001349949756,0.3530018032,0.2529390156,0.3530018032,0.2529390156,0,0.007962661742,0.003269295999,0.008504620811,0.6792335008,0.063013,0.005324765064,9.385269361e-05,0.0001314993532,0.0003217157501,0.0004877555631,ok,4,1,1.408356611,1.611220786,-1.434406132,1.56913605,0.09537280379,0.01957151885,0.1180149177,-1.362384234,1.602114342,1.269722483,1.486654177,-0.004186867346,0.06483777349,-0.5715174009,1.408327211,1.608434541,-1.429642572,1.567488016,0.08858046878,0.02170607895,0.1241974008,-1.362923588,1.60332141,1.273046323,1.487875872,-0.009366814368,0.06243420766,-0.5672392048
0.05,16.265,0.005483079829,-0.08,0.1096601535,0,2,0.001767997089,-0.08000854275,0.02231013648,-0.0001020941292,0.003310149035,-7.620651914e-05,0.0001007896,7.565133203e-05,0.3234813213,0.2344037443,0.3234813213,0.2344037443,0,0.008162368855,0.003439849646,0.008506283402,0.671233629,0.050546,0.005982104044,6.243660046e-05,4.915885149e-05,0.0003009208716,0.0002220775012,ok,4,1,1.408338372,1.610790709,-1.4337744,1.56892225,0.09456257282,0.01980329713,0.1186734482,-1.36251176,1.602256095,1.2703368,1.486747917,-0.004718327449,0.06456315537,-0.5711586224,1.408453879,1.608703354,-1.429607138,1.567068586,0.08785023653,0.02233497853,0.1246430586,-1.362867376,1.603015378,1.273053347,1.48820158,-0.01003583422,0.06183816937,-0.5668727123
0.06,16.275,0.006579676746,-0.08,0.109659201,0,3,0.002213700748,-0.0800051991,0.03615335104,0.000608115288,0.003895394705,0.0003393694423,4.492485332e-05,5.059026856e-05,0.3731808662,0.322545886,0.3731808662,0.322545886,0,0.009493107698,0.005177557733,0.008502656736,0.7608635165,0.049449,0.005913856804,2.545205611e-05,5.027584436e-05,0.0001543115003,9.859531848e-05,ok,4,1,1.408355721,1.610554185,-1.433222421,1.568694573,0.09376409334,0.02010105179,0.1193558423,-1.362559911,1.602304102,1.270663386,1.486940221,-0.00534287979,0.06426169334,-0.5706345864,1.40844,1.607996566,-1.428440378,1.566649159,0.08615545817,0.02286731568,0.1262171175,-1.363183939,1.603931615,1.274626562,1.488527285,-0.01201808671,0.06126037304,-0.5650352567
0.07,16.285,0.007676263272,-0.08,0.1096580754,0,3,0.003169581366,-0.08000898807,0.03940940065,0.0006933069321,0.004545594152,0.0008957878792,0.0001534430939,0.0001300464646,0.3945200443,0.1576565057,0.3945200443,0.1576565057,0,0.01046339482,0.003260635465,0.008500751052,0.8097821502,0.200584,0.006711567555,4.221826234e-05,6.446086439e-05,0.0004729844844,0.0004008212459,ok,4,1,1.408394873,1.610302517,-1.432586661,1.568402702,0.09286702573,0.02040821213,0.1201361257,-1.362605819,1.60247002,1.271167543,1.4871684,-0.006119021976,0.06393068541,-0.5699945797,1.408469617,1.607601645,-1.427634114,1.566229738,0.08476920423,0.02343357033,0.1274309914,-1.362631294,1.601997584,1.2725474,1.488852987,-0.01093808394,0.0606403618,-0.566628033
0.08,16.295,0.008772837677,-0.08,0.1096567767,0,4,0.003525455349,-0.07998811853,0.04717799631,0.0002730240004,0.005245460398,0.001193143614,3.982087941e-05,5.292383752e-05,0.3520270288,0.08221685886,0.3520270288,0.08221685886,0,0.01052586583,0.002426396497,0.008503039268,0.7775223331,0.151423,0.007163438299,4.452640807e-05,8.294264609e-05,0.0001185564415,0.0002113882378,ok,4,1,1.408412119,1.609992007,-1.432010553,1.568208105,0.09193264252,0.02079157668,0.121013314,-1.362570559,1.602507357,1.271166805,1.487336436,-0.006725204924,0.06351435564,-0.5694911625,1.408612994,1.607989724,-1.427735927,1.565810321,0.08415741919,0.02407670161,0.1277390139,-1.362334704,1.600908184,1.271550086,1.489178685,-0.01076464127,0.06003320605,-0.5672047836
0.09,16.305,0.009869398229,-0.08,0.1096553047,0,4,0.004053635357,-0.07998675814,0.05684255359,-0.0008553363175,0.005877781543,0.001363235583,8.735495087e-05,9.14413446e-05,0.3886177242,0.07830467075,0.3886177242,0.07830467075,0,0.01170704741,0.002537805644,0.008500086164,0.8419814306,0.141155,0.006855483074,2.530445324e-05,0.000101846357,0.0001722828413,0.0002852892718,ok,4,1,1.408425786,1.609703071,-1.431578661,1.567984886,0.09101290227,0.02119648291,0.1218470179,-1.362555581,1.602413565,1.271196606,1.487491605,-0.00719810115,0.06307069873,-0.569220803,1.408616833,1.607413826,-1.426718717,1.565390911,0.08259308796,0.02462719872,0.1291623851,-1.362264982,1.600555784,1.271498101,1.489504378,-0.01138391799,0.05943571756,-0.5668938931
