t,sim_time,theta_ref,s_ref,theta_dot_ref,s_dot_ref,wheel_knot,theta_meas,s_meas,theta_dot,s_dot,phi_L,phi_R,phase_rms_L,phase_rms_R,action_L,action_R,executed_action_L,executed_action_R,intervened,candidate_phi_L,candidate_phi_R,lut_clearance,max_joint_speed,compute_ms,joint_tracking_max,grasp_position_L,grasp_position_R,grasp_rotation_L,grasp_rotation_R,status,stage,has_command,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,q_meas_8,q_meas_9,q_meas_10,q_meas_11,q_meas_12,q_meas_13,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_cmd_8,q_cmd_9,q_cmd_10,q_cmd_11,q_cmd_12,q_cmd_13
0,20.461,6.463855407e-07,-0.07999608154,0.06283185307,0.006283185307,0,6.463855407e-07,-0.07999608154,-1.096818846e-06,-5.096156869e-05,0.0006142740339,-0.001459758518,6.109268668e-06,7.591290288e-06,0,0,0,0,0,0,0,0.008526810276,0,0.013052,0,9.119194787e-08,6.348747819e-08,3.917064737e-06,5.308816156e-06,ok,1,0,1.4084751,1.612584716,-1.43616923,1.569604348,0.09767053548,0.01915519365,0.1156182229,-1.362287642,1.601832502,1.269133068,1.486268585,-0.002787939906,0.06538715417,-0.5727026453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,20.471,0.0006289607821,-0.0799332501,0.06283061282,0.006283061282,0,6.926545872e-07,-0.07999647753,2.792477414e-05,-2.361300724e-05,0.0006144965493,-0.001460043123,6.504993318e-06,7.987455135e-06,0.7250426412,0.04148432612,0.7250426412,0.04148432612,0,0.01149013617,-0.0008377782308,0.008479181538,1.116134156,0.216715,0,5.925162106e-07,4.553714996e-07,3.893525786e-06,4.993192788e-06,ok,4,1,1.408473867,1.612584649,-1.436168915,1.569604054,0.09767039199,0.01915471424,0.1156183195,-1.362286628,1.601832212,1.269133112,1.486268362,-0.002787029337,0.06538716494,-0.5727023563,1.407695824,1.603668553,-1.425446063,1.569665826,0.08775870338,0.01872703538,0.1267796611,-1.362691815,1.601770201,1.269507942,1.487197207,-0.003975246437,0.06452985337,-0.5719385372
0.02,20.481,0.001257250374,-0.07987042114,0.06282689213,0.006282689213,1,0.002039918443,-0.07998123271,0.03402840735,0.000855917176,0.001790984756,-0.001422805577,0.000850390239,0.0006073551839,0.8290754557,0.3159597218,0.8290754557,0.3159597218,0,0.01422711659,0.00331659025,0.008468643143,1.31550851,0.143985,0.01027609234,0.0004655772758,3.135896944e-05,0.002607462118,0.001871020669,ok,4,1,1.408518828,1.611792893,-1.43421312,1.569273019,0.09676022203,0.01899771444,0.1165035687,-1.362162259,1.601703968,1.269262603,1.486638086,-0.003085437062,0.06538624104,-0.5726404548,1.407627031,1.601549015,-1.422786933,1.569697782,0.08511771706,0.01877502383,0.1296586538,-1.363827893,1.604727313,1.273539569,1.487663278,-0.007779689455,0.06411059713,-0.5679483984
0.03,20.491,0.001885490357,-0.07980759714,0.06282069114,0.006282069114,1,0.002661151778,-0.07998560669,-0.1100055999,0.002005433551,0.003197428242,-0.0009208088614,0.0009111119375,0.0007247729084,0.3670436442,0.5537168384,0.3670436442,0.5537168384,0,0.008703082905,0.007384943714,0.008495444472,0.8193866086,0.147927,0.01146700725,0.0003303544983,0.0001826069549,0.002690920378,0.002313182084,ok,4,1,1.408479472,1.610708604,-1.433050025,1.569063436,0.09536228315,0.01895282125,0.1181916466,-1.362353484,1.601850563,1.269914872,1.486936254,-0.00366741809,0.06526417165,-0.57222925,1.408601384,1.606566019,-1.428385542,1.569729744,0.08954029155,0.01954714132,0.1242832469,-1.364926011,1.607626317,1.2774825,1.488129279,-0.01151504205,0.06371272499,-0.5640353839
0.04,20.501,0.00251365593,-0.07974478059,0.0628120101,0.00628120101,2,0.0009840813184,-0.07997660556,-0.1241942598,0.004708324739,0.003923381725,5.476469996e-05,0.000220161089,0.0002366127252,0.341858238,0.3549905419,0.341858238,0.3549905419,0,0.009051255295,0.005379622829,0.008495717615,0.5827865138,0.171659,0.007328193703,0.0002606121299,0.0002260776184,0.0007548047881,0.0007020083586,ok,4,1,1.408325988,1.610092337,-1.433391617,1.569376831,0.09428231048,0.01910573742,0.1194527044,-1.362874058,1.602601842,1.270835546,1.486883779,-0.004344817722,0.065057892,-0.5713635776,1.408834138,1.606509916,-1.428113782,1.56976171,0.08894129744,0.01980411387,0.1247756129,-1.364582771,1.60578756,1.275355551,1.48859519,-0.01017268286,0.06325889539,-0.5658240269
0.05,20.511,0.003141722293,-0.07968197395,0.06280084934,0.006280084934,2,0.0002246699169,-0.0799165381,-0.005696876863,0.004400414654,0.00459447806,0.0007363665134,0.0003795030707,0.0002162293122,0.3197761178,0.3552416861,0.3197761178,0.3552416861,0,0.009391119827,0.006064991805,0.00849602009,0.6077838646,0.068941,0.005170327489,0.0002560319769,4.009103745e-05,0.001201399147,0.0005584268558,ok,4,1,1.408290948,1.609452776,-1.432753703,1.569685205,0.09365590536,0.01927620465,0.1200134541,-1.363094068,1.603203805,1.271112918,1.486921903,-0.005002355371,0.06480716626,-0.5705199054,1.409067985,1.606461003,-1.427850308,1.56979368,0.08834971932,0.0200620022,0.1252596808,-1.364878369,1.606048248,1.275917726,1.489060994,-0.01108019402,0.06283064678,-0.5650860658
0.06,20.521,0.003769664653,-0.07961917971,0.06278720932,0.006278720932,3,0.000787353657,-0.07987306473,0.04565033003,0.004579618792,0.005179593783,0.001384141232,0.0002207015439,0.0001113443344,0.3180928528,0.2181527764,0.3180928528,0.2181527764,0,0.009950986576,0.004656432877,0.00849531045,0.5492637404,0.072743,0.005385241514,5.922733316e-05,6.571228063e-05,0.0006664004664,0.0002542468493,ok,4,1,1.408406596,1.609133757,-1.431896651,1.569709616,0.09306332771,0.01936414807,0.1204967274,-1.363265389,1.603681007,1.271683949,1.487121367,-0.005694952502,0.06455964706,-0.5698903616,1.409274151,1.606222107,-1.427367029,1.569825651,0.0875706903,0.02030103305,0.1259635091,-1.364675986,1.604674179,1.27438735,1.489526671,-0.0102357167,0.06238137783,-0.5663154878
0.07,20.531,0.004397458217,-0.07955640036,0.06277109056,0.006277109056,3,0.001194107799,-0.07982236771,0.04825873036,0.003392853669,0.00573625167,0.001791551633,0.0002037859308,0.0001115565282,0.8118974566,0.3731625378,0.8118974566,0.3731625378,0,0.01791471352,0.007388989701,0.00846159161,1.294844096,0.202414,0.004880896735,2.766813515e-05,0.0001038054289,0.0005831854658,0.0002585613971,ok,4,1,1.408545327,1.60886064,-1.431261137,1.569725523,0.09245158704,0.01947232025,0.1211143017,-1.363398165,1.60386237,1.271977267,1.48739915,-0.006263864165,0.06429064365,-0.5694447964,1.40853034,1.599593943,-1.419488078,1.569857623,0.08047520813,0.01992001997,0.1340627427,-1.365458926,1.606534203,1.276995627,1.489992205,-0.01285670996,0.06197518205,-0.5636527974
0.08,20.541,0.005025078204,-0.07949363836,0.06275249371,0.006275249371,4,0.003220594233,-0.07979888588,0.03292196497,0.003332198076,0.007087703788,0.002412314436,0.000502365935,0.0004426058893,0.9027864337,0.2252651751,0.9027864337,0.2252651751,0,0.02062950029,0.005791292063,0.008451623542,1.453058207,0.117046,0.01167475019,0.0003340999812,5.605153206e-05,0.001483415142,0.001425257087,ok,4,1,1.408660354,1.608007833,-1.429430445,1.569481107,0.09117809542,0.01943376431,0.1223879925,-1.363552456,1.604007779,1.272784858,1.487894753,-0.00712681696,0.06408591957,-0.5688864633,1.408450875,1.597498164,-1.41685339,1.569889594,0.07786202958,0.0199920114,0.1369185746,-1.365211036,1.605012035,1.275276422,1.490457576,-0.01185324349,0.06152356251,-0.5650605249
0.09,20.551,0.005652499833,-0.0794308962,0.0627314195,0.00627314195,4,0.003242809753,-0.07974893714,-0.03831671448,0.003753913439,0.008648311164,0.002814604978,0.0003198199332,0.0002270183397,0.4274728,0.1998014152,0.4274728,0.1998014152,0,0.01506040316,0.005811626206,0.008477468163,0.7367045327,0.239306,0.01272904659,0.0002138386954,6.433339026e-05,0.0009547035669,0.0007028222658,ok,4,1,1.408655769,1.606778499,-1.428106238,1.569505039,0.08968036965,0.01950170019,0.124189528,-1.363696386,1.604028387,1.272901512,1.488228737,-0.00783646643,0.06374237142,-0.568305547,1.409458828,1.602544999,-1.422492525,1.569921564,0.08231332432,0.02072912215,0.1315002296,-1.365348277,1.604753827,1.275174351,1.490922766,-0.01220398486,0.06108922161,-0.5649471667
