t_s,theta_rad,s_m,phi_L,phi_R,d_min_m,max_qdot_rad_s
0.0,0.6183886896390877,-0.09988024686268243,0.0,0.014999999664723873,nan,nan
0.01,0.6174883866511233,-0.10001061436215916,0.011726305782794953,0.021854712031781673,0.007843884645635088,0.9726259391588998
0.02,0.6165882303451656,-0.10014106017861968,0.021607760488986973,0.02940591540187597,0.008476475125122162,0.9359179697035147
0.03,0.6156883632215806,-0.10027166039637096,0.031207028031349185,0.03691066022962332,0.00843419624699958,0.9083655920029798
0.04,0.6147889232577214,-0.10040248868477697,0.039076583683490755,0.04375985261052847,0.008400811260445458,0.7355366373605232
0.05,0.6138900439505843,-0.10053361632103326,0.04659269571304321,0.050493442229926584,0.008370127838320938,0.7005429091983872
0.06,0.6129918543594638,-0.1006651122129418,0.05333135649561882,0.056870901547372336,0.008343539601329579,0.6289432965523201
0.07,0.6120944791486082,-0.10079704292168569,0.05982097417116165,0.06223054882138967,0.00831879887580193,0.5982611071928101
0.08,0.6111980386298749,-0.10092947268460387,0.06536729693412781,0.06644339304417371,0.008298242689007428,0.5037942285384123
0.09,0.6103026488053858,-0.10106246343796584,0.06987358868122101,0.06975109230726957,0.008281864063875046,0.4001583868147973
0.1,0.609408421410183,-0.10119607483974648,0.07322316370904446,0.07233686361461877,0.008269781178893919,0.2844120471248601
0.11,0.608515463954884,-0.10133036429240068,0.07569608196616173,0.07434791397303342,0.008260919756720272,0.19639399123214663
0.12,0.6076238797683369,-0.10146538696563816,0.07704286046326161,0.07591685224324464,0.008255900391878544,0.147801053073926
0.13,0.6067337680402762,-0.1016011958191981,0.07773307682946326,0.07767899472266435,0.008253068325796807,0.16715985570585623
0.14,0.6058452238639782,-0.101737841625624,0.07829113584011795,0.07961907695978879,0.008250673192959518,0.18499267923357543
0.15,0.6049583382789161,-0.10187537299303835,0.07863322231918575,0.08155997324734925,0.00824899357119991,0.1851355971403068
0.16,0.6040731983134155,-0.1020138363879173,0.07905573626048865,0.08355192627757786,0.00824704114202956,0.19027231381263388
0.17,0.6031898870273104,-0.10215327615786553,0.07946365898475052,0.08547464568167923,0.008245132317384855,0.18335097858162008
0.18,0.6023084835545974,-0.10229373455439086,0.08007395943626763,0.08725871577858924,0.008242563806696288,0.1695091416262562
0.19,0.6014290631460926,-0.10243525175567908,0.08082930570468308,0.08869103014469146,0.008239583607288365,0.1342848419852105
0.2,0.6005516972120858,-0.10257786588936862,0.08160021884366872,0.08975293703377246,0.008236547847950755,0.09703010795498734
0.21,0.5996764533649965,-0.1027216130553253,0.08225809743627908,0.09053931830450891,0.008233867993141401,0.08894771321559247
0.22,0.5988033954620294,-0.10286652734841709,0.08321238940581682,0.09093014286831021,0.008230234561762579,0.08944778391297703
0.23,0.5979325836478293,-0.10301264088128877,0.0837285880185664,0.09113940641283988,0.008227996699806677,0.08996155994682731
0.24,0.5970640743971372,-0.10315998380713677,0.08407558134756986,0.0914158179424703,0.00822629338294052,0.09048820715360506
0.25,0.5961979205574449,-0.10330858434248383,0.08418493205448616,0.09161374902818352,0.008225342509491813,0.09102690099220823
