t,theta,s,L1,L2,L3,L4,L5,L6,L7,R1,R2,R3,R4,R5,R6,R7,dmin
0,-0.516317273,-0.16,1.08402637,1.57193324,-1.48555536,1.34894643,0.510434807,-0.0503332324,-0.160245027,-1.00125581,1.6239294,0.939945712,0.879248313,0.680064064,0.606268176,-0.774085111,0.00772871949
0.005,-0.533413149,-0.16,1.08054839,1.57209755,-1.48668444,1.35346634,0.526567722,-0.0540835897,-0.172156921,-0.996015994,1.62432305,0.925485381,0.87320093,0.704207816,0.621445425,-0.778122625,0.00772307343
0.01,-0.550510044,-0.16,1.07699026,1.57225875,-1.48763127,1.35788199,0.542636561,-0.0576351791,-0.184063461,-0.990618577,1.62472634,0.910709152,0.867178102,0.728772114,0.636796258,-0.781891551,0.00771729397
0.015,-0.567590438,-0.16,1.07335753,1.57241696,-1.4883963,1.36218819,0.558623179,-0.0609865524,-0.195948766,-0.985065766,1.62513911,0.895621732,0.861187961,0.75375761,0.652305552,-0.78537479,0.00771139219
0.02,-0.584636729,-0.16,1.06965606,1.57257187,-1.48898006,1.3663802,0.57450897,-0.0641374073,-0.207796542,-0.97936025,1.62556122,0.880228655,0.855238581,0.779164921,0.667957487,-0.788554999,0.00770537842
0.025,-0.601631255,-0.16,1.06589201,1.57272347,-1.48938422,1.37045372,0.590275897,-0.0670881341,-0.219590858,-0.973505231,1.62599263,0.864536449,0.849337948,0.80499449,0.683735506,-0.791414541,0.00769926428
0.03,-0.618556313,-0.16,1.06207179,1.57287174,-1.4896111,1.37440488,0.605906132,-0.0698399685,-0.231315913,-0.967504195,1.62643309,0.848551767,0.843493932,0.831247186,0.699622647,-0.793935883,0.00769306173
0.035,-0.635394181,-0.16,1.05820207,1.57301635,-1.48966328,1.37823031,0.621381688,-0.0723951793,-0.24295578,-0.961361147,1.62688241,0.832282303,0.83771426,0.857923619,0.715601255,-0.7961012,0.00768678214
0.04,-0.65212714,-0.16,1.05428972,1.57315724,-1.48954443,1.38192707,0.636685301,-0.0747566228,-0.254495078,-0.955080582,1.62734048,0.81573668,0.832006486,0.885024189,0.731653045,-0.797892466,0.00768043801
0.045,-0.668737496,-0.16,1.05034183,1.57329427,-1.48925869,1.38549273,0.651799934,-0.0769279703,-0.265918626,-0.948667356,1.62780706,0.798924014,0.826377964,0.91254935,0.74775929,-0.799291655,0.00767404173
0.05,-0.6852076,-0.16,1.04636563,1.57342727,-1.48881088,1.38892533,0.66670896,-0.0789135972,-0.277211593,-0.942126812,1.62828194,0.781854393,0.820835823,0.940499212,0.763900683,-0.800280588,0.00766760583
0.055,-0.70151987,-0.16,1.04236852,1.5735561,-1.48820641,1.39222337,0.68139621,-0.0807185328,-0.288359549,-0.935464783,1.62876498,0.764538896,0.815386938,0.968873465,0.780057354,-0.800840974,0.00766114297
0.06,-0.717656814,-0.16,1.03835798,1.57368058,-1.48745129,1.39538584,0.695846014,-0.0823484072,-0.299348508,-0.928687462,1.62925589,0.746989184,0.810037908,0.997671595,0.796209068,-0.800954636,0.00765466584
0.065,-0.733601049,-0.16,1.03434161,1.57380057,-1.48655209,1.39841221,0.710043241,-0.0838093953,-0.310164969,-0.92180153,1.62975447,0.729217958,0.804795032,1.02689246,0.812335076,-0.800603401,0.00764818714
0.07,-0.749335322,-0.16,1.03032706,1.57391603,-1.48551609,1.40130239,0.723973481,-0.0851080718,-0.320796049,-0.914814071,1.63026044,0.711238706,0.799664289,1.05653434,0.828414263,-0.799769295,0.00764171989
0.075,-0.764842537,-0.16,1.02632201,1.5740266,-1.48435063,1.40405674,0.737622493,-0.0862516957,-0.331229117,-0.9077327,1.63077358,0.693066149,0.794651318,1.08659453,0.844425003,-0.798434507,0.00763527605
0.08,-0.780105767,-0.16,1.02233415,1.57413226,-1.48306399,1.40667609,0.7509771,-0.0872476378,-0.341452408,-0.900565431,1.63129362,0.674715833,0.7897614,1.11706941,0.860345363,-0.796581671,0.00762886848
0.085,-0.795108283,-0.16,1.0183712,1.57423291,-1.48166475,1.40916166,0.764024633,-0.0881036581,-0.351454649,-0.893320687,1.63182024,0.656204186,0.784999445,1.14795425,0.876153131,-0.794194014,0.00762250957
0.09,-0.80983357,-0.16,1.01444081,1.57432845,-1.48016191,1.41151508,0.776753092,-0.0888277626,-0.361225168,-0.886007414,1.63235314,0.637548916,0.780369981,1.17924272,0.891825706,-0.791255439,0.00761621156
0.095,-0.824265348,-0.16,1.01055059,1.57441882,-1.47856483,1.41373837,0.789151154,-0.0894281438,-0.370753903,-0.879090336,1.63321342,0.620223059,0.775881901,1.20976476,0.906739163,-0.787387722,0.00760998651
0.1,-0.838387595,-0.16,1.00670808,1.57450397,-1.47688325,1.41583391,0.801208182,-0.0899131236,-0.380031401,-0.878518255,1.63854831,0.623273107,0.771524593,1.22411755,0.912994616,-0.778080217,0.00760384627
0.105,-0.852184566,-0.16,1.00292074,1.57458388,-1.47512716,1.41780443,0.812914224,-0.0902910983,-0.389048819,-0.88207061,1.64676759,0.639781404,0.767315846,1.22738424,0.913410675,-0.765576169,0.00759780245
0.11,-0.865640808,-0.16,0.999195907,1.57465855,-1.47330684,1.41965294,0.824260011,-0.090570486,-0.397797914,-0.878095277,1.64933584,0.631745984,0.763256072,1.250318,0.923652545,-0.758970938,0.00759186642
0.115,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.12,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.125,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.13,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.135,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.14,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.145,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.15,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
0.155,-0.87266,-0.16,0.997240988,1.57469618,-1.4723152,1.42058837,0.83014998,-0.0906818977,-0.402343368,-0.872824083,1.64840089,0.61716372,0.761151947,1.27103531,0.933257291,-0.75761134,0.00758875419
