t,theta,s,L1,L2,L3,L4,L5,L6,L7,R1,R2,R3,R4,R5,R6,R7
0.000000000000000000e+00,-5.163172732390629571e-01,-1.600000000000000033e-01,1.086415597123000731e+00,1.649333603594581588e+00,-1.594308422126208713e+00,1.348943257209271662e+00,6.120249329490585755e-01,-2.918233034595906546e-03,-2.356481794320142986e-01,-8.448487486045270778e-01,1.492256512222489340e+00,4.569265289898128968e-01,8.792445607606764746e-01,1.016328584323914930e+00,7.836354673959682327e-01,-9.767172663639618335e-01
2.000000000000000042e-02,-5.846367291068006455e-01,-1.600000000000000033e-01,1.072019669662571895e+00,1.640954713188216285e+00,-1.583492012324383413e+00,1.366377033081245029e+00,6.634227025318258919e-01,-1.847569494851299815e-02,-2.719215271412520618e-01,-8.471484092141413624e-01,1.519438064760727958e+00,4.706512167593472906e-01,8.552348596859534746e-01,1.068237848180652483e+00,8.241731279521801179e-01,-9.487837143208323054e-01
4.000000000000000083e-02,-6.521271402796872119e-01,-1.600000000000000033e-01,1.056578670820153221e+00,1.618742145645875929e+00,-1.551653924479689195e+00,1.381923889827052943e+00,6.956245420677618085e-01,-4.232411260760754468e-02,-2.958179049130296168e-01,-8.544410423949275746e-01,1.549380648195886057e+00,5.015514967891545606e-01,8.320028163252678466e-01,1.111666811857389137e+00,8.550690537385415846e-01,-9.110794139737063979e-01
5.999999999999999778e-02,-7.176568141013242030e-01,-1.600000000000000033e-01,1.039986811500740016e+00,1.597987227579992231e+00,-1.520188614949552264e+00,1.395382643250690835e+00,7.271092797719987955e-01,-6.406071017729147998e-02,-3.206151621807392660e-01,-8.615355008748835086e-01,1.579121202892000309e+00,5.357482524846199912e-01,8.100343132514593592e-01,1.154714645313878352e+00,8.811874676472913892e-01,-8.694674502002658345e-01
8.000000000000000167e-02,-7.801057673629490097e-01,-1.600000000000000033e-01,1.022761580483626975e+00,1.579208182930174509e+00,-1.489840195810609780e+00,1.406672869026994954e+00,7.574749650917402821e-01,-8.323726398540756688e-02,-3.457344091377398954e-01,-8.674784916742566132e-01,1.607582740175822034e+00,5.699657397712687423e-01,7.897579036609641001e-01,1.198007862467449280e+00,9.032607460567355639e-01,-8.261742344425302420e-01
1.000000000000000056e-01,-8.383875954700094058e-01,-1.600000000000000033e-01,1.005499090153658681e+00,1.562680597971035867e+00,-1.461196222767111808e+00,1.415830665495988461e+00,7.861339179699278201e-01,-9.965201422599789804e-02,-3.704072307950124765e-01,-8.719592996863340106e-01,1.633948704313534561e+00,6.022595894861476618e-01,7.715213064921478958e-01,1.241075451474117353e+00,9.216884778574432335e-01,-7.831066460074472824e-01
1.199999999999999956e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948388081478389822e-01,1.553455270637217112e+00,-1.444210787575258781e+00,1.420585103067502741e+00,8.031276376055550559e-01,-1.085900402249916630e-01,-3.854353762741139500e-01,-8.741376355246694985e-01,1.649336143092836826e+00,6.214385349221254184e-01,7.611487470186910631e-01,1.267500584948420661e+00,9.314870751612671640e-01,-7.566843145700762330e-01
1.400000000000000133e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948388081478383160e-01,1.553455270637217556e+00,-1.444210787575259447e+00,1.420585103067502075e+00,8.031276376055555000e-01,-1.085900402249912744e-01,-3.854353762741138945e-01,-8.741376355246703866e-01,1.649336143092835494e+00,6.214385349221240862e-01,7.611487470186947268e-01,1.267500584948419107e+00,9.314870751612673860e-01,-7.566843145700796747e-01
1.600000000000000033e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948388081478386491e-01,1.553455270637217556e+00,-1.444210787575259447e+00,1.420585103067502297e+00,8.031276376055553889e-01,-1.085900402249910524e-01,-3.854353762741137834e-01,-8.741376355246692764e-01,1.649336143092836382e+00,6.214385349221240862e-01,7.611487470186917292e-01,1.267500584948421105e+00,9.314870751612672750e-01,-7.566843145700771212e-01
1.799999999999999933e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948388081478393152e-01,1.553455270637217556e+00,-1.444210787575259447e+00,1.420585103067503407e+00,8.031276376055555000e-01,-1.085900402249911356e-01,-3.854353762741141720e-01,-8.741376355246699426e-01,1.649336143092836382e+00,6.214385349221253074e-01,7.611487470186922843e-01,1.267500584948420217e+00,9.314870751612670530e-01,-7.566843145700772322e-01
2.000000000000000111e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948388081478393152e-01,1.553455270637217556e+00,-1.444210787575259447e+00,1.420585103067503407e+00,8.031276376055555000e-01,-1.085900402249911356e-01,-3.854353762741141720e-01,-8.741376355246701646e-01,1.649336143092836160e+00,6.214385349221247523e-01,7.611487470186929505e-01,1.267500584948419551e+00,9.314870751612668309e-01,-7.566843145700782314e-01
2.200000000000000011e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948388081478386491e-01,1.553455270637217334e+00,-1.444210787575259669e+00,1.420585103067502297e+00,8.031276376055553889e-01,-1.085900402249912328e-01,-3.854353762741139500e-01,-8.741376355246701646e-01,1.649336143092836160e+00,6.214385349221247523e-01,7.611487470186929505e-01,1.267500584948419551e+00,9.314870751612668309e-01,-7.566843145700782314e-01
2.399999999999999911e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948388081478395373e-01,1.553455270637217334e+00,-1.444210787575259447e+00,1.420585103067504074e+00,8.031276376055552779e-01,-1.085900402249916630e-01,-3.854353762741142275e-01,-8.741376355842140899e-01,1.649336143134641386e+00,6.214385351160377491e-01,7.611487470186932836e-01,1.267500584788065598e+00,9.314870750809939315e-01,-7.566843145279735783e-01
2.600000000000000089e-01,-8.726599999999999913e-01,-1.542535421961798159e-01,1.013094409795216366e+00,1.575551504133173353e+00,-1.473806134345021279e+00,1.451351359983316547e+00,8.338800755236894791e-01,-9.992502404026207263e-02,-4.143617565641556366e-01,-8.956986322715603244e-01,1.637800499438480051e+00,6.314302747339574085e-01,8.078730491492338572e-01,1.220776271818479142e+00,9.229472318414609910e-01,-7.954505892049125171e-01
2.800000000000000266e-01,-8.726599999999999913e-01,-1.474655717198027349e-01,1.033604096282766838e+00,1.603031133755368653e+00,-1.508179699276255725e+00,1.486957695405994873e+00,8.694730491140786333e-01,-8.755805700643397305e-02,-4.483941104975033287e-01,-9.208890915227507801e-01,1.626124732664231853e+00,6.438172379936343281e-01,8.594361040311350175e-01,1.169213206349890566e+00,9.116533996570429510e-01,-8.362413123785108482e-01
2.999999999999999889e-01,-8.726599999999999913e-01,-1.403610047351862289e-01,1.053832397753201144e+00,1.633458689991873936e+00,-1.543692322476402978e+00,1.523432066176533484e+00,9.059325327602684164e-01,-7.206145829122595492e-02,-4.838644460478384590e-01,-9.472157459674263036e-01,1.615972292299461044e+00,6.576845663917854079e-01,9.099322605099959826e-01,1.118717047835128264e+00,8.985060196345063810e-01,-8.736770990199588249e-01
3.200000000000000067e-01,-8.726599999999999913e-01,-1.329945831571211767e-01,1.072607462881647544e+00,1.620214579822148560e+00,-1.526185258558167224e+00,1.560458213826627638e+00,8.932311307033800052e-01,-9.573777853063147880e-02,-4.878253926546750607e-01,-9.747391751635988699e-01,1.607552723733463251e+00,6.732508817249693855e-01,9.591682567036131646e-01,1.069481050373077391e+00,8.834906750526018149e-01,-9.072320319742773753e-01
3.400000000000000244e-01,-8.726599999999999913e-01,-1.254236555384846408e-01,1.090270943281294258e+00,1.591478872189430849e+00,-1.492210577110682168e+00,1.597733302922966114e+00,8.650320757192972998e-01,-1.330038535037606773e-01,-4.801283097504008279e-01,-1.003508235790139702e+00,1.601076492991271749e+00,6.906981921803303504e-01,1.006970712176205707e+00,1.021678594781221250e+00,8.666253896160035497e-01,-9.364304864479024992e-01
3.599999999999999867e-01,-8.726599999999999913e-01,-1.177075231447661796e-01,1.106969440073300337e+00,1.562153092172374524e+00,-1.459452486178150821e+00,1.634969558503603482e+00,8.375711070340980946e-01,-1.702310056032096119e-01,-4.711071560562504201e-01,-1.033557488537867775e+00,1.596758622639980585e+00,7.101846900399702012e-01,1.053183409328833697e+00,9.754438036587294025e-01,8.479547079835030310e-01,-9.608511821684647680e-01
3.800000000000000044e-01,-8.445423431577010476e-01,-1.099067638903153815e-01,1.133979579456844355e+00,1.549512453163473635e+00,-1.450122016740719610e+00,1.668124650395127029e+00,8.044207462747672288e-01,-1.929039076223367788e-01,-4.530660787653250088e-01,-1.054603174761601370e+00,1.574916523488514297e+00,7.019133639064759622e-01,1.103999463048824570e+00,9.245413634642692946e-01,8.250746122851161379e-01,-1.004440765776430933e+00
4.000000000000000222e-01,-7.845506594586649785e-01,-1.020825424827312977e-01,1.173656146931239652e+00,1.558080447888986031e+00,-1.466455109372488019e+00,1.695410015154421135e+00,7.647409401795668416e-01,-1.968041278883393419e-01,-4.257248822964482815e-01,-1.078924674694726527e+00,1.544729706243236578e+00,6.982423265925015166e-01,1.160237563783966586e+00,8.527208830143893081e-01,7.777476832579424126e-01,-1.047199971814379627e+00
4.199999999999999845e-01,-7.196114176550374442e-01,-9.429591528485599394e-02,1.214917532676748513e+00,1.571380920372567935e+00,-1.485425681394440867e+00,1.719571864365827984e+00,7.234746727665961608e-01,-1.953529985292735971e-01,-3.962062363954428346e-01,-1.126625572576553047e+00,1.534554960925315514e+00,7.481560940593363629e-01,1.215906412561155170e+00,7.603735858575715323e-01,6.988485091288764162e-01,-1.047199992232665799e+00
4.400000000000000022e-01,-6.508619835490430106e-01,-8.660713845959114310e-02,1.256921237109896339e+00,1.589472511810741118e+00,-1.506332700633773003e+00,1.740284905424646977e+00,6.814645296113512885e-01,-1.883181963345727794e-01,-3.658584936376435559e-01,-1.182509518607772980e+00,1.535133618290768887e+00,8.173217646618988752e-01,1.270793516170829696e+00,6.644276759942577826e-01,6.088440492153391892e-01,-1.022566156771620216e+00
4.600000000000000200e-01,-5.795170200861472498e-01,-7.907498791058789611e-02,1.298780482263994784e+00,1.612190701434739415e+00,-1.528503700105751317e+00,1.757381188434360642e+00,6.395974507438634271e-01,-1.758130445242513384e-01,-3.361205993420505189e-01,-1.238173147796991058e+00,1.541100864470670517e+00,8.888079421164122307e-01,1.324626045450737033e+00,5.710030416492201111e-01,5.184941333769663707e-01,-9.849379280318851793e-01
4.799999999999999822e-01,-5.068469857055848404e-01,-7.175609937248307590e-02,1.339627773921855391e+00,1.639113720698168519e+00,-1.551315032852671250e+00,1.770868080257226751e+00,5.987113933285567180e-01,-1.583327142171372104e-01,-3.083622536072148090e-01,-1.286708666171559656e+00,1.544858780311133328e+00,9.480446863221739795e-01,1.377072328343697416e+00,4.863074533219712281e-01,4.356823109226614088e-01,-9.468329617514389396e-01
5.000000000000000000e-01,-4.341554448453374682e-01,-6.470433673985934164e-02,1.378550002312362688e+00,1.649322948883806816e+00,-1.554790415073011189e+00,1.780931022987773504e+00,5.409346980385407733e-01,-1.488717842333960317e-01,-2.637352307634560078e-01,-1.329406454056844211e+00,1.547154611151902115e+00,9.984107158793240622e-01,1.427749783954611829e+00,4.082985238514816873e-01,3.595765067543987836e-01,-9.077940782445759194e-01
