t,theta,s,L1,L2,L3,L4,L5,L6,L7,R1,R2,R3,R4,R5,R6,R7
0.000000000000000000e+00,-5.163172732390629571e-01,-1.600000000000000033e-01,1.086415537212871207e+00,1.649336143134641386e+00,-1.594311993942016725e+00,1.348943257209269220e+00,6.120282028075051395e-01,-2.916554988787004553e-03,-2.356505700262911951e-01,-8.448487449985353503e-01,1.492256510455151952e+00,4.569265194009289321e-01,8.792445607606783620e-01,1.016328590923815334e+00,7.836354713181395981e-01,-9.767172697928800940e-01
5.000000000000000104e-03,-5.334131490747876514e-01,-1.600000000000000033e-01,1.082936220527053628e+00,1.646411234507561661e+00,-1.590652502931001244e+00,1.353463171564443623e+00,6.239018158303402117e-01,-7.551177624795011797e-03,-2.439184911060749972e-01,-8.365341615934434039e-01,1.494754692866200996e+00,4.363841775430674086e-01,8.731971841422809799e-01,1.045497317774072954e+00,8.038255267968330564e-01,-9.785255308183885559e-01
1.000000000000000021e-02,-5.505100436540217856e-01,-1.600000000000000033e-01,1.079341027037060030e+00,1.645697876531152959e+00,-1.589948521934763992e+00,1.357878818110065833e+00,6.385666448666701411e-01,-1.056798745477129098e-02,-2.542712437203457632e-01,-8.393054378426794138e-01,1.502544503399688702e+00,4.454247689646809172e-01,8.671743631391677365e-01,1.054537909195685241e+00,8.117342180880812164e-01,-9.696388561010200746e-01
1.499999999999999944e-02,-5.675904375786851030e-01,-1.600000000000000033e-01,1.075646245328749639e+00,1.646891846835665252e+00,-1.591738614280168163e+00,1.362185021382769312e+00,6.555925389326419106e-01,-1.208958280276232165e-02,-2.663508174960067532e-01,-8.420207851813262812e-01,1.510360318872207008e+00,4.546001416669555595e-01,8.611842304342486321e-01,1.063713281897961327e+00,8.194516792142307882e-01,-9.604716174214193991e-01
2.000000000000000042e-02,-5.846367291068006455e-01,-1.600000000000000033e-01,1.072017659227603170e+00,1.641111334285534795e+00,-1.583708538490919304e+00,1.366377033081245251e+00,6.636226147206150117e-01,-1.836478240270875487e-02,-2.720634257662483679e-01,-8.446290307976065392e-01,1.518168850868246489e+00,4.637703891812163803e-01,8.552348596859534746e-01,1.073106050137863088e+00,8.270212092974119633e-01,-9.510788491815180823e-01
2.500000000000000139e-02,-6.016312552695107785e-01,-1.600000000000000033e-01,1.068290669757839373e+00,1.635400260782087889e+00,-1.575679629426746997e+00,1.370450546420596050e+00,6.716515237846071296e-01,-2.453256702598148251e-02,-2.778768516860267157e-01,-8.471265663474566443e-01,1.525958583177249750e+00,4.729202195593814051e-01,8.493342372234004012e-01,1.082711135576132522e+00,8.344350820856528683e-01,-9.414737637432485373e-01
2.999999999999999889e-02,-6.185563131150413341e-01,-1.600000000000000033e-01,1.064471010188480005e+00,1.629766608395636585e+00,-1.567659923766016927e+00,1.374401708274688438e+00,6.796712294451479064e-01,-3.058450962376688814e-02,-2.837827099371933448e-01,-8.495131179400993160e-01,1.533719409128248223e+00,4.820420605271757419e-01,8.434902336027573222e-01,1.092516610874550098e+00,8.416829171362056883e-01,-9.316682884448315161e-01
3.500000000000000333e-02,-6.353941810539300850e-01,-1.600000000000000033e-01,1.060564905341425224e+00,1.624218092829090132e+00,-1.559657629995621519e+00,1.378227128997198347e+00,6.876735232153526889e-01,-3.651262109713784149e-02,-2.897720858445988479e-01,-8.517888090345667740e-01,1.541441267831512363e+00,4.911282225643053834e-01,8.377105752372259184e-01,1.102509157379897964e+00,8.487549733540697972e-01,-9.216757419394826512e-01
4.000000000000000083e-02,-6.521271402796872119e-01,-1.600000000000000033e-01,1.056579053584257410e+00,1.618762130033327029e+00,-1.551681121860557289e+00,1.381923889827052054e+00,6.956500313502290700e-01,-4.230938597489938835e-02,-2.958355604085052826e-01,-8.539541464448504593e-01,1.549114172891492336e+00,5.001708904702018010e-01,8.320028163252689568e-01,1.112674073320671031e+00,8.556422008018014225e-01,-9.115108259987100281e-01
4.499999999999999833e-02,-6.687374962389367461e-01,-1.600000000000000033e-01,1.052520605722380820e+00,1.613405804477571204e+00,-1.543738929967202633e+00,1.385489547800518695e+00,7.035922232433974299e-01,-4.796779535649275256e-02,-3.019632387456354095e-01,-8.560100046260579187e-01,1.556728240220474513e+00,5.091621162676814860e-01,8.263743113120688433e-01,1.122995296354476924e+00,8.623362888744385835e-01,-9.011896029649049122e-01
5.000000000000000278e-02,-6.852076001250059223e-01,-1.600000000000000033e-01,1.048397140900148017e+00,1.608155839425152278e+00,-1.535839731514540674e+00,1.388922138109850435e+00,7.114914216958748705e-01,-5.348137673961683713e-02,-3.081447817842943859e-01,-8.579576083572374445e-01,1.564273714760136214e+00,5.180938136292856377e-01,8.208321881276282594e-01,1.133455441143846443e+00,8.688297101168117598e-01,-8.907294581755356155e-01
5.500000000000000028e-02,-7.015198703688667603e-01,-1.600000000000000033e-01,1.044216639657244761e+00,1.603018569553464889e+00,-1.527992338159751107e+00,1.392220173867031452e+00,7.193388150504850254e-01,-5.884422037491453955e-02,-3.143694410160631225e-01,-8.597985139468204974e-01,1.571740995928464724e+00,5.269577539932200905e-01,8.153833224507648358e-01,1.144035852363169292e+00,8.751157589752557309e-01,-8.801490469562124330e-01
5.999999999999999778e-02,-7.176568141013242030e-01,-1.600000000000000033e-01,1.039987454322687910e+00,1.597999916239135842e+00,-1.520205682056919638e+00,1.395382643250691723e+00,7.271254711531385251e-01,-6.405100181937714576e-02,-3.206260960643749769e-01,-8.615345890968318932e-01,1.579120661621865818e+00,5.357455645157785940e-01,8.100343132514608024e-01,1.154716673225544055e+00,8.811885848078698791e-01,-8.694682260938365603e-01
6.500000000000000222e-02,-7.336010485603277065e-01,-1.600000000000000033e-01,1.035718276963376594e+00,1.593105365805987939e+00,-1.512488800139912604e+00,1.398409004034056435e+00,7.348423530699729200e-01,-6.909700039519689474e-02,-3.269032947900502584e-01,-8.631679915718476481e-01,1.586403490616935086e+00,5.444487279851900619e-01,8.047914598638900019e-01,1.165476929273934203e+00,8.870432185277794535e-01,-8.587079700454461895e-01
7.000000000000000666e-02,-7.493353224173581184e-01,-1.600000000000000033e-01,1.031418105136658658e+00,1.588339951004458017e+00,-1.504850816751764242e+00,1.401299175512175088e+00,7.424803364579505294e-01,-7.397811330164548449e-02,-3.331892956168279185e-01,-8.647011468280446644e-01,1.593580483233009160e+00,5.530585847983686687e-01,7.996607408390669081e-01,1.176294626816363209e+00,8.926755923223690381e-01,-8.478902725030172949e-01
7.499999999999999722e-02,-7.648425369968766541e-01,-1.600000000000000033e-01,1.027096205725677391e+00,1.583708235957201227e+00,-1.497300924752678064e+00,1.404053527866762963e+00,7.500302284568656219e-01,-7.869086517304485495e-02,-3.394721117269701161e-01,-8.661367247661601043e-01,1.600642880135282775e+00,5.615663370772473462e-01,7.946477948187236073e-01,1.187146865012895791e+00,8.980825519776809429e-01,-8.370380343064856010e-01
8.000000000000000167e-02,-7.801057673629490097e-01,-1.600000000000000033e-01,1.022762077161822880e+00,1.579214304767102339e+00,-1.489848365265857844e+00,1.406672869026993844e+00,7.574827879435157563e-01,-8.323241292574083683e-02,-3.457395567491772792e-01,-8.674776157796419973e-01,1.607582179178705939e+00,5.699630549756973252e-01,7.897579036609622127e-01,1.198009960256669393e+00,9.032618614395426793e-01,-8.261749390627124434e-01
8.500000000000000611e-02,-7.951082832472812223e-01,-1.600000000000000033e-01,1.018425410359601990e+00,1.574861753941553477e+00,-1.482502406244387672e+00,1.409158429104027777e+00,7.648287469648390458e-01,-8.760054579004226960e-02,-3.519792915391286026e-01,-8.687269062752525084e-01,1.614390150214897401e+00,5.782396852018318878e-01,7.849959780328853443e-01,1.208859581147532003e+00,9.082121993593509357e-01,-8.153253181718498332e-01
8.999999999999999667e-02,-8.098335697930668653e-01,-1.600000000000000033e-01,1.014096048704972164e+00,1.570653688741317167e+00,-1.475272320062369191e+00,1.411511842495683178e+00,7.720588331467133081e-01,-9.179368047852615176e-02,-3.581788716376815840e-01,-8.698878538477471389e-01,1.621058847807534065e+00,5.863870617541058206e-01,7.803665456661488253e-01,1.219670892049659505e+00,9.129331474997828266e-01,-8.045140072697215539e-01
9.500000000000000111e-02,-8.242653480892484508e-01,-1.600000000000000033e-01,1.009783947448310570e+00,1.566592723514663055e+00,-1.468167360349353467e+00,1.413735127775389122e+00,7.791637928595658291e-01,-9.581085149877476004e-02,-3.643257949838667464e-01,-8.709638622925507390e-01,1.627580621825902574e+00,5.943959188435182783e-01,7.758737424478692191e-01,1.230418702968158140e+00,9.174251710104226465e-01,-7.937661963512234742e-01
1.000000000000000056e-01,-8.383875954700094058e-01,-1.600000000000000033e-01,1.005499132857193834e+00,1.562680986028255559e+00,-1.461196738297770858e+00,1.415830665495986906e+00,7.861344149109837920e-01,-9.965169667563053557e-02,-3.704075494592243833e-01,-8.719584566405118586e-01,1.633948125910966720e+00,6.022569059487454801e-01,7.715213064921460084e-01,1.241077623286163778e+00,9.216895907212494521e-01,-7.831072760332165039e-01
1.049999999999999961e-01,-8.521845655545825515e-01,-1.600000000000000033e-01,1.001251661482134958e+00,1.558920125758507469e+00,-1.454369598681007902e+00,1.417801174054090563e+00,7.929615545319022019e-01,-1.033164380027953855e-01,-3.764116598487420862e-01,-8.728752583964145551e-01,1.640154323833154848e+00,6.099606049265444696e-01,7.673125753064012899e-01,1.251622216783450314e+00,9.257285477388048633e-01,-7.725626825359303007e-01
1.100000000000000006e-01,-8.656408080027369056e-01,-1.600000000000000033e-01,9.970515798787232820e-01,1.555311326048056442e+00,-1.447694995806795726e+00,1.419649683774189208e+00,7.996361574092991642e-01,-1.068058580061680973e-01,-3.823257338102187264e-01,-8.737179611580913052e-01,1.646192493785506139e+00,6.174975490767778963e-01,7.632504861327684687e-01,1.262027155315888383e+00,9.295449607610197784e-01,-7.621577440034928985e-01
